Filename,Original,Translate
trad_divina_commedia_inferno_4_1.csv,Nel mezzo del cammin di nostra vita,"Quando ero nel bel mezzo della nostra vita,"
trad_divina_commedia_inferno_4_1.csv,"mi ritrovai per una selva oscura,","Mi sono trovato circondato da una foresta buia,"
trad_divina_commedia_inferno_4_1.csv,ch  la diritta via era smarrita.,Dopo aver perso la strada pi  giusta.
trad_divina_commedia_inferno_4_1.csv,Ahi quanto a dir qual era   cosa dura,"Quanto   difficile dipingere con le parole,"
trad_divina_commedia_inferno_4_1.csv,esta selva selvaggia e aspra e forte,"questa foresta selvaggia, impenetrabile e drue"
trad_divina_commedia_inferno_4_1.csv,che nel pensier rinova la paura!,Il cui unico ricordo rinnova la mia paura!
trad_divina_commedia_inferno_4_1.csv,Tant   amara che poco   pi  morte ,A malapena se la morte mi sembra pi  amara.
trad_divina_commedia_inferno_4_1.csv,"ma per trattar del ben ch i  vi trovai,","Ma, per trattare il bene che mi   stato scoperto,"
trad_divina_commedia_inferno_4_1.csv,dir  de l altre cose ch i  v ho scorte.,Devo raccontare le cose che ho visto.
trad_divina_commedia_inferno_4_1.csv,"Io non so ben ridir com i  v intrai,","Non so pi  come mi sono impegnato,"
trad_divina_commedia_inferno_4_1.csv,tant era pien di sonno a quel punto,"perch  ero intorpidito da un sonno pesante,"
trad_divina_commedia_inferno_4_1.csv,che la verace via abbandonai.,quando mi allontanai dal sentiero vero.
trad_divina_commedia_inferno_4_1.csv,"Ma poi ch i  fui al pi  d un colle giunto,",So di aver vinto il piede di una collina.
trad_divina_commedia_inferno_4_1.csv,l  dove terminava quella valle,A cui sembrava giunto questo vallone.
trad_divina_commedia_inferno_4_1.csv,"che m avea di paura il cor compunto,","il cui aspetto riempiva la mia anima di terrore,"
trad_divina_commedia_inferno_4_1.csv,guardai in alto e vidi le sue spalle,"e, guardando in alto, avevo visto che il suo pendio"
trad_divina_commedia_inferno_4_1.csv,vestite gi  de  raggi del pianeta,gi  brillava sotto i raggi dell astro
trad_divina_commedia_inferno_4_1.csv,che mena dritto altrui per ogne calle.,che mostra in ogni luogo la strada al viaggiatore 
trad_divina_commedia_inferno_4_1.csv,"Allor fu la paura un poco queta,",e sentii che si calmava la tempesta
trad_divina_commedia_inferno_4_1.csv,che nel lago del cor m era durata,che non aveva cessato negli abissi del cuore
trad_divina_commedia_inferno_4_1.csv,la notte ch i  passai con tanta pieta.,nell orribile notte che ho attraversato.
trad_divina_commedia_inferno_4_1.csv,"E come quei che con lena affannata,",Come il respiro a volte si arriva
trad_divina_commedia_inferno_4_1.csv,"uscito fuor del pelago a la riva,","a fuggire dalle onde e, ritrovando la terra,"
trad_divina_commedia_inferno_4_1.csv,"si volge a l acqua perigliosa e guata,","uno sguardo lungo sull onda e sui suoi pericoli,"
trad_divina_commedia_inferno_4_1.csv,"cos  l animo mio, ch ancor fuggiva,","come l anima mia allora, incorniciato tutto sperduto,"
trad_divina_commedia_inferno_4_1.csv,si volse a retro a rimirar lo passo,si volt  per vedere il sinistro passaggio
trad_divina_commedia_inferno_4_1.csv,che non lasci  gi  mai persona viva.,dove nessun uomo   stato in grado di mantenersi vivo.
trad_divina_commedia_inferno_4_1.csv,"Poi ch  i posato un poco il corpo lasso,","Poi, dopo aver riposato un po  il mio corpo stanco,"
trad_divina_commedia_inferno_4_1.csv,"ripresi via per la piaggia diserta,","Io me ne andai, costeggiando questa costa deserta."
trad_divina_commedia_inferno_4_1.csv,s  che  l pi  fermo sempre era  l pi  basso.,e mantenendo sempre il mio piede fermo pi  in basso.
trad_divina_commedia_inferno_4_1.csv,"Ed ecco, quasi al cominciar de l erta,","Ma ecco che all improvviso, ai piedi della salita,"
trad_divina_commedia_inferno_4_1.csv,"una lonza leggera e presta molto,","Mi apparve un ghepardo agile, dal fianco stretto"
trad_divina_commedia_inferno_4_1.csv,che di pel macolato era coverta ,e coperto da un mantello dai colori variopinti.
trad_divina_commedia_inferno_4_1.csv,"e non mi si partia dinanzi al volto,","Restava davanti a me, senza voler sgombrare,"
trad_divina_commedia_inferno_4_1.csv,"anzi  mpediva tanto il mio cammino,","e aveva occupato cos  bene il passaggio,"
trad_divina_commedia_inferno_4_1.csv,ch i  fui per ritornar pi  volte v lto.,Ero sul punto di tornare indietro.
trad_divina_commedia_inferno_4_1.csv,"Temp era dal principio del mattino,","Era l ora in cui il giorno iniziava la sua carriera,"
trad_divina_commedia_inferno_4_1.csv,e  l sol montava  n s  con quelle stelle,e il sole saliva tra gli stessi astri
trad_divina_commedia_inferno_4_1.csv,ch eran con lui quando l amor divino,"che lo accompagnavano un tempo, quando l Amore divino"
trad_divina_commedia_inferno_4_1.csv,mosse di prima quelle cose belle ,li mise in movimento per la prima volta 
trad_divina_commedia_inferno_4_1.csv,s  ch a bene sperar m era cagione,"e pensavo di trovare un motivo per sperare,"
trad_divina_commedia_inferno_4_1.csv,di quella fiera a la gaetta pelle,"senza temere troppo il fulvo con la bella pelliccia,"
trad_divina_commedia_inferno_4_1.csv,l ora del tempo e la dolce stagione ,nell ora mattutina e nella bella stagione 
trad_divina_commedia_inferno_4_1.csv,ma non s  che paura non mi desse,"ma fui, nonostante tutto, incorniciato pi  spaventato"
trad_divina_commedia_inferno_4_1.csv,la vista che m apparve d un leone.,L aspetto di un leone che all improvviso sorge.
trad_divina_commedia_inferno_4_1.csv,Questi parea che contra me venisse,"Si sarebbe detto che la bestia stava avanzando dritto su di me,"
trad_divina_commedia_inferno_4_1.csv,"con la test alta e con rabbiosa fame,","con la rabbia al ventre e la criniera al vento,"
trad_divina_commedia_inferno_4_1.csv,s  che parea che l aere ne tremesse.,Mi sembrava che l aria ne stesse fremendo.
trad_divina_commedia_inferno_4_1.csv,"Ed una lupa, che di tutte brame","Poi sorse una lupa, che la fame"
trad_divina_commedia_inferno_4_1.csv,"sembiava carca ne la sua magrezza,",Sembrava che lavorasse nella parte pi  bassa del suo fianco.
trad_divina_commedia_inferno_4_1.csv,"e molte genti f  gi  viver grame,",e per mezzo del quale tanta gente ha conosciuto l angoscia.
trad_divina_commedia_inferno_4_1.csv,questa mi porse tanto di gravezza,Il terrore che ispirava l aspetto di questa bestia
trad_divina_commedia_inferno_4_1.csv,"con la paura ch uscia di sua vista,","mi gel  fino al fondo delle viscere, cos  bene"
trad_divina_commedia_inferno_4_1.csv,ch io perdei la speranza de l altezza.,Ho perso la speranza di arrivare fino in cima.
trad_divina_commedia_inferno_4_1.csv,"E qual   quei che volontieri acquista,",E come il giocatore che trasportava a volte
trad_divina_commedia_inferno_4_1.csv,"e giugne  l tempo che perder lo face,","la speranza gioiosa del guadagno non fa che affliggersi,"
trad_divina_commedia_inferno_4_1.csv,che  n tutti suoi pensier piange e s attrista ,"si lamenta e si schiaccia, se la fortuna   girata,"
trad_divina_commedia_inferno_4_1.csv,"tal mi fece la bestia sanza pace,",cos  mi fece diventare questa bestia inquieta
trad_divina_commedia_inferno_4_1.csv,"che, venendomi  ncontro, a poco a poco","che guadagnava terreno e, insensibile,"
trad_divina_commedia_inferno_4_1.csv,mi ripigneva l  dove  l sol tace.,Mi spingeva verso l ombra dove il sole taceva.
trad_divina_commedia_inferno_4_1.csv,"Mentre ch i  rovinava in basso loco,","Mentre scivolavo cos  verso gli abissi,"
trad_divina_commedia_inferno_4_1.csv,dinanzi a li occhi mi si fu offerto,"davanti ai miei occhi qualcuno apparve all improvviso,"
trad_divina_commedia_inferno_4_1.csv,chi per lungo silenzio parea fioco.,"che, con l aria incerta, usciva da un lungo silenzio."
trad_divina_commedia_inferno_4_1.csv,"Quando vidi costui nel gran diserto,","Appena lo vidi nel grande deserto,"
trad_divina_commedia_inferno_4_1.csv," di me , gridai a lui,","Mi sono messo a gridare   O tu, chiunque tu sia,"
trad_divina_commedia_inferno_4_1.csv," qual che tu sii, od ombra od omo certo! .","O ombra o, se non vivo, abbi piet  della mia pena! "
trad_divina_commedia_inferno_4_1.csv,"Rispuosemi   Non omo, omo gi  fui,"," Non sono vivo , disse,  ma lo sono stato."
trad_divina_commedia_inferno_4_1.csv,"e li parenti miei furon lombardi,",Ero longobardo di padre e di madre.
trad_divina_commedia_inferno_4_1.csv,mantoani per patr a ambedui.,La loro terra a tutti e due era stata Mantova.
trad_divina_commedia_inferno_4_1.csv,"Nacqui, ancor che fosse tardi,","Io stesso naquis sub Julio, ma tardi "
trad_divina_commedia_inferno_4_1.csv,e vissi a Roma sotto  l buono Augusto,"e vivevo a Roma, al tempo del buon Augusto,"
trad_divina_commedia_inferno_4_1.csv,nel tempo de li d i falsi e bugiardi.,ai tempi degli dei bugiardi e fuorvianti.
trad_divina_commedia_inferno_4_1.csv,"Poeta fui, e cantai di quel giusto",Ero un poeta e cantavo di Anchise.
trad_divina_commedia_inferno_4_1.csv,"figliuol d Anchise che venne di Troia,","il giusto rampollo, che   fuggito da Troia,"
trad_divina_commedia_inferno_4_1.csv,poi che  l superbo Il  n fu combusto.,Quando la Grecia bruci  il superbo Ilion.
trad_divina_commedia_inferno_4_1.csv,Ma tu perch  ritorni a tanta noia?,"Ma tu, perch  vuoi tornare alle pene?"
trad_divina_commedia_inferno_4_1.csv,perch  non sali il dilettoso monte,Perch  non scalare questa montagna felice?
trad_divina_commedia_inferno_4_1.csv,ch   principio e cagion di tutta gioia? ., Chi serve alla vera felicit  di principio e di causa? 
trad_divina_commedia_inferno_4_1.csv, Or se  tu quel Virgilio e quella fonte,"Cos  dunque sei tu, Virgilio, questa fonte"
trad_divina_commedia_inferno_4_1.csv,"che spandi di parlar s  largo fiume? ,",Chi ci diffonde onde cos  vaste di eloquenza?
trad_divina_commedia_inferno_4_1.csv,rispuos io lui con vergognosa fronte.,"Io dico, abbassando timidamente gli occhi."
trad_divina_commedia_inferno_4_1.csv," O de li altri poeti onore e lume,","Tu, che sei stato l ornamento, il faro dei poeti,"
trad_divina_commedia_inferno_4_1.csv,vagliami  l lungo studio e  l grande amore,"aiutami, per amore e per il lungo studio"
trad_divina_commedia_inferno_4_1.csv,che m ha fatto cercar lo tuo volume.,che ho messo a cercare e leggere il tuo lavoro!
trad_divina_commedia_inferno_4_1.csv,"Tu se  lo mio maestro e  l mio autore,",perch  tu sei il mio signore e la mia autorit  
trad_divina_commedia_inferno_4_1.csv,tu se  solo colui da cu  io tolsi,Sei tu che mi insegni come si fa uso
trad_divina_commedia_inferno_4_1.csv,lo bello stilo che m ha fatto onore.,di questo stile elevato da cui ho tratto la mia gloria.
trad_divina_commedia_inferno_4_1.csv,Vedi la bestia per cu  io mi volsi ,Guarda l animale che mi ha fatto indietreggiare!
trad_divina_commedia_inferno_4_1.csv,"aiutami da lei, famoso saggio,","O famoso filosofo, aiutami contro di lui,"
trad_divina_commedia_inferno_4_1.csv,ch ella mi fa tremar le vene e i polsi .,"Perch  solo vedendolo, mi sento rabbrividire! "
trad_divina_commedia_inferno_4_1.csv," A te convien tenere altro v aggio ,"," Devi percorrere una strada diversa,"
trad_divina_commedia_inferno_4_1.csv,"rispuose, poi che lagrimar mi vide,","Rispose, vedendo le lacrime nei miei occhi,"
trad_divina_commedia_inferno_4_1.csv, se vuo  campar d esto loco selvaggio ,se vuoi fuggire da questo orribile luogo 
trad_divina_commedia_inferno_4_1.csv,"ch  questa bestia, per la qual tu gride,","perch  la bestia crudele, e che ti ha fatto tanto paura,"
trad_divina_commedia_inferno_4_1.csv,"non lascia altrui passar per la sua via,","non permette alle persone di seguire il loro cammino,"
trad_divina_commedia_inferno_4_1.csv,ma tanto lo  mpedisce che l uccide ,ma si accanisce contro di loro e li fa perire tutti.
trad_divina_commedia_inferno_4_1.csv,"e ha natura s  malvagia e ria,","Per sua natura   cos  malvagia e perversa,"
trad_divina_commedia_inferno_4_1.csv,"che mai non empie la bramosa voglia,","che non si pu  soddisfare il suo terribile appetito,"
trad_divina_commedia_inferno_4_1.csv,e dopo  l pasto ha pi  fame che pria.,perch  pi  essa divora e pi  la sua fame cresce.
