Filename,Original,Translate
trad_divina_commedia_paradiso_1_1.csv,La gloria di colui che tutto move,La gloria di Colui che muove ogni cosa
trad_divina_commedia_paradiso_1_1.csv,"per l universo penetra, e risplende",Entra nell universo e splendi
trad_divina_commedia_paradiso_1_1.csv,in una parte pi  e meno altrove.,In una parte di pi  e in un altra di meno.
trad_divina_commedia_paradiso_1_1.csv,Nel ciel che pi  de la sua luce prende,In quel cielo che la maggior parte della sua luce riceve
trad_divina_commedia_paradiso_1_1.csv,"fu  io, e vidi cose che ridire","Ero io, e le cose vedevano che ripetere"
trad_divina_commedia_paradiso_1_1.csv,n  sa n  pu  chi di l  s  discende ,n  sa chi discende dall alto 
trad_divina_commedia_paradiso_1_1.csv,"perch  appressando s  al suo disire,",Perch  avvicinandosi al suo desiderio
trad_divina_commedia_paradiso_1_1.csv,"nostro intelletto si profonda tanto,","Il nostro intelletto si inghiottisce fino ad ora,"
trad_divina_commedia_paradiso_1_1.csv,che dietro la memoria non pu  ire.,Che dopo di esso la memoria non pu  andare.
trad_divina_commedia_paradiso_1_1.csv,Veramente quant io del regno santo,Davvero qualunque cosa del reame santo
trad_divina_commedia_paradiso_1_1.csv,"ne la mia mente potei far tesoro,",Avevo il potere di custodire nella mia mente
trad_divina_commedia_paradiso_1_1.csv,sar  ora materia del mio canto.,Ora diventera  il soggetto della mia canzone.
trad_divina_commedia_paradiso_1_1.csv,"O buono Appollo, a l ultimo lavoro","O buon Apollo, per quest ultima meraviglia"
trad_divina_commedia_paradiso_1_1.csv,"fammi del tuo valor s  fatto vaso,",Fa  di me un vaso del tuo potere.
trad_divina_commedia_paradiso_1_1.csv,come dimandi a dar l amato alloro.,Come chiede l amato alloro!
trad_divina_commedia_paradiso_1_1.csv,Infino a qui l un giogo di Parnaso,Un vertice di Parnassus fino ad oggi
trad_divina_commedia_paradiso_1_1.csv,assai mi fu  ma or con amendue,"  stato abbastanza per me, ma ora con entrambi"
trad_divina_commedia_paradiso_1_1.csv,m   uopo intrar ne l aringo rimaso.,Devo entrare nell arena a sinistra.
trad_divina_commedia_paradiso_1_1.csv,"Entra nel petto mio, e spira tue","Entra nel mio seno, tu, e respira"
trad_divina_commedia_paradiso_1_1.csv,s  come quando Mars a traesti,Come al tempo in cui Marsia hai disegnato
trad_divina_commedia_paradiso_1_1.csv,de la vagina de le membra sue.,Fuori dal fodero di quei suoi arti.
trad_divina_commedia_paradiso_1_1.csv,"O divina virt , se mi ti presti","O potente divino, prestami te stesso"
trad_divina_commedia_paradiso_1_1.csv,tanto che l ombra del beato regno,Cos  che l ombra del regno benedetto
trad_divina_commedia_paradiso_1_1.csv,"segnata nel mio capo io manifesti,","Incisa nel mio cervello, posso manifestare..."
trad_divina_commedia_paradiso_1_1.csv,vedra mi al pi  del tuo diletto legno,"Tu mi vedrai venire al tuo caro albero,"
trad_divina_commedia_paradiso_1_1.csv,"venire, e coronarmi de le foglie",E poi mi incoroner  con quelle foglie
trad_divina_commedia_paradiso_1_1.csv,che la materia e tu mi farai degno.,Di cui il tema e tu mi renderai degno.
trad_divina_commedia_paradiso_1_1.csv,"S  rade volte, padre, se ne coglie","Cos  raramente, Padre, li raccogliamo"
trad_divina_commedia_paradiso_1_1.csv,"per tr unfare o cesare o poeta,","Per il trionfo o di Cesare o di Poeta,"
trad_divina_commedia_paradiso_1_1.csv,"colpa e vergogna de l umane voglie,"," La colpa e la vergogna delle inclinazioni umane, "
trad_divina_commedia_paradiso_1_1.csv,che parturir letizia in su la lieta,Che il fogliame di Peneian dovrebbe portare avanti
trad_divina_commedia_paradiso_1_1.csv,delfica de t  dovria la fronda,"Gioia alla gioiosa divinit  Delfica,"
trad_divina_commedia_paradiso_1_1.csv,"peneia, quando alcun di s  asseta.",Quando qualcuno ne fa sete.
trad_divina_commedia_paradiso_1_1.csv,Poca favilla gran fiamma seconda ,Una piccola scintilla   seguita da una grande fiamma 
trad_divina_commedia_paradiso_1_1.csv,forse di retro a me con miglior voci,Forse con voci migliori dopo di me
trad_divina_commedia_paradiso_1_1.csv,si pregher  perch  Cirra risponda.,Sar  fatta la preghiera affinch  Cirra risponda!
trad_divina_commedia_paradiso_1_1.csv,Surge ai mortali per diverse foci,Agli uomini mortali con passaggi diversi
trad_divina_commedia_paradiso_1_1.csv,la lucerna del mondo  ma da quella,"Risveglia la lampada del mondo, ma da quella"
trad_divina_commedia_paradiso_1_1.csv,"che quattro cerchi giugne con tre croci,","che circonda quattro unite con tre croci,"
trad_divina_commedia_paradiso_1_1.csv,con miglior corso e con migliore stella,Con un corso migliore e con una stella migliore
trad_divina_commedia_paradiso_1_1.csv,"esce congiunta, e la mondana cera",e la cera mondana
trad_divina_commedia_paradiso_1_1.csv,pi  a suo modo tempera e suggella.,Tempers e francobolli pi  dopo la sua moda.
