Filename,Original,Translate
trad_divina_commedia_inferno_5_1.csv,Nel mezzo del cammin di nostra vita,Trovato a met  strada della vita umana
trad_divina_commedia_inferno_5_1.csv,"mi ritrovai per una selva oscura,","io mi immergo in un bosco buio,"
trad_divina_commedia_inferno_5_1.csv,ch  la diritta via era smarrita.,Perche  mi sto allontanando dalla retta via.
trad_divina_commedia_inferno_5_1.csv,Ahi quanto a dir qual era   cosa dura,Com e  difficile dire di questa foresta...
trad_divina_commedia_inferno_5_1.csv,esta selva selvaggia e aspra e forte,"Come selvaggio, ruvido, fitto, pieno di paura e di bisogno "
trad_divina_commedia_inferno_5_1.csv,che nel pensier rinova la paura!,Anche il pensiero mi ha rinforzato la testa.
trad_divina_commedia_inferno_5_1.csv,Tant   amara che poco   pi  morte ,Poco pi  amaro   anche la morte 
trad_divina_commedia_inferno_5_1.csv,"ma per trattar del ben ch i  vi trovai,","Ma per annunciare la salvezza che ho trovato dentro,"
trad_divina_commedia_inferno_5_1.csv,dir  de l altre cose ch i  v ho scorte.,Ti dico cos altro c era da guardare.
trad_divina_commedia_inferno_5_1.csv,"Io non so ben ridir com i  v intrai,","Non so come mi sono intrufolato,"
trad_divina_commedia_inferno_5_1.csv,tant era pien di sonno a quel punto,"Ero cos  preso in considerazione dal sonno profondo,"
trad_divina_commedia_inferno_5_1.csv,che la verace via abbandonai.,Nel momento in cui ho perso la vera strada.
trad_divina_commedia_inferno_5_1.csv,"Ma poi ch i  fui al pi  d un colle giunto,","Ma fino ai piedi della collina,"
trad_divina_commedia_inferno_5_1.csv,l  dove terminava quella valle,"Colui che giaceva all estremit  di quella valle,"
trad_divina_commedia_inferno_5_1.csv,"che m avea di paura il cor compunto,","Che con grande timore mi ha spezzato il cuore,"
trad_divina_commedia_inferno_5_1.csv,guardai in alto e vidi le sue spalle,Guardavo in alto e ho visto dipingere la schiena
trad_divina_commedia_inferno_5_1.csv,vestite gi  de  raggi del pianeta,A Lui il pianeta che ci ha portato in ogni direzione
trad_divina_commedia_inferno_5_1.csv,che mena dritto altrui per ogne calle.,Arriva al traguardo con un bel raggio.
trad_divina_commedia_inferno_5_1.csv,"Allor fu la paura un poco queta,","Allora la paura e la paura cominciarono a diminuire,"
trad_divina_commedia_inferno_5_1.csv,che nel lago del cor m era durata,Quelli che mi hanno fatto impazzire il sangue del mio cuore...
trad_divina_commedia_inferno_5_1.csv,la notte ch i  passai con tanta pieta.,Quella notte in cui i grigi mi fecero ammazzare.
trad_divina_commedia_inferno_5_1.csv,"E come quei che con lena affannata,","E come senza fiato, per paura e per affanni,"
trad_divina_commedia_inferno_5_1.csv,"uscito fuor del pelago a la riva,",I naufragi dalla spiaggia... ripagano il diluvio...
trad_divina_commedia_inferno_5_1.csv,"si volge a l acqua perigliosa e guata,","Guardando indietro, guardando il loro furore "
trad_divina_commedia_inferno_5_1.csv,"cos  l animo mio, ch ancor fuggiva,","Cos , con il mio coraggio mezzo morto, io torno,"
trad_divina_commedia_inferno_5_1.csv,si volse a retro a rimirar lo passo,"Ora, guardandomi indietro dopo quel passaggio,"
trad_divina_commedia_inferno_5_1.csv,che non lasci  gi  mai persona viva.,Ogni persona spegne il fuoco della vita.
trad_divina_commedia_inferno_5_1.csv,"Poi ch  i posato un poco il corpo lasso,",E... un po  disorientato... Continuando...
trad_divina_commedia_inferno_5_1.csv,"ripresi via per la piaggia diserta,","Se scegliessi il sentiero della natura selvaggia,"
