Filename,Original,Translate
trad_divina_commedia_paradiso_4_1.csv,La gloria di colui che tutto move,La gloria di Colui che mette in moto il mondo
trad_divina_commedia_paradiso_4_1.csv,"per l universo penetra, e risplende","riempie tutto l universo, ma il suo splendore   tale"
trad_divina_commedia_paradiso_4_1.csv,in una parte pi  e meno altrove.,"che risplenda pi  forte o meno, a seconda del luogo."
trad_divina_commedia_paradiso_4_1.csv,Nel ciel che pi  de la sua luce prende,Salii fino al cielo che prende il suo splendore
trad_divina_commedia_paradiso_4_1.csv,"fu  io, e vidi cose che ridire","la maggior parte, e ho conosciuto delle cose"
trad_divina_commedia_paradiso_4_1.csv,n  sa n  pu  chi di l  s  discende ,"che non si pu  n  si sa dire tornando da lass ,"
trad_divina_commedia_paradiso_4_1.csv,"perch  appressando s  al suo disire,",Avvicinandosi all oggetto dei suoi desideri
trad_divina_commedia_paradiso_4_1.csv,"nostro intelletto si profonda tanto,",l intelligenza vi corre e avanza cos  lontano
trad_divina_commedia_paradiso_4_1.csv,che dietro la memoria non pu  ire.,Non possiamo seguirla con la nostra memoria.
trad_divina_commedia_paradiso_4_1.csv,Veramente quant io del regno santo,"Ma tutto quello che ho visto durante questo santo viaggio,"
trad_divina_commedia_paradiso_4_1.csv,"ne la mia mente potei far tesoro,",tutto ci  che ho potuto mettere nel tesoro dello spirito
trad_divina_commedia_paradiso_4_1.csv,sar  ora materia del mio canto.,Ora servir  come materia per il mio canto.
trad_divina_commedia_paradiso_4_1.csv,"O buono Appollo, a l ultimo lavoro","Rendimi, dolce Apollo, per quest ultimo lavoro"
trad_divina_commedia_paradiso_4_1.csv,"fammi del tuo valor s  fatto vaso,","un vaso pieno della tua virt ,"
trad_divina_commedia_paradiso_4_1.csv,come dimandi a dar l amato alloro.,che io sia finalmente degno del tuo alloro amato.
trad_divina_commedia_paradiso_4_1.csv,Infino a qui l un giogo di Parnaso,Finora ho potuto accontentarmi di uno solo.
trad_divina_commedia_paradiso_4_1.csv,assai mi fu  ma or con amendue,I vertici del Parnaso  ora mi serve
trad_divina_commedia_paradiso_4_1.csv,m   uopo intrar ne l aringo rimaso.,"Salire su entrambi, per quest ultimo percorso."
trad_divina_commedia_paradiso_4_1.csv,"Entra nel petto mio, e spira tue","Penetra nel mio seno, dividimi il tuo respiro,"
trad_divina_commedia_paradiso_4_1.csv,s  come quando Mars a traesti,come nel giorno in cui il tuo canto ebbe il dono
trad_divina_commedia_paradiso_4_1.csv,de la vagina de le membra sue.,di tirare Marsyas dal fodero dei suoi membri!
