Filename,Original,Translate
trad_divina_commedia_paradiso_3_1.csv,La gloria di colui che tutto move,La gloria di Colui che muove ogni cosa
trad_divina_commedia_paradiso_3_1.csv,"per l'universo penetra, e risplende",pervade l'universo e splende
trad_divina_commedia_paradiso_3_1.csv,in una parte più e meno altrove.,in una parte di più e in un'altra di meno.
trad_divina_commedia_paradiso_3_1.csv,Nel ciel che più de la sua luce prende,Ero in quel paradiso che riceve
trad_divina_commedia_paradiso_3_1.csv,"fu' io, e vidi cose che ridire",più della Sua luce. Colui che scende di là
trad_divina_commedia_paradiso_3_1.csv,né sa né può chi di là sù discende;,"non può né sapere né dire ciò che ha visto,"
trad_divina_commedia_paradiso_3_1.csv,"perché appressando sé al suo disire,","perché, avvicinandosi al suo desiderio,"
trad_divina_commedia_paradiso_3_1.csv,"nostro intelletto si profonda tanto,",così profondamente è il nostro intelletto immerso
trad_divina_commedia_paradiso_3_1.csv,che dietro la memoria non può ire.,che la memoria non può seguirla.
trad_divina_commedia_paradiso_3_1.csv,Veramente quant'io del regno santo,"Tuttavia, come gran parte del regno santo"
trad_divina_commedia_paradiso_3_1.csv,"ne la mia mente potei far tesoro,",come ho potuto conservare come tesoro nella mia mente
trad_divina_commedia_paradiso_3_1.csv,sarà ora materia del mio canto.,ora diventera' l'oggetto della mia canzone.
trad_divina_commedia_paradiso_3_1.csv,"O buono Appollo, a l'ultimo lavoro","O buon Apollo, per quest'ultimo travaglio"
trad_divina_commedia_paradiso_3_1.csv,"fammi del tuo valor sì fatto vaso,",rendimi un vascello degno
trad_divina_commedia_paradiso_3_1.csv,come dimandi a dar l'amato alloro.,del dono del tuo alloro belovèd.
trad_divina_commedia_paradiso_3_1.csv,Infino a qui l'un giogo di Parnaso,"Fino a questo punto, una vetta del monte Parnassus"
trad_divina_commedia_paradiso_3_1.csv,assai mi fu; ma or con amendue,"è stato abbastanza, ma ora ho bisogno di entrambi"
trad_divina_commedia_paradiso_3_1.csv,m'è uopo intrar ne l'aringo rimaso.,per affrontare la lotta che attende.
trad_divina_commedia_paradiso_3_1.csv,"Entra nel petto mio, e spira tue",Entra nel mio seno e respira in me
trad_divina_commedia_paradiso_3_1.csv,sì come quando Marsïa traesti,"come quando hai tirato fuori Marsia,"
trad_divina_commedia_paradiso_3_1.csv,de la vagina de le membra sue.,fuori dal rivestimento delle sue membra.
trad_divina_commedia_paradiso_3_1.csv,"O divina virtù, se mi ti presti","O santo Potere, se tu mi prestassi di te stesso"
trad_divina_commedia_paradiso_3_1.csv,tanto che l'ombra del beato regno,abbastanza che io possa mostrare la più mera ombra
