Filename,Original,Translate
trad_divina_commedia_inferno_2_1.csv,Nel mezzo del cammin di nostra vita,A metà strada nel cammino della nostra vita
trad_divina_commedia_inferno_2_1.csv,"mi ritrovai per una selva oscura,","Sono venuto da me stesso in un bosco scuro,"
trad_divina_commedia_inferno_2_1.csv,ché la diritta via era smarrita.,per la via dritta è stato perso.
trad_divina_commedia_inferno_2_1.csv,Ahi quanto a dir qual era è cosa dura,"Ah, quanto è difficile dirlo"
trad_divina_commedia_inferno_2_1.csv,esta selva selvaggia e aspra e forte,"la natura di quel legno, selvaggio, denso e duro..."
trad_divina_commedia_inferno_2_1.csv,che nel pensier rinova la paura!,il pensiero stesso di esso rinnova la mia paura!
trad_divina_commedia_inferno_2_1.csv,Tant'è amara che poco è più morte;,È così amara la morte non è più così.
trad_divina_commedia_inferno_2_1.csv,"ma per trattar del ben ch'i' vi trovai,",Ma per indicare il bene che ho trovato
trad_divina_commedia_inferno_2_1.csv,dirò de l'altre cose ch'i' v'ho scorte.,Racconterò le altre cose che ho visto.
trad_divina_commedia_inferno_2_1.csv,"Io non so ben ridir com'i' v'intrai,","Come sono venuto lì non riesco a dire,"
trad_divina_commedia_inferno_2_1.csv,tant'era pien di sonno a quel punto,Ero cosi' pieno di sonno.
trad_divina_commedia_inferno_2_1.csv,che la verace via abbandonai.,quando ho abbandonato l'unica vera via.
trad_divina_commedia_inferno_2_1.csv,"Ma poi ch'i' fui al piè d'un colle giunto,","Ma quando raggiunsi i piedi di una collina,"
trad_divina_commedia_inferno_2_1.csv,là dove terminava quella valle,là dove la valle è finita
trad_divina_commedia_inferno_2_1.csv,"che m'avea di paura il cor compunto,","che mi aveva trafitto il cuore di paura,"
trad_divina_commedia_inferno_2_1.csv,guardai in alto e vidi le sue spalle,"Guardando in alto, ho visto le sue spalle"
trad_divina_commedia_inferno_2_1.csv,vestite già de' raggi del pianeta,allineato alla prima luce del pianeta
trad_divina_commedia_inferno_2_1.csv,che mena dritto altrui per ogne calle.,"che conduce gli uomini dritti, non importa quale sia la loro strada."
trad_divina_commedia_inferno_2_1.csv,"Allor fu la paura un poco queta,",Poi la paura che aveva sopportato
trad_divina_commedia_inferno_2_1.csv,che nel lago del cor m'era durata,"nel lago del mio cuore, tutta la notte"
trad_divina_commedia_inferno_2_1.csv,la notte ch'i' passai con tanta pieta.,"Ho passato tutto questo tempo in difficoltà, mi sono calmato."
trad_divina_commedia_inferno_2_1.csv,"E come quei che con lena affannata,","E come uno che, con il fiato travagliato,"
trad_divina_commedia_inferno_2_1.csv,"uscito fuor del pelago a la riva,",è fuggito dall'abisso fino alla riva
trad_divina_commedia_inferno_2_1.csv,"si volge a l'acqua perigliosa e guata,","si volta e guarda indietro le acque pericolose,"
trad_divina_commedia_inferno_2_1.csv,"così l'animo mio, ch'ancor fuggiva,","così la mia mente, ancora in volo,"
trad_divina_commedia_inferno_2_1.csv,si volse a retro a rimirar lo passo,voltato indietro per guardare ancora una volta sul passo
trad_divina_commedia_inferno_2_1.csv,che non lasciò già mai persona viva.,nessun essere mortale mai lasciato vivo.
trad_divina_commedia_inferno_2_1.csv,"Poi ch'èi posato un poco il corpo lasso,","Dopo aver riposato la mia carne stanca per un po',"
trad_divina_commedia_inferno_2_1.csv,"ripresi via per la piaggia diserta,","Ho ripreso la mia strada lungo il pendio del deserto,"
trad_divina_commedia_inferno_2_1.csv,sì che 'l piè fermo sempre era 'l più basso.,Il mio piede fermo e' sempre piu' basso dell'altro.
trad_divina_commedia_inferno_2_1.csv,"Ed ecco, quasi al cominciar de l'erta,","Ma ora, vicino all'inizio del ripido,"
trad_divina_commedia_inferno_2_1.csv,"una lonza leggera e presta molto,",una luce leopardo e rapida
trad_divina_commedia_inferno_2_1.csv,che di pel macolato era coverta;,e ricoperto da una pelle macchiata
trad_divina_commedia_inferno_2_1.csv,"e non mi si partia dinanzi al volto,",si è rifiutato di allontanarsi da me
trad_divina_commedia_inferno_2_1.csv,"anzi 'mpediva tanto il mio cammino,","ma così impedito, sbarrato la strada,"
trad_divina_commedia_inferno_2_1.csv,ch'i' fui per ritornar più volte vòlto.,che molte volte mi sono girato per tornare giù.
trad_divina_commedia_inferno_2_1.csv,"Temp'era dal principio del mattino,","Era l'ora del mattino,"
trad_divina_commedia_inferno_2_1.csv,e 'l sol montava 'n sù con quelle stelle,quando il sole si monta con quelle stelle
trad_divina_commedia_inferno_2_1.csv,ch'eran con lui quando l'amor divino,che brillava con esso quando l'amore di Dio
trad_divina_commedia_inferno_2_1.csv,mosse di prima quelle cose belle;,"primo messo in moto quelle cose giuste,"
trad_divina_commedia_inferno_2_1.csv,sì ch'a bene sperar m'era cagione,"in modo che, nonostante quella bestia con la pelliccia sgargiante,"
trad_divina_commedia_inferno_2_1.csv,di quella fiera a la gaetta pelle,"Potrei ancora sperare per il bene, incoraggiato"
