Filename,Original,Translate
trad_divina_commedia_purgatorio_1_1.csv,Per correr miglior acque alza le vele,Per far funzionare meglio le acque arrampica la sua vela
trad_divina_commedia_purgatorio_1_1.csv,"omai la navicella del mio ingegno,","Il piccolo vaso del mio genio ora,"
trad_divina_commedia_purgatorio_1_1.csv,che lascia dietro a s  mar s  crudele ,Questo lascia dietro di s  un mare cos  crudele 
trad_divina_commedia_purgatorio_1_1.csv,e canter  di quel secondo regno,E di quel secondo regno canter 
trad_divina_commedia_purgatorio_1_1.csv,dove l umano spirito si purga,"in cui lo spirito umano si purifica,"
trad_divina_commedia_purgatorio_1_1.csv,e di salire al ciel diventa degno.,E ascendere al cielo diventa degno.
trad_divina_commedia_purgatorio_1_1.csv,"Ma qui la morta poes  resurga,","Ma fai risorgere Poesy morto,"
trad_divina_commedia_purgatorio_1_1.csv,"o sante Muse, poi che vostro sono ","O sante Muse, poich  io sono vostra,"
trad_divina_commedia_purgatorio_1_1.csv,"e qui Cal op  alquanto surga,","E qui Calliope sale un po ,"
trad_divina_commedia_purgatorio_1_1.csv,seguitando il mio canto con quel suono,"La mia canzone che accompagna quel suono,"
trad_divina_commedia_purgatorio_1_1.csv,di cui le Piche misere sentiro,Di cui si sentivano le miserabili magpie
trad_divina_commedia_purgatorio_1_1.csv,"lo colpo tal, che disperar perdono.","Il colpo cos  grande, che si sono disperati del perdono."
trad_divina_commedia_purgatorio_1_1.csv,"Dolce color d or ental zaffiro,","Colore dolce dello zaffiro orientale,"
trad_divina_commedia_purgatorio_1_1.csv,che s accoglieva nel sereno aspetto,Questo   stato raccolto nell aspetto senza nuvole
trad_divina_commedia_purgatorio_1_1.csv,"del mezzo, puro infino al primo giro,","dell aria pura, fino al primo cerchio,"
trad_divina_commedia_purgatorio_1_1.csv,"a li occhi miei ricominci  diletto,",  Ai miei occhi     e  piaciuto di nuovo.  
trad_divina_commedia_purgatorio_1_1.csv,tosto ch io usci  fuor de l aura morta,"Appena uscii dall aria morta,"
trad_divina_commedia_purgatorio_1_1.csv,che m avea contristati li occhi e  l petto.,Che aveva con tristezza riempito i miei occhi e il mio seno.
trad_divina_commedia_purgatorio_1_1.csv,Lo bel pianeto che d amar conforta,"Il bellissimo pianeta, che amare incita,"
