Original,Translate_EN,Translate_IT_1
Questo buonuon volea ch’i’ rinegasse,“This good man wanted me to renounce,Questo brav'uomo voleva che rinunciassi
"Mendichità e gisse lavorando,","begging and to go to work,","implorare e andare al lavoro,"
S’i’ non avea che mia vita passando,if I did not have the means to support myself,se non avessi i mezzi per sostenermi
"Potesse, sanza c’altro domandasse.",without asking for more.,senza chiedere di più.
A quel consigl’io mai no•m’acordasse:,I would never agree to that advice:,Non accetterei mai quel consiglio:
Tropp’è gran noia l’andar travagliando.,working is too much of an annoyance!,lavorare è troppo fastidioso!
"Megl’i’amo star davante adorando,",I prefer to keep on begging,Preferisco continuare ad implorare
Ched i’ a lavorar ma’ faticasse;,than to tire myself out by working.,piuttosto che stancarmi lavorando.
Ché ’l lavorar sì no•mi può piaciere,"For I cannot enjoy working,","Perche' non posso divertirmi a lavorare,"
"Néd a•cciò consentir no•mi poria,","nor could I agree to do this,","né potrei accettare di farlo,"
Ché molte volte fallarei in dolere.,for I would often faint from pain.,perché spesso svenivo dal dolore.
Più amo il manto di Papalardia,"I prefer to wear hypocrisy’s mantle,",Preferisco indossare il mantello dell'ipocrisia.
"Portar, per ciò ch’egl’è magior savere,","because it’s the wiser thing to do,","perché è la cosa più saggia da fare,"
Ché di lui cuopr’io mia   gran rinaldia.,for with it I’m able to cover up my fox-like manner.”,per con esso I in grado di coprire il mio modo volpe-come.
