Original,Translate_EN,Translate_IT_1
"Venusso, ch’è socorso degli amanti,","Venus, who comes to the aid of lovers,","Venere, che viene in aiuto degli innamorati,"
"Ven’ a Bellacoglienza col brandone,","came to Fair Welcome with a torch,","è venuto a Fair Benvenuto con una torcia,"
"E’ si rechava,   a guisa di penone,",which she held like a lance,che teneva come una lancia
Per avanpar chiunque l’è davanti.,to set on fire all those she meets.,per dare fuoco a tutti quelli che incontra.
"A voler racontar de’ suo’ senbianti,",If one were to describe her appearance,Se si dovesse descrivere il suo aspetto
"E de la sua tranobile fazone,","and her very noble disposition,","e la sua nobile disposizione,"
Sarebe assai vie più lungo sermone,it would take much longer to tell,ci vorrebbe molto più tempo per dirlo
Ch’a sermonar la vita a tutti i santi.,than to tell the lives of all the Saints.,che raccontare la vita di tutti i Santi.
Quando Bellacoglienza sentì ’l caldo,When Fair Welcome felt the heat,Quando Fair Welcome sentito il caldo
"Di quel brandon,   che così l’avanpava,","of that torch which was setting her ablaze,","di quella fiaccola che la faceva ardere,"
Sì tosto fu ’l su’ cuor col mio saldo.,immediately her heart was joined with mine;,subito il suo cuore si unì al mio;
"E Venusso, ch’a•cciò la confortava,","and Venus, who was urging her to this,","e Venere, che la esortava a questo,"
"Si trasse verso lei col viso baldo,",moved close to her with a powerful look,spostato vicino a lei con un look potente
Diciendo che ve•me troppo fallava:,and told her she was greatly at fault in my regard.,e le disse che era molto in colpa per me.
