Original,Translate_EN,Translate_IT_1
"Com’i’ v’ò detto, a tutto lor podere","As I told you, the God of Love and his army","Come vi ho detto, il Dio dell'Amore e il suo esercito"
Lo Dio d’Amor et la sua Baronia,"of nobles, with all their might,","di nobili, con tutta la loro forza,"
"Presti eran tutti a far senn’e follia,","were ready to do whatever it took,","erano pronti a fare qualsiasi cosa,"
Per aconpiérmi tutto ’l mio volere.,"both wise and foolish, to satisfy my desire.","sia saggio che stolto, per soddisfare il mio desiderio."
Allor pensai s’i’ potesse vedere,At that point I thought I would like to see,A quel punto ho pensato che mi sarebbe piaciuto vedere
Dolze-Riguardo per cosa che sia:,Sweet Glance above all else:,Dolce Sguardo sopra ogni altra cosa:
"Inmantenente Amor a me lo ’nvia,","immediately Love sends him to me,","subito l'amore lo manda a me,"
Di che mi fecie molto gran piaciere.,and this gave me great pleasure.,e questo mi ha fatto molto piacere.
"E que’ sì mi mostrò Bellacoglienza,","And that one showed me Fair Welcome,","E quello mi ha mostrato un bel benvenuto,"
"Che ’nmantenente venne a salutarmi,",who immediately came to greet me,che è venuto subito a salutarmi
E sì mi fecie grande proferenza;,and welcomed me warmly;,e mi ha accolto calorosamente;
E po’ sì cominciò a merziarmi,and then she began to thank me,e poi ha cominciato a ringraziarmi
"Delle mie gioie, di ch’ell’avea voglenza","for my jewels, since she wanted","per i miei gioielli, dal momento che voleva"
Di quel presente ancor guiderdonarmi.,to compensate me for that gift.,per compensarmi per quel regalo.
