Original,Translate_EN,Translate_IT_1
Falso-Senbiante si volle sofrire,False Seeming wanted to stop,Falso Seeming voleva fermarsi
"Sanza dir  de suo’ fatti più in avante,","without saying any more about his activities,","senza dire altro sulle sue attività,"
Ma ’l Die d’Amor non fecie pa senbiante,but the God of Love gave no sign,ma il Dio dell'Amore non ha dato alcun segno
"Ched e’ fosse anoiato dell’udire,",that he was bored by these words.,che era annoiato da queste parole.
"Anzi gli disse, per lui ringioire:","Indeed, to make him happy, he said:","Anzi, per renderlo felice, disse:"
"«E’ convien al postutto, Falsenbiante,","“In the end it’s best for you, False Seeming,","Alla fine è meglio per voi, False Seeming,"
"C’ognie tua tradigion tu sì•cci cante,","to tell us of your treachery,","per raccontarci del tuo tradimento,"
Sì ch’e’ non vi rimanga nulla a dire.,"so that you’ll have no more to say,","in modo che tu non abbia più da dire,"
"Ché•ttu mi pari un uon di Giesocristo,","for you seem to me a man of Jesus Christ,","perché mi sembri un uomo di Gesù Cristo,"
E ’l portamento fai di santo hermito».,and you behave like a holy hermit.”,e ti comporti come un santo eremita.
"«Egli è ben vero, ma i’ sono ipocristo».","“That’s very true, but I am a hypocrite.”","Questo è molto vero, ma io sono un ipocrita."
«Predicar astinenza i’ t’ò udito».,“I heard you preach abstinence.”,Ho sentito che predicate l'astinenza.
"«Ver è, ma, per ch’i’ faccia il viso tristo,","“It’s true, but although I show a sad face,","E' vero, ma nonostante io mostri un volto triste,"
I’ son di buon’ morselli dentro farsito.,inside I am stuffed with tasty morsels.”,all'interno sono farcito con gustosi bocconi.
