Original,Translate_EN,Translate_IT_1
"E se•ttu ami donna ferma e sagia,","“And if you love a constant and wise woman,","E se amate una donna costante e saggia,"
"Ben sagia   mente e fermo ti contieni,",behave wisely and constantly;,Comportati con saggezza e con costanza;
"C’avanti ch’ella dica: “Amico, tieni","for before she’ll say: ‘Friend, take","per prima che lei dica: Amico, prendere"
"Delle mie gioie”, più volte t’asagia.","my jewels,’ she’ll put you to the test many times.","i miei gioielli, lei ti ha messo alla prova molte volte."
"E se•ttu ami femina volaggia,","And if you love a fickle woman,","E se ami una donna volubile,"
"Volagia   mente davanti le vieni,","come before her in a fickle fashion,","venire prima di lei in modo volubile,"
"E tutt’a la sua guisa ti mantieni,",and behave just as she does;,e si comporta come fa lei;
"Od ella ti terrà bestia salvaggia,","if you don’t, she’ll consider you to be a wild beast,","se lo fai, lei ti considera una bestia selvaggia,"
"E crederà che•ttu sie un papalardo,","and believe you to be a hypocrite,","e credi di essere un ipocrita,"
Che sie venuto a•llei per inganarla.,who’s come to deceive her;,chi viene a ingannarla;
"Chéd ella il vol pur giovane e galliardo,",for she wants someone who’s young and hardy.,per lei vuole qualcuno che è giovane e robusto.
"La buona e•ssagia,   ma di ciò non parla",A good and wise woman never speaks of this;,Una donna buona e saggia non parla mai di questo;
"Anz’ama più l’uon fermo che codardo,","indeed, she loves a determined man more than a coward,","anzi, ama un uomo determinato più di un codardo,"
Ché non dotta che que’ faccia blasmarla.,because she does not fear that he would bring her shame.”,perché lei non teme che lui la porterebbe vergogna.
