Original,Translate_IT
Se mai continga che 'l poema sacro,Se mai dovesse accadere che questa sacra poesia...
"al quale ha posto mano e cielo e terra,",al quale il Cielo e la terra hanno posto la mano
"sì che m'ha fatto per molti anni macro,","così che mi ha fatto piegare per molti anni,"
vinca la crudeltà che fuor mi serra,dovrebbe superare la crudeltà che mi chiude fuori
"del bello ovile ov'io dormi' agnello,","del bel ovile dove dormivo come un agnello,"
nimico ai lupi che li danno guerra;,"nemico dei lupi in guerra con esso,"
"con altra voce omai, con altro vello","con un'altra voce, con un'altra pelliccia,"
"ritornerò poeta, e in sul fonte","devo restituire un poeta e, al font"
del mio battesmo prenderò 'l cappello;,"dove sono stato battezzato, prendi la corona di alloro."
"però che ne la fede, che fa conte",Perché là sono entrato nella fede
"l'anime a Dio, quivi intra' io, e poi","che raccomanda l'anima a Dio, e ora,"
Pietro per lei sì mi girò la fronte.,"Per questo, Peter ha circondato cosi' la mia fronte."
Indi si mosse un lume verso noi,A quel punto una luce si mosse verso di noi dal cerchio
di quella spera ond'uscì la primizia,di cui era uscito il primo frutto dello stock
che lasciò Cristo d'i vicari suoi;,"dei vicari Cristo ci ha lasciato sulla terra,"
"e la mia donna, piena di letizia,","e la mia signora, piena di gioia, mi disse:"
"mi disse: “Mira, mira: ecco il barone","Guarda, guarda, ecco il nobile."
per cui là giù si vicita Galizia”.,"che di sotto attira pellegrini in Galizia."""
Sì come quando il colombo si pone,"Come, quando la colomba si accende accanto al suo compagno"
"presso al compagno, l'uno a l'altro pande,","e ogni esposizione, circling e cooing,"
"girando e mormorando, l'affezione;","la sua predilezione per l'altro,"
così vid'ïo l'un da l'altro grande,così vidi un grande e glorioso principe
"principe glorïoso essere accolto,","accolto dall'altro, entrambi dando lode"
laudando il cibo che là sù li prande.,per la festa che vi sono in mezzo.
"Ma poi che 'l gratular si fu assolto,","Ma dopo aver mostrato il loro piacere l'uno nell'altro,"
"tacito coram me ciascun s'affisse,","Entrambi si fermarono, silenziosi, mi coramarono,"
ignito sì che vincëa 'l mio volto.,cosi' brillantemente fiammeggiante che mi hanno superato la vista.
Ridendo allora Bëatrice disse:,"Poi, sorridendo, Beatrice disse:"
“Inclita vita per cui la larghezza,"'Illustri anima viva, tu che hai scritto"
"de la nostra basilica si scrisse,","dei doni abbondanti della nostra corte celeste,"
fa risonar la spene in questa altezza:,"'fare Hope risuona qui a questa altezza, dal momento che tu"
"tu sai, che tante fiate la figuri,","sai come, tu che eri la figura stessa di esso"
quante Iesù ai tre fé più carezza”.,"quando Gesù mostrò grazia ai tre."""
“Leva la testa e fa che t'assicuri:,"Tira su la testa e poi prenditi il cuore,"
"ché ciò che vien qua sù del mortal mondo,",per tutto quello che viene qui dal mondo mortale
convien ch'ai nostri raggi si maturi”.,"sarà qui maturato nel nostro splendore."""
Questo conforto del foco secondo,Il secondo fuoco ha offerto questa garanzia.
mi venne; ond'io leväi li occhi a' monti,Perciò alzai gli occhi sulle colline
che li 'ncurvaron pria col troppo pondo.,la cui luce ardente li aveva pesati prima.
“Poi che per grazia vuol che tu t'affronti,"Da quando il nostro Imperatore, della Sua Grazia,"
"lo nostro Imperadore, anzi la morte,","volontà che tu venga, prima della tua morte,"
"ne l'aula più secreta co' suoi conti,","per incontrare i Suoi nobili nella Sua camera segreta,"
"sì che, veduto il ver di questa corte,","cosi' che, avendo conosciuto la realta' di questa corte,"
"la spene, che là giù bene innamora,",puoi poi rafforzare in te stesso e gli altri
"in te e in altrui di ciò conforte,","la speranza che porta il vero amore a coloro che sono sulla terra,"
"dì quel ch'ell'è, dì come se ne 'nfiora","Di' cos'e' e come sboccia nella tua mente,"
"la mente tua, e dì onde a te venne”.","e di' da dove è venuto a te."""
Così seguì 'l secondo lume ancora.,Così parlò la seconda luce.
E quella pïa che guidò le penne,E l'anima compassionevole che guidava
"de le mie ali a così alto volo,",le piume sulle mie ali a quella grande altezza
a la risposta così mi prevenne:,ha risposto per me prima che potessi rispondere:
“La Chiesa militante alcun figliuolo,'La Chiesa militante non ha altro figlio
"non ha con più speranza, com'è scritto","così pieno di speranza, come è scritto"
nel Sol che raggia tutto nostro stuolo:,nel Sole che risplende i suoi raggi su tutto il nostro ospite.
però li è conceduto che d'Egitto,"""Perciò gli è stato concesso di venire dall'Egitto"
"vegna in Ierusalemme per vedere,",a Gerusalemme per vedere la città
anzi che 'l militar li sia prescritto.,prima che il suo tempo di guerra abbia la sua fine.
"Li altri due punti, che non per sapere",Altri due punti che lei ha chiesto...
"son dimandati, ma perch'ei rapporti","non per la tua illuminazione, ma per dirgli"
"quanto questa virtù t'è in piacere,",quanto questa virtù significhi per te...
"a lui lasc'io, ché non li saran forti","""Lascio a lui, perché non saranno difficili,"
"né di iattanza; ed elli a ciò risponda,",né offrire motivi per vantarsi di se stesso.
e la grazia di Dio ciò li comporti”.,"Ora rispondi, e che la grazia di Dio sia il suo aiuto!."""
Come discente ch'a dottor seconda,"Come lo studente che risponde al suo insegnante,"
"pronto e libente in quel ch'elli è esperto,","pronto e ansioso nel soggetto che ha preparato,"
"perché la sua bontà si disasconda,","con l'intenzione di mostrare il suo valore,"
"“Spene”, diss'io, “è uno attender certo","'La speranza,' ho detto, 'è la certa attesa"
"de la gloria futura, il qual produce","di gloria futura, primavera"
grazia divina e precedente merto.,dalla grazia celeste e dal merito che abbiamo vinto.
Da molte stelle mi vien questa luce;,"""Questa luce mi scende da molte stelle,"
ma quei la distillò nel mio cor pria,ma colui che per primo lo infondò nel mio cuore
che fu sommo cantor del sommo duce.,era l'eccelso cantante del nostro eccelso Signore.
"'Sperino in te', ne la sua tëodia","'""Lasciate che abbiano speranza in voi,"" egli dichiara"
"dice, 'color che sanno il nome tuo':","nel suo canto di Dio, ""quelli che conoscono il tuo nome."""
