Original,Translate_IT
"Imagini, chi bene intender cupe","Lasciatelo immaginare, che avrebbe giustamente afferrare"
"quel ch'i' or vidi - e ritegna l'image,",quello che ho visto ora-e lasciarlo mentre parlo
"mentre ch'io dico, come ferma rupe -,",mantieni quell'immagine come una roccia ferma.
quindici stelle che 'n diverse plage,"nelle diverse parti del cielo, quelle quindici stelle"
lo cielo avvivan di tanto sereno,che vivificano il cielo con tale splendore
che soperchia de l'aere ogne compage;,per annullare le opacità dell'aria;
imagini quel carro a cu' il seno,"Lasciategli immaginare, anche, quel Wain che rimane"
"basta del nostro cielo e notte e giorno,","nel seno del nostro cielo notte e giorno,"
sì ch'al volger del temo non vien meno;,perché la sua svolta non lasci mai la nostra vista;
imagini la bocca di quel corno,fagli immaginare quelle due stelle che si formano
che si comincia in punta de lo stelo,la bocca di quel Corno che inizia in cima
"a cui la prima rota va dintorno,",l'asse rotondo che ruota la prima ruota;
"aver fatto di sé due segni in cielo,",poi vedere questi si uniscono per formare due segni in cielo-
qual fece la figliuola di Minoi,proprio come la costellazione a forma di
allora che sentì di morte il gelo;,di Minos'daughter quando ha sentito il freddo della morte...
"e l'un ne l'altro aver li raggi suoi,","due segni con raggi corrispondenti,"
e amendue girarsi per maniera,girevole in modo che un segno si muova in uno
che l'uno andasse al primo e l'altro al poi;,"direzione, e l'altro in un secondo;"
e avrà quasi l'ombra de la vera,"e avrà un'ombra, come se fosse..."
costellazione e de la doppia danza,"della vera costellazione, della doppia danza"
che circulava il punto dov'io era:,che girava intorno al punto in cui ero in piedi:
"poi ch'è tanto di là da nostra usanza,","un'ombra, poiché la sua verità supera i nostri sensi,"
quanto di là dal mover de la Chiana,come il più rapido di tutti i cieli è
si move il ciel che tutti li altri avanza.,più veloce della lentezza della Chiana.
"Lì si cantò non Bacco, non Peana,","Non cantavano Bacchus, non cantavano Paean,"
"ma tre persone in divina natura,","ma cantava tre Persone nella natura divina,"
e in una persona essa e l'umana.,e in una sola Persona il divino e l'umano.
Compié 'l cantare e 'l volger sua misura;,Il canto e la danza hanno compiuto la loro misura;
"e attesersi a noi quei santi lumi,","e poi quelle sante luci ci hanno dato ascolto,"
felicitando sé di cura in cura.,gioire mentre passavano da un compito all'altro.
Ruppe il silenzio ne' concordi numi,Il silenzio della beata comunione
poscia la luce in che mirabil vita,è stato rotto dalla luce stessa da cui
"del poverel di Dio narrata fumi,",Sentii la meravigliosa vita del povero uomo di Dio;
"e disse: “Quando l'una paglia è trita,","quella luce disse: ""Dal momento che uno stelo è trebbiato, e da"
"quando la sua semenza è già riposta,","il suo grano è già nel granaio,"
a batter l'altra dolce amor m'invita.,Il dolce amore mi porta a trebbiare l'altro gambo.
Tu credi che nel petto onde la costa,Pensi che qualsiasi luce che la natura umana
si trasse per formar la bella guancia,posseduto di diritto era tutto infuso
"il cui palato a tutto 'l mondo costa,",da quella Forza che aveva plasmato entrambi questi due:
"e in quel che, forato da la lancia,",quello dal cui petto è stata tirata la costola
"e prima e poscia tanto sodisfece,",da cui è stata formata la bella guancia il cui palato
"che d'ogne colpa vince la bilancia,",era allora di rivelarsi così costoso per il mondo;
quantunque a la natura umana lece,"e colui il cui petto fu trafitto dalla lancia,"
"aver di lume, tutto fosse infuso","che ha soddisfatto tutti i peccati passati e futuri,"
da quel valor che l'uno e l'altro fece;,superandoli sulla bilancia della giustizia.
"e però miri a ciò ch'io dissi suso,",Quindi vi siete chiesti le mie parole quando io...
quando narrai che non ebbe 'l secondo,prima-ha detto che nessun altro mai vied
lo ben che ne la quinta luce è chiuso.,con quella grande anima racchiusa nella quinta luce.
"Or apri li occhi a quel ch'io ti rispondo,","Ora che i tuoi occhi si aggrappano alla mia risposta,"
e vedräi il tuo credere e 'l mio dire,e vedrete: la verità centra entrambi il mio discorso
nel vero farsi come centro in tondo.,"e la tua fede, proprio come il centro di un cerchio."
Ciò che non more e ciò che può morire,Sia quello che non muore che quello che muore
non è se non splendor di quella idea,sono solo la luce riflessa di ciò
"che partorisce, amando, il nostro Sire;","Idea che il nostro Sire, con Amore, genera;"
ché quella viva luce che sì mea,perché la Luce vivente che sgorga così
"dal suo lucente, che non si disuna",dalla sua luminosa Sorgente che non disgiunge
"da lui né da l'amor ch'a lor s'intrea,","da esso o dall'Amore intricato con loro,"
"per sua bontate il suo raggiare aduna,",attraverso la sua bontà raccoglie i suoi raggi
"quasi specchiato, in nove sussistenze,","entro nove essenze, come in uno specchio,"
etternalmente rimanendosi una.,Se stesso rimanendo eternamente Uno.
Quindi discende a l'ultime potenze,"Da lì, dall'atto all'atto, scende poi la luce"
"giù d'atto in atto, tanto divenendo,","fino alle ultime potenzialità,"
che più non fa che brevi contingenze;,dove è tale che non genera nulla
e queste contingenze essere intendo,"ma brevi cose contingenti, con cui intendo"
"le cose generate, che produce",le cose generate il cielo commovente
con seme e sanza seme il ciel movendo.,"portare all'esistenza, con o senza seme."
La cera di costoro e chi la duce,La cera di queste cose e che forme che cera
non sta d'un modo; e però sotto 'l segno,"non sono immutabili; e così, sotto"
idëale poi più e men traluce.,"Il timbro dell'idea, la luce risplende più o meno."
"Ond'elli avvien ch'un medesimo legno,","Così può essere che, nella stessa specie,"
"secondo specie, meglio e peggio frutta;","alcuni alberi portano frutti migliori e altri peggio,"
e voi nascete con diverso ingegno.,e gli uomini nascono con temperamenti diversi.
Se fosse a punto la cera dedutta,"Poiché la cera è stata opportunamente preparata,"
"e fosse il cielo in sua virtù supprema,","e la potenza del cielo era al suo culmine,"
la luce del suggel parrebbe tutta;,la luminosità del sigillo si rivelerebbe completamente;
"ma la natura la dà sempre scema,",ma la natura funziona sempre in modo difettoso...
similemente operando a l'artista,lei passa su quella luce molto come un artista
ch'a l'abito de l'arte ha man che trema.,che conosce il suo mestiere ma ha una mano che trema.
Però se 'l caldo amor la chiara vista,Eppure dove l'Amore ardente si prepara e i francobolli
