Original,Translate_EN,Translate_IT_1
"Ragion si parte, quand’ella m’intese,","When she heard my words, Reason leaves","Quando sentì le mie parole, la ragione se ne andò"
"Sanza tener più meco parlamento,","without speaking to me any longer,","senza più parlarmi,"
Ché trovar non potea nullo argomento,for she could not find any other argument,perché non riusciva a trovare nessun altro argomento
"Di trarmi de lacciòi, ’n ch’Amor mi prese.",to free me from the snare in which Love had me.,per liberarmi dal laccio in cui l'Amore mi ha avuto.
Allor sì mi rimisi a le difese,"Thus, once more I began to deal with my thoughts","Così, ancora una volta ho cominciato ad affrontare i miei pensieri"
"Co’ mie’ pensieri, e fu’ i•magior tormento",and found myself in much greater torment,e mi trovai in un tormento molto più grande
Assa’ ched i’ non fu’ al cominciamento.,than I was in the beginning:,che io ero all'inizio:
Non mi valea coverta di pavese.,no large shield could help me in this state.,Nessun grande scudo potrebbe aiutarmi in questo stato.
Allor sì piaque a Dio ch’e’ ritornasse,And so it pleased God that Friend,E così piacque a Dio che l'Amico
Amico a me per darmi il su’ consiglio.,returned to me to give me his advice.,è tornato da me per darmi il suo consiglio.
"Sì tosto ch’e’ mi vide, a me si trasse","As soon as he saw me, he drew close","Appena mi ha visto, si e' avvicinato."
"E disse: «Amico, i’ sì mi maraviglio","and said: “Friend, I am amazed","e disse: Amico, sono stupito"
Che ciascun giorno dimagre e apasse.,to see you becoming thinner and paler with each passing day:,per vederti diventare più sottile e più pallido ogni giorno che passa:
Dov’è il visagio tu’ chiaro e vermiglio?».,"where is your shining, red face?”",Dov'e' la tua faccia rossa e splendente?
