Original,Translate_EN,Translate_IT_1
A sua maniera ti mantien tuttora:,“Always behave the way she does:,Comportati sempre come fa lei:
"Che s’ella ride, ridi, o balla,   balla,","if she laughs, you laugh, or if she dances, you dance;","se lei ride, tu ridi, o se lei balla, tu balli;"
"O s’ella piangie, pensa   a consolalla,","and if she cries, attempt to console her,","e se piange, cerca di consolarla,"
Ma fa che pianghe tu sanza dimora.,but make sure that you cry without delay.,ma assicurati di piangere senza indugio.
"E se con altre done fosse ancora,",And if she should be playing a game of ball,E se dovesse giocare a palla...
"Che giocasero al gioco della palla,","with other women, and the ball","con altre donne, e la palla"
"S’andasse lungi, corri ad aportalla.","should go far away, run and bring it back to her:","dovrebbe andare lontano, scappare e riportarlo a lei:"
A•lle’ servir tuttor pensa   e lavora.,always think and work to serve her.,sempre pensare e lavorare per servirla.
"E se vien alcun’ or   ch’ella ti tenza,","And if the time comes when she argues with you,",E se arriva il momento in cui litiga con te...
"Ch’ella ti crucci sì, che•ttu le dài,","or when she angers you so much that you strike her,","o quando ti arrabbia così tanto che la colpisci,"
"Imantenente torna ad ubidenza,","immediately return to obey her,","ritorna subito ad obbedirle,"
"E giurale che ma’ più no ’l farai,",and swear to her that you’ll never do it again;,e giurale che non lo farai mai più;
Di quel ch’ài   fatto farai   penitenza:,you will do penance for what you did.,Farai penitenza per quello che hai fatto.
"Prendila e falle il fatto, che•tti sai.",Grab her and do to her what you do best!”,Prendetela e fatele quello che fate meglio!
