Original,Translate_EN,Translate_IT_1
Quando Venùs intese che Vergogna,When Venus heard Modesty,Quando Venere sentì la Modestà
"Parlò sì arditamente contr’a•llei,","speak so boldly against her,","parlate così coraggiosamente contro di lei,"
"Sì gl’à giurato,   per tutti gli dei,",she quickly swore on all the gods,Ha giurato in fretta su tutti gli dei
Ch’ella le farà ancor gran vergogna;,that she will bring her great disgrace.,che porterà la sua grande disgrazia.
"E poi villanamente la ranpogna,","And then rudely she rebukes her,","E poi maleducata la rimprovera,"
"Diciendo: «Garza, poco pregierei","saying: “You slut, little would I value","Dicendo: Tu puttana, poco mi sarebbe piaciuto"
"I’ ’l mi’ brandone,   sed i’ te non potrei","my torch, if I could not make","la mia torcia, se non potessi fare"
"Farti ricoverare in una fogna,",you take refuge in a sewer.,ti rifugi in una fogna.
"Già tanto non sè   figlia di Ragione,","You aren’t so much the daughter of Reason,","Tu non sei tanto la figlia della ragione,"
"Che senpre co’ figluoi m’à gueregiato,","who has always battled me with her children,","che mi ha sempre combattuto con i suoi figli,"
Ch’i’ non ti metta fuoco nel groppone!».,that I won’t set your ass on fire.”,che io non hai dato fuoco al tuo culo.
Ed a Paura ancor da l’altro lato:,And to Fear who’s still on the other side:,E alla paura chi è ancora dall'altra parte:
"«Ben poco varrà vostra difensione,","“Your defense won’t be worth too much to you,","La tua difesa non vale troppo per te,"
Quand’i’ v’avrò il fornel ben riscaldato!».,once I’ve stoked up your hot little oven.”,una volta che ho riscaldato il vostro piccolo forno caldo.
