Original,Translate_EN,Translate_IT_1
Tant’andai giorno e notte caminando,All night and all day I traveled on,Tutta la notte e tutto il giorno ho viaggiato su
"Col mi’ bordon,   che non era ferrato,","with my staff that was not tipped with iron,","con il mio bastone che non aveva la mancia di ferro,"
Che ’ntra’ duo be’ pilastri fu’ arivato:,until I arrived between the two beautiful columns:,finché non sono arrivato tra le due bellissime colonne:
Molto s’andò   il mi’ cuor riconfortando.,my heart was gaining greater confidence.,Il mio cuore stava guadagnando maggiore fiducia.
"Dritt’a l’erlique venni apressimando,","Straight to the relics I came, closer and closer,","Dritto alle reliquie che sono venuto, sempre più vicino,"
E mantenente mi fu’ inginochiato,and immediately I knelt down,e subito mi inginocchiai
Per adorar quel [bel] corpo beato;,to worship that lovely blessed body;,adorare quel bel corpo benedetto;
"Po’ venni la coverta solevando,",then I began to lift the covering.,Poi ho iniziato a sollevare la copertura.
"E poi provai, sed i’ potea, il bordone",And then I tried to see if I could stick my staff,E poi ho provato a vedere se potevo infilare il mio bastone.
"In quella balestriera, ch’i’ v’ò detto,","into that loophole I told you about,","in quella scappatoia di cui ti ho parlato,"
Metterlo dentro tutto di randone;,to stick it all in with a sudden thrust;,per infilare tutto dentro con una spinta improvvisa;
"Ma i’ non potti, ch’ell’era sì stretto","but I could not, for the entrance","ma non potevo, per l'ingresso"
"L’entrata, che ’l fatto andò   in falligione.",was so tight that the act ended in failure.,era così stretto che l'atto è finito in fallimento.
La prima volta i’ vi fu’ ben distretto.,The first time I was truly distraught.,La prima volta ero davvero sconvolto.
