Original,Translate_EN,Translate_IT_1
Allor Bellacoglienza fu fermata,Then Fair Welcome was enclosed,Allora Fair Welcome è stato racchiuso
"Da questi tre portier’ sotto tre porte,","by these three gatekeepers behind three gates,","da questi tre portieri dietro tre porte,"
E’ con una catena molto forte,and with a very strong chain,e con una catena molto forte
Quella gientil ebero ’ncatenata.,they chained that noble one.,Hanno incatenato quella nobile.
"Po’ corser sopra me, quella brigata,",Then that group ran toward me,Poi quel gruppo è corso verso di me
E disson: «Sopra te cadran le sorte».,and said: “Upon you the burden will fall.”,"e disse: ""Su di voi il fardello cadrà."""
"Allor credetti ben riciever morte,","Then I thought for sure I’d die,","Poi ho pensato di sicuro che morissi,"
Tanto faciean di me gran malmenata:,for they were giving me a great beating.,perche' mi stavano dando un bel colpo.
Sì ch’i’ misericordia domandai,I begged for mercy from,Ho implorato pieta' da parte di...
"A Paura, a Vergognia, e a quel crudele,","Fear, Modesty, and that cruel one;","Paura, Modesto e crudele."
Ma i•nessuna guisa la trovai.,but I received none at all.,Ma non ne ho ricevuto affatto.
Ciascun sì m’era più amar che fele;,Each one was more bitter than gall towards me;,Ognuno era più amaro che galoppo verso di me;
Per molte volte «Merzé!» lor gridai:,many times I shouted to them for mercy:,molte volte ho gridato loro misericordia:
Que’ mi diciean: «Per niente bele».,they said to me: “You’re bleating in vain.”,"mi dissero: ""Voi blaterate invano."""
