Original,Translate_IT
Quanto tra l'ultimar de l'ora terza,"Così tanto che fino alla fine della terza ora,"
e 'l principio del dì par de la spera,"Dall'inizio del giorno del sentiero fa la sfera,"
"che sempre a guisa di fanciullo scherza,","Che balla come un bambino nel giro eterno,"
tanto pareva già inver' la sera,"Così tanto è stato fatto, tanto è stato fatto"
essere al sol del suo corso rimaso;,La loro corsa di giorno per fare il sole;
"vespero là, e qui mezza notte era.","Lì era Vespra, qui a mezzanotte."
"E i raggi ne ferien per mezzo 'l naso,","Su quei sentieri che circondano la montagna,"
"perché per noi girato era sì 'l monte,","Il sole ci sventola nel bel mezzo della faccia,"
"che già dritti andavamo inver' l'occaso,",Perche' siamo appena andati verso ovest.
quand'io senti' a me gravar la fronte,Cadde una lucentezza con un peso carico
"a lo splendore assai più che di prima,",In fronte a me... per accecarmi piu' che prima.
e stupor m'eran le cose non conte;,Non riuscivo a capire cosa fosse.
ond'io levai le mani inver' la cima,Presto mi copro gli occhi con le mani
"de le mie ciglia, e fecimi 'l solecchio,","Come con un ombrello, che davanti al fuoco"
che del soverchio visibile lima.,Gli sguardi deboli potrebbero trovare protezione e tranquillità.
Come quando da l'acqua o da lo specchio,"Come il raggio dallo specchio, dal diluvio"
"salta lo raggio a l'opposita parte,","Salta oltre, e poi salendo verso l'alto,"
salendo sù per lo modo parecchio,Come fai quando scendi...
"a quel che scende, e tanto si diparte","Perché si tratta di linee che si inclinano verticalmente,"
"dal cader de la pietra in igual tratta,","Proprio come qui, si diverge nello stesso modo,"
sì come mostra esperïenza e arte;,Come ci mostrano l'arte e l'esperienza;
così mi parve da luce rifratta,Così il mio occhio è diventato in volo
quivi dinanzi a me esser percosso;,"Colpito dalla luce di ritorno,"
per che a fuggir la mia vista fu ratta.,L'ho chiuso in fretta e l'ho abbattuto.
"“Che è quel, dolce padre, a che non posso","""Cos'è questo, dolce padre?"
"schermar lo viso tanto che mi vaglia”,","Will, quello che faccio, non prosperare per proteggermi."
"diss'io, “e pare inver' noi esser mosso?”.","Sembra che lo splendore sia qui!"""
“Non ti maravigliar s'ancor t'abbaglia,"E lui: ""Non meravigliatevi quando in quel modo"
"la famiglia del cielo”, a me rispuose:",Avvicinarsi ancora a te e a te i servitori del Cielo.
“messo è che viene ad invitar ch'om saglia.,Un messaggero viene e invita a salire.
Tosto sarà ch'a veder queste cose,"Presto ciò che gli occhi videro piangere,"
"non ti fia grave, ma fieti diletto",Sei cosi' ansioso quando sei solo capace di...
quanto natura a sentir ti dispuose”.,"Sentirli, per natura."
"Poi giunti fummo a l'angel benedetto,",L'angelo ci disse con gioia:
con lieta voce disse: “Intrate quinci,"""Venite in mezzo alle trincee meno aspre,"
ad un scaleo vie men che li altri eretto”.,"Come coloro che siete saliti."""
"Noi montavam, già partiti di linci,","Salindo insieme,"
e 'Beati misericordes!' fue,"Sangs dietro di noi: ""Salve il Cuore di Barm, salvezza!"""
"cantato retro, e 'Godi tu che vinci!'.","E ancora una volta suonava: ""Sii felice nelle tue vittorie! """
Lo mio maestro e io soli amendue,"E poiché siamo entrambi soli, e meno ripido"
"suso andavamo; e io pensai, andando,","Le scale erano, ho pensato: ancora in cammino"
prode acquistar ne le parole sue;,Il Maestro ti dara' la lezione.
e dirizza' mi a lui sì dimandando:,"""Cosa amava Guido per il bene,"
"“Che volse dir lo spirto di Romagna,",L'esclusione della cooperativa
e 'divieto' e 'consorte' menzionando?”.,"L'ho parlato, elegante, per guardarlo in faccia."
Per ch'elli a me: “Di sua maggior magagna,"""Perché sempre il suo principale fallimento a lui il dolore di nuovo"""
conosce il danno; e però non s'ammiri,"Disse a Virgil: ""Ti farà più saggio"
se ne riprende perché men si piagna.,E si lamenta di ciò che ora è profondamente pentito.
Perché s'appuntano i vostri disiri,"Perche' il vostro desiderio va a queste cose,"
"dove per compagnia parte si scema,",La coproprietà ridotta dall'invidia
invidia move il mantaco a' sospiri.,"Nel vostro petto, il sospiro si accende il glutine."
Ma se l'amor de la spera supprema,Ma vogliono la gloria nei cieli
"torcesse in suso il disiderio vostro,","Desidera l'uomo riconoscere la sua giusta meta,"
non vi sarebbe al petto quella tema;,Il vostro petto è stato liberato da tale paura.
"ché, per quanti si dice più lì 'nostro',","Qualcuno di questi beni li chiama proprio,"
"tanto possiede più di ben ciascuno,","Quanto più ciascuno possiede il bene là,"
e più di caritate arde in quel chiostro”.,"Più si sente forte nell'amore."""
"“Io son d'esser contento più digiuno”,","""Non ho ancora preso niente,"" dissi al mio castello,"
"diss'io, “che se mi fosse pria taciuto,","""E almeno il dubbio prima ha il silenzio"
e più di dubbio ne la mente aduno.,"Nella mia anima risvegliata, come ora la tua parola."
"Com'esser puote ch'un ben, distributo","Può aumentare la ricchezza di molti,"
"in più posseditor, faccia più ricchi","Quando si distribuisce un bene, come se non fosse"
di sé che se da pochi è posseduto?”.,"""Sarebbe insieme... ma uno di loro?"""
Ed elli a me: “Però che tu rificchi,"E lui: ""Perché, solo sulla terra acchiappata,"
"la mente pur a le cose terrene,","La tua mente non ha ancora vinto il volo più alto,"
di vera luce tenebre dispicchi.,Per questo trascinerai le tenebre dalla vera luce.
Quello infinito e ineffabil bene,"Il cielo è ineffabile,"
"che là sù è, così corre ad amore",Stanno correndo verso l'amore...
com'a lucido corpo raggio vene.,Come dopo lo specchio verso il raggio dei soli
Tanto si dà quanto trova d'ardore;,"Piu' si danno, piu' brillano, piu' si danno..."
"sì che, quantunque carità si stende,","E la forza eterna scorre più ricca,"
