Original,Translate_EN,Translate_IT_1
"Ma ciascun uon, c’avesse in sé ragione,",“But any man who was astute,Ma ogni uomo che era astuto
"O che del mondo ben savio sarebe,",or wise in worldly ways,o saggio in modi mondani
"Ma’ don’ di femina non prenderebe,","would never take gifts from a woman,","non avrebbe mai preso regali da una donna,"
"Ch’e’ non son che•llacci di tradigione,",for they are nothing but the snares of treachery.,perché non sono altro che i lacci del tradimento.
"Ché quella, che faciesse donagione,",For the woman who would give gifts,Per la donna che darebbe dei doni
"Contra la sua natura pecherebe,","would sin against her nature,","peccava contro la sua natura,"
E ’n gran follia ciascun gliele porebe,"and everyone would think her quite foolish,","e tutti la penserebbero piuttosto stupida,"
Sed ella no ’l faciesse a tradigione.,if she were not doing it to deceive.,se non lo stava facendo per ingannare.
"Perciò ciascuna pensi, quando dona,","Therefore, when giving a gift, let every woman plan","Quindi, quando si fa un dono, ogni donna pianifichi"
"Che doni nella guisa, c’ò parlato,","to give in the manner that I’ve described,","di indicare nel modo descritto dall'I.V.,"
"Sì che, quand’ella avrà passata nona,","so that, when she has passed the ninth hour,","in modo che, quando ha superato la nona ora,"
Il guardacuor suo sia sì fodrato,her overcoat may be so well-lined,il suo cappotto può essere così ben rivestito
Ch’ella non cagia a merzé di persona.,that she does not have to count on the charity of anyone:,che non deve contare sulla carità di nessuno:
E ciò tien tutto al ben aver guardato.,and this depends on her having set wealth aside.”,e questo dipende dal fatto che ha messo da parte la ricchezza.
