Original,Translate_IT
"Affetto al suo piacer, quel contemplante","Quindi questo contemplativo, tutto alla sua gioia,"
"libero officio di dottore assunse,","Assuma liberamente l'ufficio di dottore,"
e cominciò queste parole sante:,inizia il suo discorso con queste sante parole:
"“La piaga che Maria richiuse e unse,","La ferita che unse e guarì Maria,"
quella ch'è tanto bella da' suoi piedi,Era la bella donna seduta sotto di lei.
è colei che l'aperse e che la punse.,che l’aveva fatto aprire e che l’aveva avvelenata.
"Ne l'ordine che fanno i terzi sedi,",Al terzo grado che compongono le sedi
siede Rachel di sotto da costei,"è seduta Rachele, presso Beatrice,"
"con Bëatrice, sì come tu vedi.","Come puoi vedere, un po’ più in basso dell’altro."
"Sarra e Rebecca, Iudìt e colei","Sarah e Rebecca, Judith la bisaia"
che fu bisava al cantor che per doglia,di quel canto reale che diceva nei suoi versi
"del fallo disse 'Miserere mei',","miserere mei, rimpiangendo i suoi errori,"
puoi tu veder così di soglia in soglia,"Seguono, come vedi, da gradino a gradino,"
"giù digradar, com'io ch'a proprio nome","sempre scendendo, nell’ordine dei loro nomi"
vo per la rosa giù di foglia in foglia.,formando dall'alto verso il basso i petali del fiore.
"E dal settimo grado in giù, sì come","Dal settimo gradino fino in basso, come anche"
"infino ad esso, succedono Ebree,","dalla cima fino a lui, una fila di ebrei,"
dirimendo del fior tutte le chiome;,Dividono in lunghezza la testa della rosa;
"perché, secondo lo sguardo che fée","perché, seguendo lo sguardo che si considerava"
"la fede in Cristo, queste sono il muro","la fede di Gesù Cristo, formano il muro"
a che si parton le sacre scalee.,Da dove partono queste scale sacre.
Da questa parte onde 'l fiore è maturo,"Dal lato più vicino, dove tutti i petali"
"di tutte le sue foglie, sono assisi","sembrano sbocciare, tu vedi stare seduto"
quei che credettero in Cristo venturo;,quelli che prima credettero in Cristo a venire;
da l'altra parte onde sono intercisi,"e dall'altra parte, il cui vuoto interrompe"
"di vòti i semicirculi, si stanno","in luoghi i gradi, rimangono seduti questi"
quei ch'a Cristo venuto ebber li visi.,che fissavano i loro sguardi su Cristo avvenne.
E come quinci il glorïoso scanno,Come da questa parte il glorioso trono
de la donna del cielo e li altri scanni,"della signora del cielo, con gli altri seggi,"
"di sotto lui cotanta cerna fanno,","si trovano al di sotto, formando come un cuscinetto,"
"così di contra quel del gran Giovanni,",Egli fece anche durante il trono del grande Giovanni.
che sempre santo 'l diserto e 'l martiro,"che, sempre santo, ha sofferto il deserto"
"sofferse, e poi l'inferno da due anni;","e il martirio, e poi l'inferno per due anni;"
e sotto lui così cerner sortiro,e sotto di esso completano il taglio
"Francesco, Benedetto e Augustino",Francesco con Benedetto e con Agostino
e altri fin qua giù di giro in giro.,"e altri fino in basso, passando di cerchio in cerchio."
Or mira l'alto proveder divino:,Ammira qui da Dio l’insigne provvidenza!
ché l'uno e l'altro aspetto de la fede,Perché l’uno e l’altro aspetto di questa stessa legge
igualmente empierà questo giardino.,Anche questo giardino deve essere riempito.
E sappi che dal grado in giù che fiede,E sappi anche che in fondo al gradino che distingue
"a mezzo il tratto le due discrezioni,","due piani uguali in entrambe le emissive,"
"per nullo proprio merito si siede,","non si risiede per il proprio merito,"
"ma per l'altrui, con certe condizioni:","ma da quello degli altri, sotto certe riserve;"
ché tutti questi son spiriti asciolti,perché sono gli spiriti di tutti coloro che sono morti
prima ch'avesser vere elezïoni.,senza aver disposto tutto il loro libero arbitrio.
Ben te ne puoi accorger per li volti,Puoi capirlo facilmente ai volti.
"e anche per le voci püerili,","e, se ne ha bisogno, alle loro voci infantili,"
se tu li guardi bene e se li ascolti.,Se guardi bene o li ascolti.
Or dubbi tu e dubitando sili;,"Dubiti ora, ma senza volerlo dire:"
ma io discioglierò 'l forte legame,Ti libererò da questi forti ostacoli
in che ti stringon li pensier sottili.,in cui ti intrufola un pensiero troppo sottile.
