Original,Translate_EN,Translate_IT_1
"«Il bel valetto, di chu’ biasmo avesti","“The handsome lad for whom you were once punished,","Il bel ragazzo per il quale una volta sei stato punito,"
"Giadiss’èsi colui, che•lle ti manda","he is the one who sends them to you,","è lui che te li manda,"
"E ’l rimanente, c’à, è a tua comanda.",and the others that he has are at your command:,e gli altri che ha sono al tuo comando:
Unquanche huon più cortese non vedesti:,never have you seen a more refined man.,Non hai mai visto un uomo piu' raffinato.
"E’ prieghati, se mai ben gli volesti,","And he begs you, if you ever loved him,","E ti supplica, se mai lo avrai amato,"
"Che, per l’amor di lui, questa ghirlanda",that for love of him you must wear,che per amore di lui devi indossare
Degie portare; e’ sì sé racomanda,"this garland, and thus he puts himself","questa ghirlanda, e così si mette"
Del tutto a•tte: gran peccato faresti,"completely in your power. You would commit a great sin,","completamente in tuo potere. Tu commetteresti un grande peccato,"
Se ’l su’ presente tu gli rifusassi;,if you were to refuse his gift.,se rifiutassi il suo dono.
"Ch’i’ son ciertana ch’e’ si disperebbe,","For I’m certain that he would despair,","Per certo che si dispererebbe,"
Se•ttu così del tutto lo sfidassi;,if you were in this way to discourage him completely;,se tu fossi in questo modo per scoraggiarlo completamente;
"Ché quanto, ch’e’ potesse, e’ sì farebe","for he would do as much as he could for you,","perche' avrebbe fatto il piu' possibile per te,"
"Per te, e sofferria che•llo ’ngaggiassi,","and he would not object, even if you were to pawn it,","e lui non si opporrebbe, anche se tu dovessi impegnarlo,"
"E, se ’l vendessi, sì gli piacierebe».","and, if you were to sell it, he would similarly be pleased.”","e, se doveste venderlo, sarebbe ugualmente soddisfatto."
