Original,Translate_EN,Translate_IT_1
Ancor sì non comanda la Scrittura,"“Moreover, Scripture does not order","Inoltre, la Scrittura non ordina"
"Che possent’uon di corpo chegia pane,",a man with a healthy body to beg for bread,un uomo con un corpo sano per implorare il pane
Né che si metta a viver d’altru’ ane:,nor to live off another’s labor:,né di vivere di un altro lavoro dei mariti:
"Questo non piacie a Dio, né non n’à cura,","this does not please God, nor is He responsible for it;",Questo non piace a Dio e non ne è responsabile.
"Né non vuol, che•ll’uon faccia sale, o mura,",neither does He want rooms and buildings to be built,né vuole che si costruiscano stanze ed edifici
"De le limosine alle gient’istrane,",for foreigners from collected alms;,per gli stranieri provenienti da elemosine raccolte;
"Ma vuol c’uon le diparta a giente humane,",rather He wants them to be divided among those people,piuttosto vuole che siano divisi tra quelle persone
Di cui forza e santade à gran paura.,whose strength and health give Him concern.,la cui forza e la cui salute gli danno preoccupazione.
"E sì difendea buono Giustiziano,",The good Justinian prohibited,Il buon Giustiniano proibito
E questo fecie scriver nella Legie:,– and he had this written in the law –,E aveva scritto questo nella legge
"Che nesun dia limosina a huon sano,",that charity be given to a healthy man,che la carità sia data ad un uomo sano
"Che truovi a guadagniare, e•ttu t’avegi","who can earn his keep and who, as you can see,","chi può guadagnarsi la sua custodia e chi, come puoi vedere,"
Ch’a lavorare e’ non vuol metter mano;,is unwilling to do any work;,non è disposto a fare alcun lavoro;
"Ma vuol che•ttu ’l gastighi, e cacci, e fegi.",but he requires that you punish and exile and beat him.”,ma lui richiede che tu punisca e esiliati e lo picchi.
