Original,Translate_EN,Translate_IT_1
Ancor non dé aver femina credenza,"“Moreover, a woman must not believe","Inoltre, una donna non deve credere"
"Che nessun huon malia far le potesse,","that any man can cast a spell on her,","che ogni uomo possa lanciarle un incantesimo,"
"Néd ella ancor d’altrui, s’ella potesse","nor that she could do the same with men, if she would wish","né che potesse fare lo stesso con gli uomini, se volesse"
C’altri l’amasse   contra sua voglienza.,them to love her against their will.,per amarla contro la loro volontà.
"Medea, in cui fu tanta sapienza,","Medea, who was so knowledgeable in these matters,","Medea, che era così competente in queste questioni,"
Non potte far che Giesonò tenesse,"could not keep her hold on Jason,","non riusciva a tenere la sua presa su Jason,"
"Per arte nulla, ch’ella gli faciesse,",despite the magic spells she tried on him,nonostante gli incantesimi che ha provato su di lui
Sì ch’e’ ’nver’ lei tornasse   la sua ’ntenza.,to make him direct his love towards her.,per fargli dirigere il suo amore verso di lei.
"Sì non dea nessun don, che guari vaglia,","A woman should not give expensive gifts,","Una donna non dovrebbe dare regali costosi,"
A null’amante tanto l’apregiasse:,"to any lover, no matter how much she might prize him:","a qualsiasi amante, non importa quanto lei possa premiarlo:"
"Doni borsa, guanciale, o tovaglia,","let her give a purse, a pillow or a tablecloth,","le dia una borsa, un cuscino o una tovaglia,"
"O cinturetta, che poco costasse,","or a very inexpensive belt,","o una cintura molto economica,"
"Covriciefo, o aguglier di bella taglia,","a cap or a nicely crafted pin case,","un tappo o una custodia ben realizzata,"
"O gumitol di fil, s’egli ’l degniasse.",or a skein of yarn if he would deem it worthy.”,o una matassa di filato se lo ritiene degno.
