Original,Translate_EN,Translate_IT_1
"Venùs allora già più non atende,","At this point Venus waits no longer,","A questo punto Venere non aspetta più,"
Però ched ella sì vuol ben mostrare,since she wants to demonstrate,Dal momento che lei vuole dimostrare
"A ciaschedun ciò, ched ella sa fare.",to everyone that she knows what to do:,a tutti che lei sa cosa fare:
"Imantenente l’arco su’ sì tende,","immediately she bends her bow,","subito piega l'arco,"
"E poi prende   il brandone, e sì l’aciende;",and then takes the torch and lights it.,e poi prende la torcia e la accende.
"Sì no•lle parve pena lo scocare,",She released the torch with ease,Ha rilasciato la torcia con facilità
"E per la balestriera il fe’ volare,","and made it fly right through the loophole,","e lo fece volare attraverso la scappatoia,"
Sì che ’l castel ma’ più non si difende.,such that the castle can no longer be defended.,in modo che il castello non possa più essere difeso.
Imantenente il fuoco sì s’aprese,Immediately the fire took hold:,Subito il fuoco prese il sopravvento:
"Per lo castello, ciascun si fugìo,",everyone fled the castle;,tutti fuggirono dal castello;
Sì che nessun vi fecie più difese.,no one defended it any more.,Nessuno l'ha piu' difeso.
Lo Schifo disse: «Qui no•sto più io!»;,Resistance said: “I can’t stay here any longer.”,Resistance ha detto: può più rimanere qui.
Vergogna si fugì in istran paese;,"Modesty fled to a foreign land,","Modesty fuggì in una terra straniera,"
Paura a gra•fatica si partìo.,and Fear left with great difficulty.,e la paura se n'è andata con grande difficoltà.
