Original,Translate_EN,Translate_IT_1
"Dogliendomi in pensando del villano,",While thinking sadly about that savage one,Pensando tristemente a quella selvaggia...
"Che•ssì vilmente dal Fior m’à lungiato,","who so savagely chased me from the Flower,","che così selvaggiamente mi inseguì dal Fiore,"
"Ed i’ mi riguardai dal dritto lato,",I looked on my right side and saw,Guardai sul mio lato destro e vidi
"E sì vid’i’ Ragion, col viso piano,","Reason, who, with tranquil face,","Ragione, che, con il volto tranquillo,"
"Venir verso di me, e per la mano",was coming towards me. She took me by the,Viene verso di me. Mi ha preso per il
Mi prese e disse: «Tu•ssè sì smagrato!,hand and said: “You have become so thin!,"mano e disse: ""Sei diventato così sottile!"
I’ credo che•ttu à’ troppo pensato,I believe that you have thought too much,Credo che tu abbia pensato troppo.
"A que’, che•tti farà gittar in vano,",about that one who’ll make you work in vain:,a proposito di quello che ti fa lavorare invano:
"Ciò è Amor, a chui dat’ài fidanza.","that person is Love, to whom you’ve given loyalty.","quella persona è l'Amore, al quale tu hai dato fedeltà."
"Ma•sse m’avessi avuto al tu’ consiglio,","But if you had listened to my advice,","Ma se avessi ascoltato il mio consiglio,"
"Tu non saresti gito co•llui a danza,",you would not have gone with him to dance.,Non saresti andato con lui a ballare.
"Ché sie ciertano,   a chu’ e’ dà di piglio,",For you can be sure the one he seizes,Perché puoi essere sicuro che quello che lui afferra
"Egli ’l tiene in tormento e malenanza,","He’ll keep in torment and in sorrow,","Egli si tiene nel tormento e nel dolore,"
Sì che su’ viso non è ’n mai vermiglio».,such that his face will never be red.”,tale che il suo volto non sarà mai rosso.
