Original,Translate_IT
Quando colui che tutto 'l mondo alluma,"Se lei, che trasfigura brillantemente tutto il mondo,"
"de l'emisperio nostro sì discende,",Nuotato dal nostro emisferico
"che 'l giorno d'ogne parte si consuma,","E il giorno, prima di tutto, si perdona,"
"lo ciel, che sol di lui prima s'accende,","Poi il cielo mostra, prima sfuggita da lei,"
subitamente si rifà parvente,"Da sola, un sacco di stelle in giro,"
"per molte luci, in che una risplende;",Che ha preso tutta la sua luce da una luce.
"e questo atto del ciel mi venne a mente,","Questo era ciò che ora stava davanti alla mia anima,"
come 'l segno del mondo e de' suoi duci,Come segno del nostro mondo e dei loro governanti
nel benedetto rostro fu tacente;,La bocca di Benedeiten è rimasta in silenzio.
"però che tutte quelle vive luci,","Poiché tutte le luci, quelle ricche di nuvole,"
"vie più lucendo, cominciaron canti","Piu' splendente nel Sang, al suo potere"
da mia memoria labili e caduci.,Non l'insistenza terrena le ali vanno bene.
"O dolce amor che di riso t'ammanti,","O cara, vestita con il sorriso splendore,"
"quanto parevi ardente in que' flailli,","Come ho visto la lucentezza che ti riversava nelle scintille,"
ch'avieno spirto sol di pensier santi!,La mente guarita è aumentata solo lì!
Poscia che i cari e lucidi lapilli,"Poi, come le pietre preziose, che sono con dolcezza"
ond'io vidi ingemmato il sesto lume,"I raggi di luce rialzano la sesta luce,"
"puoser silenzio a li angelici squilli,","Lasciarono di nuovo le campane degli angeli tacere,"
udir mi parve un mormorar di fiume,Mi sembra di mostrarlo in tono mormorioso
"che scende chiaro giù di pietra in pietra,","Un fiume che cade da una roccia all'altra,"
mostrando l'ubertà del suo cacume.,Com'era ricca la sua fonte sugli alpini.
E come suono al collo de la cetra,"E come un suono, suonando di suoni puri,"
"prende sua forma, e sì com'al pertugio",Il suo collo si forma e come il vento
"de la sampogna vento che penètra,","Entrare attraverso la bocca, trapassando la sciarpa;"
"così, rimosso d'aspettare indugio,",Così quella biglia svanì
quel mormorar de l'aguglia salissi,Rialzarsi fino al collo dell'aquila
"su per lo collo, come fosse bugio.","E uscì dalla gola, dolce e mite"
"Fecesi voce quivi, e quindi uscissi","E fu fatta voce, e vi fu fatta uscire,"
"per lo suo becco in forma di parole,","Ward è stato formato per la parola desiderata,"
quali aspettava il core ov'io le scrissi.,E il mio cuore mantiene ciò che mi è venuto in mente.
“La parte in me che vede e pate il sole,"""La parte in me che è vicino alle aquile"
"ne l'aguglie mortali”, incominciommi,","Il sole vede e porta, guarda!"" così alzato"
"“or fisamente riguardar si vole,",La parola continua e continua:
"perché d'i fuochi ond'io figura fommi,","""Perché dei fuochi che hanno intrecciato la mia immagine,"
"quelli onde l'occhio in testa mi scintilla,","In piedi, quelli qui brillano al posto dell'occhio,"
e' di tutti lor gradi son li sommi.,In ogni dignità davanti agli altri.
"Colui che luce in mezzo per pupilla,","Colui che ha il posto del meloocchio,"
"fu il cantor de lo Spirito Santo,",Il cantante dello Spirito di salvezza era e portato
che l'arca traslatò di villa in villa:,L'Arca federale è andata di città in città.
"ora conosce il merto del suo canto,","Come colui che lo entusiasma, il suo ottavo"
"in quanto effetto fu del suo consiglio,","E il suo canto, lo vede Jetzo,"
per lo remunerar ch'è altrettanto.,Perche' ha fatto la ricompensa al valore.
"Dei cinque che mi fan cerchio per ciglio,",Delle cinque persone che mi guardano intorno come una sposa...
"colui che più al becco mi s'accosta,",Guarda il becco più vicino a quello che è passato di tempo
la vedovella consolò del figlio:,L'esercito comandò ad una vedova di Flehn.
ora conosce quanto caro costa,"Come chi non segue Cristo alla sua salvezza,"
"non seguir Cristo, per l'esperïenza","Questo costa caro, l'ha capito ora"
di questa dolce vita e de l'opposta.,In questo Wonn e al contrario.
E quel che segue in la circunferenza,"Il prossimo nel cerchio che avvolge il mio occhio,"
"di che ragiono, per l'arco superno,",E 'quello che ha la morte a quindici anni
morte indugiò per vera penitenza:,Distoglietevi da voi stessi con vero pentimento.
ora conosce che 'l giudicio etterno,"Ora egli vede, il Signore, il Vero eterno,"
"non si trasmuta, quando degno preco","Rimani eternamente vero, anche se il suo giudizio"
fa crastino là giù de l'odïerno.,Risparmieremmo su un flemma da oggi a domani.
"L'altro che segue, con le leggi e meco,","Colui che segue guidava la legge e me,"
"sotto buona intenzion che fé mal frutto,","Spinto da una buona ragione a una cattiva azione,"
per cedere al pastor si fece greco:,"In Grecia, perché si è allontanato dal pastore."
ora conosce come il mal dedutto,"Ora vede che, detraendo dal bene,"
"dal suo bene operar non li è nocivo,","Il male che vi seppellisce nelle macerie,"
avvegna che sia 'l mondo indi distrutto.,Eppure non gli ha tolto nulla dal suo won.
"E quel che vedi ne l'arco declivo,","Guarda Wilhelm, dove l'arco scende,"
"Guiglielmo fu, cui quella terra plora","Se la sua morte dei cittadini del paese piange,"
che piagne Carlo e Federigo vivo:,Questo piange perché Karl e Friederich vivevano.
ora conosce come s'innamora,"Ora vede, Dio ama teneramente, come i suoi,"
"lo ciel del giusto rege, e al sembiante","Giusti principi e illuminati,"
del suo fulgore il fa vedere ancora.,Lasciate che questo sembri in un lampo di gioia.
Chi crederebbe giù nel mondo errante,"Chi lo crederà nel mondo del paradiso,"
che Rifëo Troiano in questo tondo,"Che Ripheus, il troiano, qui in giro"
fosse la quinta de le luci sante?,Del quinto splendore della luce salvifica?
Ora conosce assai di quel che 'l mondo,Ora probabilmente ha la grazia di Dio
"veder non può de la divina grazia,","E vedete più di quanto il vostro mondo si mostri,"
ben che sua vista non discerna il fondo”.,"Non spingete il suo sguardo fino al fondo."""
Quale allodetta che 'n aere si spazia,"Come nell'aria sale l'allodola,"
"prima cantando, e poi tace contenta","Prima cantando fluttua, ma poi, soddisfatto,"
"de l'ultima dolcezza che la sazia,","Soddisfatto dall'ultima argilla dolce, taciuto;"
tal mi sembiò l'imago de la 'mprenta,"Così mi è sembrato quel quadro, attraverso il quale"
"de l'etterno piacere, al cui disio","L'Altissimo ci dice la volontà eterna,"
ciascuna cosa qual ell'è diventa.,Quello che decidera' a ogni cosa cio' che e'.
E avvegna ch'io fossi al dubbiar mio,"E ho anche abbassato i dubbi,"
"lì quasi vetro a lo color ch'el veste,","Come un bicchiere di vernice, ha sofferto il mio silenzio,"
"tempo aspettar tacendo non patio,",E non essere in preda all'enunciazione.
"ma de la bocca, “Che cose son queste?”,",Egli costrinse questa parola a scendere dalla bocca:
mi pinse con la forza del suo peso:,"""Che cosa vidi là!"" per la sua forza,"
per ch'io di coruscar vidi gran feste.,Perche' ho visto delle lucciole di gioia.
"Poi appresso, con l'occhio più acceso,","Infiammato il glutine più chiaro nell'occhio,"
lo benedetto segno mi rispuose,"Ha parlato con l'aquila per farmi arrabbiare,"
per non tenermi in ammirar sospeso:,"Lo stupore, con tale splendore, affascinava:"
“Io veggio che tu credi queste cose,"""Ho visto che ci credevi, ma solo per questo..."
"perch'io le dico, ma non vedi come;",Perché l'ho detto e non vedi come?
"sì che, se son credute, sono ascose.","Come ci teniamo a credere in ciò che è nascosto,"
Fai come quei che la cosa per nome,"Come imparare il nome della cosa, ma loro"
"apprende ben, ma la sua quiditate","Non può distinguere dalla loro natura,"
veder non può se altri non la prome.,Se qualcun altro non ci ha dato la luce.
vïolenza pate,"Il regno dei cieli deve subire la violenza,"
"da caldo amore e da viva speranza,","Quando il potere dell'amore e della speranza lo vince,"
che vince la divina volontate:,Poiché la volontà di Dio è vinta da entrambi;
"non a guisa che l'omo a l'om sobranza,",Non come un uomo è soggetto al più forte;
"ma vince lei perché vuole esser vinta,","No, vince, perché vuole arrendersi."
"e, vinta, vince con sua beninanza.","Lui, sconfitto dalla sua bontà, vince."
La prima vita del ciglio e la quinta,Sorpresa alla prima e alla quinta vita
"ti fa maravigliar, perché ne vedi","Nella mia donna e lo chiami meraviglioso,"
la regïon de li angeli dipinta.,Che entrambi qui fluttuano in un chiaro splendore.
"D'i corpi suoi non uscir, come credi,","Come cristiani, non come pagani, questa coppia morì."
"Gentili, ma Cristiani, in ferma fede","Egli crede nella sofferenza che è già arrivata,"
quel d'i passuri e quel d'i passi piedi.,Il secondo a quello che era ancora da tollerare.
"Ché l'una de lo 'nferno, u' non si riede","Quello è dell'inferno, che non è mai aperto"
"già mai a buon voler, tornò a l'ossa;","Al ritorno, era tornato al corpo,"
e ciò di viva spene fu mercede:,E questo lo deve solo alla speranza vivente;
"di viva spene, che mise la possa","La speranza vivente che Dio desidera,"
"ne' prieghi fatti a Dio per suscitarla,","Liberarlo dalle bande della morte,"
sì che potesse sua voglia esser mossa.,"Per vivere, come insegna la Parola."
"L'anima glorïosa onde si parla,",E l'anima gloriosa si rialza
"tornata ne la carne, in che fu poco,","Per breve tempo al corpo e credete in lui,"
credette in lui che potëa aiutarla;,L'onnipotenza l'ha aiutata a supplicare.
e credendo s'accese in tanto foco,"E, credendo, si sentiva così ardente"
"di vero amor, ch'a la morte seconda","Con vero amore, che essi"
