Original,Translate_IT
Già era 'l sole a l'orizzonte giunto,Aveva già il sole l'orizzonte raggiunto
lo cui meridïan cerchio coverchia,Il cui cerchio di meridiani copre o'er
Ierusalèm col suo più alto punto;,"Gerusalemme con il suo punto più alto,"
"e la notte, che opposita a lui cerchia,",E la notte che di fronte a lui ruota
"uscia di Gange fuor con le Bilance,",Stava emettendo avanti da Gange con le scale
che le caggion di man quando soverchia;,che cadono dalla sua mano quando essa supera;
"sì che le bianche e le vermiglie guance,",Così che il bianco e le guance vermiglio
"là dov'i' era, de la bella Aurora","Della bella Aurora, dov'ero,"
per troppa etate divenivan rance.,Di età troppo grande stavano cambiando in arancione.
"Noi eravam lunghesso mare ancora,","Eravamo ancora al confine del mare,"
"come gente che pensa a suo cammino,","Come le persone che pensano alla loro strada,"
che va col cuore e col corpo dimora.,che vanno nel cuore e con il corpo rimangono;
"Ed ecco, qual, sorpreso dal mattino,","E come quando, all'approssimarsi del mattino,"
per li grossi vapor Marte rosseggia,Attraverso i vapori lordi Marte cresce rosso ardente
"giù nel ponente sovra 'l suol marino,","Giù nell'ovest sul fondo dell'oceano,"
"cotal m'apparve, s'io ancor lo veggia,",Apparito a me può io di nuovo vedere esso!
"un lume per lo mar venir sì ratto,","Una luce lungo il mare che arriva così rapidamente,"
che 'l muover suo nessun volar pareggia.,Il suo movimento da nessun volo di ala è eguagliato;
Dal qual com'io un poco ebbi ritratto,Da cui quando un po 'avevo ritirato
"l'occhio per domandar lo duca mio,","I miei occhi, per mettere in dubbio il mio direttore,"
rividil più lucente e maggior fatto.,Ancora una volta l'ho visto più luminoso cresciuto e più grande.
Poi d'ogne lato ad esso m'appario,Poi su ogni lato di esso mi apparve
"un non sapeva che bianco, e di sotto","Non sapevo cosa di bianco, e sotto di esso"
a poco a poco un altro a lui uscìo.,A poco a poco ne uscì un altro.
"Lo mio maestro ancor non facea motto,",Il mio Maestro non aveva ancora pronunciato una parola
mentre che i primi bianchi apparver ali;,Mentre il primo biancore in ali si dispiegava;
"allor che ben conobbe il galeotto,","Ma quando ha chiaramente riconosciuto il pilota,"
"gridò: “Fa, fa che le ginocchia cali.","Gridò: ""Affrettatevi, affrettatevi ad inginocchiarvi!"
Ecco l'angel di Dio: piega le mani;,"Guarda l'Angelo di Dio, piega le mani!"
omai vedrai di sì fatti officiali.,D'ora in poi vedrai questi ufficiali!
"Vedi che sdegna li argomenti umani,","Guarda come disprezza le discussioni umane,"
"sì che remo non vuol, né altro velo","Così che né remo vuole, né altra vela"
"che l'ali sue, tra liti sì lontani.","Delle sue ali, tra spiagge così lontane."
"Vedi come l'ha dritte verso 'l cielo,","Guarda come li tiene puntati verso il cielo,"
"trattando l'aere con l'etterne penne,","Fanking l'aria con i pignoni eterni,"
che non si mutan come mortal pelo”.,"Che non si mutino come capelli mortali!"""
"Poi, come più e più verso noi venne",Poi come ancora più vicino e più vicino a noi è venuto
"l'uccel divino, più chiaro appariva:","L'uccello divino, più radioso apparve,"
"per che l'occhio da presso nol sostenne,","perché vicino all'occhio non potesse sopportarlo,"
ma chinail giuso; e quei sen venne a riva,"Ma io l'ho gettata giù, ed egli è venuto a riva"
"con un vasello snelletto e leggero,","Con un piccolo vaso, molto veloce e leggero,"
tanto che l'acqua nulla ne 'nghiottiva.,e l'acqua non ne inghiottì nulla.
"Da poppa stava il celestial nocchiero,",Sulla poppa sorgeva il Pilota Celeste;
tal che faria beato pur descripto;,"Beatitudine sembrava scritto sul suo volto,"
e più di cento spirti entro sediero.,E più di cento spiriti sedevano dentro.
'In exitu Isräel de Aegypto',"""In exitu Israel de Aegypto!"""
cantavan tutti insieme ad una voce,"Cantarono tutti insieme con una sola voce,"
con quanto di quel salmo è poscia scripto.,Con quello che in quel salmo è scritto.
Poi fece il segno lor di santa croce;,"Fece su di loro un segno di santo castigo,"
ond'ei si gittar tutti in su la piaggia:,"dove tutti si gettano sulla riva,"
"ed el sen gì, come venne, veloce.",Ed egli se ne andò rapidamente mentre veniva.
"La turba che rimase lì, selvaggia",La folla che ancora vi rimaneva sconosciuta
"parea del loco, rimirando intorno","Sembrava il luogo, tutto intorno a loro guardando,"
come colui che nove cose assaggia.,Come uno che in questioni nuove fa saggio.
Da tutte parti saettava il giorno,Da ogni parte era darting avanti il giorno.
"lo sol, ch'avea con le saette conte","Il sole, che aveva con i suoi alberi splendenti"
"di mezzo 'l ciel cacciato Capricorno,","Dal Medio Cielo inseguì il Capricorno,"
quando la nova gente alzò la fronte,Quando le nuove persone alzarono i loro volti
"ver' noi, dicendo a noi: “Se voi sapete,","Verso di noi, dicendoci: ""Se lo sapete,"
mostratene la via di gire al monte”.,"Mostraci la strada per andare sulla montagna."""
E Virgilio rispuose: “Voi credete,"E la risposta fece Virgilio: ""Voi credete"
forse che siamo esperti d'esto loco;,"Forse siamo a conoscenza di questo posto,"
ma noi siam peregrin come voi siete.,Ma noi siamo estranei come voi stessi.
"Dianzi venimmo, innanzi a voi un poco,","Proprio ora siamo venuti, un po' prima di te,"
"per altra via, che fu sì aspra e forte,","Un altro modo, che era così ruvido e ripido,"
che lo salire omai ne parrà gioco”.,"Quel montaggio ci sembrerà ormai uno sport."""
"L'anime, che si fuor di me accorte,","Le anime che avevano, vedendomi respirare,"
"per lo spirare, ch'i' era ancor vivo,","Diventare consapevoli che ero ancora vivo,"
maravigliando diventaro smorte.,Pallido nel loro stupore divenne;
E come a messagger che porta ulivo,Quanto al messaggero che porta l'oliva
"tragge la gente per udir novelle,","Il popolo si affolla per ascoltare le notizie,"
"e di calcar nessun si mostra schivo,","E nessuno si mostra spaventato di affollarsi,"
così al viso mio s'affisar quelle,Così alla vista di me rimase immobile
"anime fortunate tutte quante,","Quegli spiriti fortunati, tutti loro, come se"
quasi oblïando d'ire a farsi belle.,Ovvio che vada e li renda giusti.
Io vidi una di lor trarresi avante,"Uno di loro ha visto che mi sono fatto avanti,"
"per abbracciarmi, con sì grande affetto,","Per abbracciarmi, con tanto affetto,"
che mosse me a far lo somigliante.,Che mi ha incitato a fare cose del genere.
"Ohi ombre vane, fuor che ne l'aspetto!","O ombre vuote, salvate solo sotto gli aspetti!"
"tre volte dietro a lei le mani avvinsi,","Tre volte dietro di esso ho chiuso le mani,"
e tante mi tornai con esse al petto.,Come spesso è tornato con loro al mio seno!
"Di maraviglia, credo, mi dipinsi;",Penso con meraviglia che mi ho raffigurato;
"per che l'ombra sorrise e si ritrasse,",dove l'ombra sorrise e retrocedeva;
"e io, seguendo lei, oltre mi pinsi.","E io, proseguendo, ho spinto più avanti."
Soavemente disse ch'io posasse;,Gently ha detto che dovrei rimanere sui miei passi;
"allor conobbi chi era, e pregai","Poi ho saputo chi era, e ho supplicato"
"che, per parlarmi, un poco s'arrestasse.",Che si sarebbe fermato un po 'di parlare con me.
Rispuosemi: “Così com'io t'amai,"Mi ha risposto: ""Anche come ti ho amato"
"nel mortal corpo, così t'amo sciolta:","Nel corpo mortale, così ti amo libero;"
però m'arresto; ma tu perché vai?”.,"Perciò mi fermo, ma perché vai?"""
"“Casella mio, per tornar altra volta","""My own Casella! to return again"
"là dov'io son, fo io questo vïaggio”,","Lì dove mi trovo, faccio questo viaggio,"" dissi;"
diss'io; “ma a te com'è tanta ora tolta?”.,"""Ma come mai da te è stato preso così tanto tempo?"""
"Ed elli a me: “Nessun m'è fatto oltraggio,","E lui a me: ""Nessun oltraggio mi è stato fatto,"
"se quei che leva quando e cui li piace,",Se colui che prende sia quando che chi vuole
più volte m'ha negato esto passaggio;,"Mi ha più volte negato questo passaggio,"
ché di giusto voler lo suo si face:,Per una volontà giusta è fatta la sua.
veramente da tre mesi elli ha tolto,"Lui, per dirlo con calma, da tre mesi ha preso"
"chi ha voluto intrar, con tutta pace.","Chi vuole entrare con tutta la pace,"
"Ond'io, ch'era ora a la marina vòlto","Da dove io, che ora si era girato verso quella riva"
"dove l'acqua di Tevero s'insala,","Dove sale le acque del Tevere crescono,"
benignamente fu' da lui ricolto.,Benignamente da lui sono stati ricevuti.
"A quella foce ha elli or dritta l'ala,","A quella presa ora la sua ala è puntata,"
però che sempre quivi si ricoglie,Perche' ci sara' sempre piu' gente.
qual verso Acheronte non si cala”.,"Coloro che trainano Acheron non discendono."""
E io: “Se nuova legge non ti toglie,"E io: ""Se una nuova legge non ti toglie"
memoria o uso a l'amoroso canto,"Memoria o pratica del canto dell'amore,"
