Original,Translate_EN,Translate_IT_1
"«Dì, Falsenbiante, in che maniera puote","“Tell me, False Seeming: in what way can a man","Dimmi, Falso Semendo: in che modo un uomo può"
"Seguire Idio chi à tutto venduto,","follow God, who has sold everything","segui Dio, che ha venduto tutto"
"Ed àllo tutto a’ pover’ dispenduto,","and given it to the poor,","e l'ha data ai poveri,"
"E le sue borse son rimase vote,","and whose purse remains empty,","e la cui borsa rimane vuota,"
"Ed è forte, e possente, e à grosse gote?",and who is strong and vigorous and has fleshy cheeks?,e chi è forte e vigoroso e ha guance carnose?
Gli sarebe per dritto concieduto,Would it be right to allow him,Sarebbe giusto permettergli...
"C’a trar sua vita domandasse aiuto,","to beg in order to survive,","implorare per sopravvivere,"
"Come quest’altri, che•ttu or mi note?».",just like the others whom you’ve listed for me now?”,proprio come gli altri che hai elencato per me ora?
«Dico di no: che se Dio fe’ comando,“The answer is no; because when God ordered,"La risposta è no, perché quando Dio ha ordinato"
"C’on desse tutto a’ poveri, e po’ ’L sieva,","that one should give everything to the poor, and then follow Him,","che si dia tutto ai poveri e poi lo si segua,"
"La Sua ’ntenzion non fu in truandando,",His intention was not concerned with begging for alms,La sua intenzione non era di implorare l'elemosina
"E questo intendimento ti ne lieva,",- and get this opinion out of your head ­,- e tira fuori questa opinione dalla tua testa
"Ma con buon’opere tuttor lavorando,","but rather with working always toward good ends,","ma piuttosto lavorando sempre per fini buoni,"
C’uon forte in truandar l’anima grieva.,for a strong man who begs weighs down his soul.”,per un uomo forte che implora pesa la sua anima.
