Original,Translate_EN,Translate_IT_1
"«Falsar tal saramento è san’ pechato,","“To violate such a pledge does not constitute sin,","Per violare un tale impegno non costituisce peccato,"
"Poi te’ ciaschun, secondo ,","since everyone knows, according to the Decretals,","poiché tutti sanno, secondo i Decretals,"
"Che, se l’uon giura di far alcun male,","that if a man vows to commit a crime,","che se un uomo giura di commettere un crimine,"
"S’e’ se ne lascia, non è pergiurato.","and then abstains from doing it, it is not perjury.","e poi si astene dal farlo, non è falsa testimonianza."
Tu mi proposi che tu sè giurato,You say to me that you have sworn allegiance,Mi dici che hai giurato fedeltà
"A questo Dio, che•tt’à condotto a tale","to this god, who has guided you to such a point","a questo dio, che ti ha guidato fino a questo punto"
"C’ognie vivanda mangi sanza sale,","that you eat all foods without salt,","che mangi tutti i cibi senza sale,"
Sì fortemente t’à disavorato.,so has he made you lose the sense of taste.,Cosi' ti ha fatto perdere il senso del gusto.
"E’ sì si fa chiamar il ‘Die d’Amore’,","And so he has people call him the God of Love,","E così la gente lo chiama Dio dell'Amore,"
Ma chi così l’apella fa gran torto,"but whoever calls him this makes a great mistake,","ma chiunque lo chiami questo fa un grande errore,"
Ché su’ sornome dritto si è ‘Dolore’.,for his proper name is Pain.,Perche' il suo vero nome e' Dolore.
"Or ti parti da•llui, o tu sè morto,","Now separate yourself from him, or you will die,","Ora separati da lui, o morirai,"
"Né no ’l tener giama’ più a signiore,","and no longer keep him as your lord,","e non tenerlo più come tuo signore,"
"E prendi il buon consiglio, ch’i’ t’aporto».",and take the good advice I am giving you!”,e prendere il buon consiglio che vi sto dando!
