Original,Translate_EN,Translate_IT_1
Chi della pelle del monton fasciasse,“Do you think that if someone were to dress,Pensi che se qualcuno dovesse vestirsi
"I•lupo, e tra•lle pecore il mettesse,",a wolf in the skin of a ram and then put it,un lupo nella pelle di un ariete e poi metterlo
"Credete voi, perch’e’ monton paresse,","among the sheep, the wolf would not","tra le pecore, il lupo non voleva"
Che de le pecore e’ non divorasse?,devour the sheep because it appeared to be a ram?,divorare le pecore perché sembrava essere un ariete?
"Già men lor sangue non desiderasse,","It would not desire their blood any less,","Non vorrebbe meno il loro sangue,"
Ma vie più tosto inganar le potesse.,"but rather could deceive them more rapidly,","ma piuttosto li potrebbe ingannare più rapidamente,"
"Po’ che•lla pecora no ’l conosciesse,","and since the sheep would not recognize the wolf,","e siccome le pecore non riconoscevano il lupo,"
"S’e’ si fugisse, inpresso lui n’andasse.","if it were to go away, they would follow.","Se dovesse sparire, lo seguirebbero."
Così vo io mi’ abito divisando,"Thus, I change my appearance,","Così, io cambio il mio aspetto,"
"Ched i’ per lupo non sia conosciuto,","so that I may not be recognized as a wolf,","per non essere riconosciuto come un lupo,"
Tutto vad’io le gienti divorando.,even though I go about devouring people.,Anche se vado a divorare la gente.
"E, Dio merzé, i’ son sì proveduto,","And, thank God, I am so wise","E, grazie a Dio, sono cosi' saggio."
"Ched i’ vo tutto ’l mondo ogi truffando,",that I go around cheating everyone,che vado in giro a tradire tutti
E sì son santo e produomo tenuto.,and yet am considered a saint and a good man.”,e tuttavia sono considerato un santo e un brav'uomo.
