Original,Translate_EN,Translate_IT_1
"Ma, quand’i’ truovo un ben ricco usuraio","“But when I find a very wealthy, but sick usurer,","Ma quando trovo un usuraio molto ricco, ma malato,"
"Infermo, vo ’l sovente a vicitare,","I frequently pay him visits,","Gli faccio spesso visita,"
Chéd i’ ne credo danari aportare,"because I think I can take his money away,","perché penso di potergli portare via i soldi,"
"Non con giomelle, anzi a colmo staio.","and not just handfuls, but bushels and bushels.","e non solo manciate, ma anche cespugli e cespugli."
"E, quando posso, e’ non riman danaio","And when I do this, not a single coin remains","E quando lo faccio, non rimane una sola moneta."
"A•ssua famiglia, ond’e’ possa ingrassare.",for his family with which they can get fat.,per la sua famiglia con cui possono ingrassare.
"Quand’egli è morto, i’ ’l convio a sotterare","When he’s dead, I accompany him to his grave;","Quando muore, lo accompagno fino alla tomba;"
"Po’ torno, e sto più ad agio che Gienaio.",then I return and am more relaxed than in January.,poi torno e sono più rilassato che a gennaio.
"E sed i’ sono da nessun biasmato,",And if I’m blamed by anyone,E se sono incolpato da qualcuno
"Perch’io il pover lascio, e ’l rico stringo,","because I flee the poor and cling to the rich,","perché fuggo i poveri e mi aggrappasco ai ricchi,"
"Intender fo che ’l ricco à più peccato,","I let it be known that the rich man has sinned more,","Ho lasciato che si sapesse che l'uomo ricco ha peccato di più,"
"E perciò sì ’l conforto e sì ’l consiglio,","and for this reason I must give him comfort and advice,","e per questo devo dargli conforto e consiglio,"
"Insin ch’e’ d’ognie ben s’è spodestato,",until he has divested himself of all his goods,fino a quando non si è liberato di tutti i suoi beni
"E dato   à me, che ’n paradiso il pingo.","and given them to me, who then give him a shove into paradise.”","e me li ha dati, che poi gli ha dato una spinta in paradiso."
