Original,Translate_EN,Translate_IT_1
Udendo Mala-Bocca c’Astinenza,Upon hearing the strong reproach,Dopo aver sentito il forte rimprovero
"Sì forte il biasimava, e riprendea,","and criticism that Abstinence gave him,","e le critiche che l'Astinenza gli ha dato,"
"Sì•ssi crucciò, e disse ch’e’ volea",Bad Mouth got very mad and said he wanted,Mouth cattivo si è arrabbiato molto e ha detto che voleva
C’andasser fuor   della su’apartenenza:,them to leave his territory:,di lasciare il suo territorio:
«Vo’ credete coprir Bellacoglienza,“You think you can clear Fair Welcome,Pensi di poter cancellare Fair Benvenuto
"Di ciò, che quel valetto far credea.",of that which the young lad was thinking of doing.,di quello che il ragazzo stava pensando di fare.
Be•llo dissi e dirò ch’ela volea,"I said it once and I’ll say it again, that she wanted","L'ho detto una volta e l'ho detto di nuovo, che voleva"
"Donargli il Fior, e quest’era sua ’ntenza.","to give him the Flower, and this was her intention.","per dargli il Fiore, e questa era la sua intenzione."
"Que’ lo ’nnerrò del bascio, quest’è cierto,","That one did not kiss her by mistake, that’s for sure:","Quello non l'ha baciata per sbaglio, che di sicuro si fa:"
"Per ch’i’ vi dico, a voi divinatori,","for which I tell you, you fancy talkers,","per cui vi dico, voi chiacchiere eleganti,"
Che questo fatto non fia già coverto.,that this deed will not be hidden.,che questo atto non sarà nascosto.
Vo’ mi parete due inganatori:,You seem to me to be two deceivers:,Mi sembra che tu sia due ingannatori:
"Andate fuor di casa, che ’n aperto","get out of my house, for I’ll plainly","esci da casa mia, per I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I"
Vi dico ch’i’ non vo’ tapinatori».,tell you that I don’t want swindlers here.”,vi dico che non voglio truffatori qui.
