Original,Translate_IT
Ne l'ora che non può 'l calor dïurno,Per fare il suo corso attraverso l'acqua più liscia
"intepidar più 'l freddo de la luna,","la piccola corteccia del mio spirito ora arrampica la sua vela,"
"vinto da terra, e talor da Saturno",lasciando alle spalle quel mare crudele.
- quando i geomanti lor Maggior Fortuna,"Ora canterò il secondo regno,"
"veggiono in orïente, innanzi a l'alba,","là dove l'anima dell'uomo è purificata,"
"surger per via che poco le sta bruna -,",resa degna di ascendere al Cielo.
"mi venne in sogno una femmina balba,","Qui dai morti la poesia si alzi,"
"ne li occhi guercia, e sovra i piè distorta,","O Muse sacre, da quando sono vostra."
"con le man monche, e di colore scialba.",Lasciate che Calliope si alzi.
Io la mirava; e come 'l sol conforta,per accompagnare la mia canzone con quegli stessi accordi
"le fredde membra che la notte aggrava,",la cui forza colpì così le miserabili magpie
così lo sguardo mio le facea scorta,"che, ascoltando, hanno perso ogni speranza di perdono."
"la lingua, e poscia tutta la drizzava","Colore dolce dello zaffiro orientale,"
"in poco d'ora, e lo smarrito volto,",aleggiando nell'aspetto calmo e tranquillo
"com'amor vuol, così le colorava.","d'aria intervenente, pura all'orizzonte,"
"Poi ch'ell'avea 'l parlar così disciolto,",mi sono compiaciuto ancora una volta dei miei occhi
"cominciava a cantar sì, che con pena",non appena ho lasciato l'aria morbosa
da lei avrei mio intento rivolto.,che aveva afflitto sia il mio petto che gli occhi.
"“Io son”, cantava, “io son dolce serena,","Il pianeta giusto che incoraggia l'amore,"
che ' marinari in mezzo mar dismago;,"sorridente, illuminato a est,"
tanto son di piacere a sentir piena!,velando i pesci nel suo treno.
Io volsi Ulisse del suo cammin vago,"Mi voltai a destra e, fissando la mia attenzione"
"al canto mio; e qual meco s'ausa,","sull'altro polo, ho visto quattro stelle"
rado sen parte; sì tutto l'appago!”.,"non visti, ma dai primi sulla terra."
"Ancor non era sua bocca richiusa,",Il cielo stesso sembrava gioire
quand'una donna apparve santa e presta,nel loro splendente luccichio. O vedova
lunghesso me per far colei confusa.,"regione del nord, negata quella vista!"
"“O Virgilio, Virgilio, chi è questa?”,","Una volta che ho attirato il mio sguardo da loro,"
fieramente dicea; ed el venìa,girare a malapena verso l'altro polo
con li occhi fitti pur in quella onesta.,"dove era posta la costellazione del fiume,"
"L'altra prendea, e dinanzi l'apria","Ho visto accanto a me un vecchio, da solo,"
"fendendo i drappi, e mostravami 'l ventre;",che dal suo aspetto era così meritevole di rispetto
quel mi svegliò col puzzo che n'uscia.,che nessun figlio deve di più a suo padre.
"Io mossi li occhi, e 'l buon maestro: “Almen tre","La sua barba era lunga e striata di bianco,"
"voci t'ho messe!”, dicea, “Surgi e vieni;","come i suoi capelli, che cadde"
troviam l'aperta per la qual tu entre”.,in doppi fili fino al petto.
"Sù mi levai, e tutti eran già pieni",I raggi di quelle quattro stelle sante
"de l'alto dì i giron del sacro monte,",adornava il suo viso con tanta luce
e andavam col sol novo a le reni.,Sembrava splendere con la luminosità del sole.
"Seguendo lui, portava la mia fronte","Quali anime sei tu per essere fuggito dall'eterna prigione,"
"come colui che l'ha di pensier carca,",arrampicarsi contro il ruscello oscuro e nascosto?
che fa di sé un mezzo arco di ponte;,"chiese, scuotendo quelle venerate serrature."
quand'io udi' “Venite; qui si varca”,'Chi era la tua guida o chi la tua lanterna
"parlare in modo soave e benigno,",per condurvi fuori da quella notte profonda
qual non si sente in questa mortal marca.,quale ripida la valle dell'Inferno nelle tenebre?
"Con l'ali aperte, che parean di cigno,","Le leggi dell'abisso sono così infrante,"
volseci in sù colui che sì parlonne,"o è stato fatto un nuovo decreto in cielo,"
tra due pareti del duro macigno.,"che, dannazione, stai davanti alle mie scogliere?"""
"Mosse le penne poi e ventilonne,",Il mio capo mi ha poi contattato.
