Original,Translate_IT
"""S'io ti fiammeggio nel caldo d'amore","""Se nel fuoco dell'amore mi sembra di accendere"
"di là dal modo che 'n terra si vede,","oltre la misura visibile sulla terra,"
"sì che del viso tuo vinco il valore,","perché io vinca la forza della tua visione,"
"non ti maravigliar, ché ciò procede",non c'è bisogno di chiedersi; Io sono così perché
"da perfetto veder, che, come apprende,",della mia perfetta visione-come ho afferrato
così nel bene appreso move il piede.,"il bene, quindi mi avvicino al bene in atto."
Io veggio ben sì come già resplende,Invero vedo che nel vostro intelletto
"ne l'intelletto tuo l'etterna luce,","ora risplende la luce infinita; una volta vista,"
"che, vista, sola e sempre amore accende;","che la luce, sola e sempre, accende l'amore;"
"e s'altra cosa vostro amor seduce,","e se una cosa minore attira il tuo amore,"
"non è se non di quella alcun vestigio,",è un vestigio di quella luce che-anche se
"mal conosciuto, che quivi traluce.",imperfettamente brilla attraverso quella cosa minore.
"Tu vuo' saper se con altro servigio,","Volete sapere se, attraverso un atto giusto,"
"per manco voto, si può render tanto","si può riparare una promessa insoddisfatta,"
"che l'anima sicuri di letigio"".","affinché l'anima e Dio siano riconciliati."""
Sì cominciò Beatrice questo canto;,"Beatrice cominciò questo canto,"
"e sì com'uom che suo parlar non spezza,","come colui che non interrompe il suo discorso,"
continüò così 'l processo santo:,così procedeva il suo santo ragionamento:
"""Lo maggior don che Dio per sua larghezza","""Il più grande dono della magnanimità"
"fesse creando, e a la sua bontate","di Dio, come ha creato, dato, il dono"
"più conformato, e quel ch'e' più apprezza,","più adatto alla Sua bontà, dono che Egli"
fu de la volontà la libertate;,"la maggior parte dei premi, era la libertà della volontà;"
"di che le creature intelligenti,",quegli esseri che hanno intelletto-tutti questi
"e tutte e sole, fuoro e son dotate.",e nessuno tranne questi-ricevuti e non ricevono
"Or ti parrà, se tu quinci argomenti,","questo dono: così si può disegnare, come conseguenza,"
"l'alto valor del voto, s'è sì fatto","l'alto valore di un voto, quando ciò che è promesso"
che Dio consenta quando tu consenti;,con il tuo consenso incontra il consenso di Dio;
"ché, nel fermar tra Dio e l'omo il patto,",perché quando un patto è disegnato tra un uomo
"vittima fassi di questo tesoro,","e Dio, poi per libero arbitrio, un uomo si arrende"
tal quale io dico; e fassi col suo atto.,"quello che ho chiamato il suo tesoro, il suo libero arbitrio."
Dunque che render puossi per ristoro?,Quale dunque può essere una compensazione adeguata?
"Se credi bene usar quel c'hai offerto,","Per usare di nuovo ciò che avevate offerto, sarebbe"
di maltolletto vuo' far buon lavoro.,significa cercare di fare del bene con guadagni mal gotti.
Tu se' omai del maggior punto certo;,Ormai capisci il punto principale;
"ma perché Santa Chiesa in ciò dispensa,",ma siccome la Santa Chiesa dà dispensazioni...
"che par contra lo ver ch'i' t'ho scoverto,",che sembra in contrasto con la verità che ho detto...
"convienti ancor sedere un poco a mensa,",è necessario sedersi a tavola un po 'più a lungo:
"però che 'l cibo rigido c'hai preso,",Il cibo che avete preso era cibo duro.
richiede ancora aiuto a tua dispensa.,"ha ancora bisogno di aiuto, se devi digerirlo."
Apri la mente a quel ch'io ti paleso,"Aprite la vostra mente a ciò che divulgherò,"
"e fermalvi entro; ché non fa scïenza,","e tienila ferma dentro di te; chi ascolta,"
"sanza lo ritenere, avere inteso.","ma non tiene ciò che ha udito, non impara nulla."
Due cose si convegnono a l'essenza,Due cose sono dell'essenza quando uno voti
di questo sacrificio: l'una è quella,un sacrificio: la questione del pegno
di che si fa; l'altr'è la convenenza.,e poi il compatto formale che si accetta.
Quest'ultima già mai non si cancella,Quest'ultimo non potrà mai essere annullato fino a quando
se non servata; e intorno di lei,il compatto è compiuto: è di questo
sì preciso di sopra si favella:,che vi ho parlato in modo così preciso.
però necessitato fu a li Ebrei,"Pertanto, gli Ebrei hanno trovato necessario"
"pur l'offerere, ancor ch'alcuna offerta","per portare le loro offerte, anche se - come voi"
"si permutasse, come saver dei.",alcune delle loro offerte potrebbero essere alterate.
"L'altra, che per materia t'è aperta,",Per quanto riguarda la questione del voto discusso
"puote ben esser tal, che non si falla",sopra- può essere tale che se uno si sposta
se con altra materia si converta.,"all'altra materia, uno non commette alcun peccato."
Ma non trasmuti carco a la sua spalla,Ma nessuno sposti il fardello sulla sua spalla.
"per suo arbitrio alcun, sanza la volta","attraverso il suo giudizio, senza aspettare"
e de la chiave bianca e de la gialla;,la rotazione delle chiavi bianche e gialle;
"e ogne permutanza credi stolta,","e fagli vedere che ogni cambiamento è insensato,"
se la cosa dimessa in la sorpresa,a meno che la cosa che si mette da parte non sia
come 'l quattro nel sei non è raccolta.,"contenuto in un peso nuovo, come quattro su sei."
Però qualunque cosa tanto pesa,"Così, quando la questione di un voto ha così"
"per suo valor che tragga ogne bilancia,","molto peso e vale la pena che punta ogni scala,"
sodisfar non si può con altra spesa.,nessun altro peso può servire come sostituto.
Non prendan li mortali il voto a ciancia;,Che i mortali non facciano mai voto di scherzo;
"siate fedeli, e a ciò far non bieci,","essere fedeli e tuttavia circospezione, non avventato"
come Ieptè a la sua prima mancia;,come fu Iefte nell'offrire il suo primo dono
"cui più si convenia dicer 'Mal feci',","avrebbe dovuto dire: 'Ho sbagliato,' e non"
"che, servando, far peggio; e così stolto",ha fatto di peggio mantenendo la fede. E si può trovare
"ritrovar puoi il gran duca de' Greci,",quella stessa stupidità nel capo dei Greci
"onde pianse Efigènia il suo bel volto,",quando il suo bel viso ha fatto lphigenia dolore
e fé pianger di sé i folli e i savi,e ha fatto il saggio e ha fatto lo stolto piangere
ch'udir parlar di così fatto cólto.,per lei quando sentirono parlare di un tale rito.
"Siate, Cristiani, a muovervi più gravi:","Cristiani, procedete con maggiore gravità:"
"non siate come penna ad ogne vento,","non essere come una piuma ad ogni vento,"
e non crediate ch'ogne acqua vi lavi.,né pensare che tutte le immersioni ti lavino.
"Avete il novo e 'l vecchio Testamento,","Avete entrambi il Testamento, il Vecchio e il Nuovo,"
e 'l pastor de la Chiesa che vi guida;,hai il pastore della Chiesa che ti guida;
questo vi basti a vostro salvamento.,non hai bisogno di più di questo per la tua salvezza.
"Se mala cupidigia altro vi grida,","Se l'avidita' malvagia ti chiamasse altrove,"
"uomini siate, e non pecore matte,","essere uomini, e non come pecore impazzite, in modo che"
sì che 'l Giudeo di voi tra voi non rida!,l'ebreo che vive in mezzo a voi non vi deriderà!
Non fate com'agnel che lascia il latte,"Non comportarti come uno stupido, insensato agnello."
"de la sua madre, e semplice e lascivo","che lascia il latte di sua madre e, incurante, vuole"
"seco medesmo a suo piacer combatte!"".","per la guerra contro se stesso e per il suo stesso danno!"""
Così Beatrice a me com'ïo scrivo;,Queste parole di Beatrice le trascrivo qui;
poi si rivolse tutta disïante,E poi ha espresso il suo desiderio in pieno...
a quella parte ove 'l mondo è più vivo.,dove il mondo è più vivo con la luce.
Lo suo tacere e 'l trasmutar sembiante,Il suo silenzio e il cambiamento del suo aspetto
"puoser silenzio al mio cupido ingegno,","impose un silenzio alla mia mente avida,"
che già nuove questioni avea davante;,che ora era pronto ad affrontare nuove questioni;
e sì come saetta che nel segno,e anche come una freccia che ha colpito
"percuote pria che sia la corda queta,","il segno prima che la corda si riposi,"
così corremmo nel secondo regno.,Cosi' abbiamo corso per raggiungere il secondo regno.
"Quivi la donna mia vid'io sì lieta,","Quando era passata nella luce del cielo,"
"come nel lume di quel ciel si mise,",Ho visto la mia signora piena di tanta gioia
che più lucente se ne fé 'l pianeta.,"che, alla sua gioia, il pianeta è diventato più luminoso."
"E se la stella si cambiò e rise,",E se il pianeta cambiasse e sorridesse...
qual mi fec'io che pur da mia natura,io... io che per mia stessa natura sono...
trasmutabile son per tutte guise!,dato ad ogni tipo di cambiamento-diventare?
Come 'n peschiera ch'è tranquilla e pura,"Come in una piscina di pesce che è calma e chiara,"
traggonsi i pesci a ciò che vien di fori,i pesci si avvicinano a tutto ciò che si avvicina
"per modo che lo stimin lor pastura,","da fuori, se sembra essere il loro prezzo,"
sì vid'io ben più di mille splendori,tali furono i più di mille splendori
"trarsi ver' noi, e in ciascun s'udia:","Ho visto avvicinarsi a noi, e ognuno ha dichiarato:"
"""Ecco chi crescerà li nostri amori"".","""Ecco uno che aumenterà i nostri amori."""
"E sì come ciascuno a noi venìa,","E come ogni ombra si avvicinava, si vedeva,"
vedeasi l'ombra piena di letizia,"a causa della luminosità che ha mandato,"
nel folgór chiaro che di lei uscia.,la gioia con la quale si riempì quell'ombra.
"Pensa, lettor, se quel che qui s'inizia","Considera, lettore, quale è la tua miseria"
"non procedesse, come tu avresti","e bisogno di sapere ancora di più sarebbe se, a"
di più savere angosciosa carizia;,"questo punto, quello che cominciai non continuò;"
e per te vederai come da questi,E tu sentirai come io...
"m'era in disio d'udir lor condizioni,",desiderava così sentire quelle sfumature narrare il loro stato
sì come a li occhi mi fur manifesti.,non appena sono apparsi davanti ai miei occhi.
"""O bene nato a cui veder li troni","""O nato per la letizia, che la grazia di Dio"
del trïunfo etternal concede grazia,permette di vedere i troni dell'eterno
"prima che la milizia s'abbandoni,","trionfo prima che la vostra guerra di vita sia finita,"
del lume che per tutto il ciel si spazia,la luce che ci accende è la stessa luce
"noi semo accesi; e però, se disii","che si diffonde per tutto il cielo; così, se tu"
"di noi chiarirti, a tuo piacer ti sazia"".","ci conoscerebbe, sate voi stessi come vi pare."""
Così da un di quelli spirti pii,Anche uno di quegli spiriti devoti parlava.
"detto mi fu; e da Beatrice: ""Dì, dì","E Beatrice invitò: ""Parla, parla"
