Original,Translate_EN,Translate_IT_1
Quand’el’ebe il castel di guernigione,As soon as she had the castle supplied,Non appena ha avuto il castello fornito
"Fornito, sì com’e’ gli era mestiere,","with weapons as was necessary,","con le armi necessarie,"
"Ad ognie porta mise su’ portiere,",she put watchmen at every door:,Ha messo sentinelle ad ogni porta:
De’ più fidati c’avea in sua magione.,these were the most trusted in her household.,Questi erano i piu' fidati della sua famiglia.
"E perch’ella dottava tradigione,","And since she feared betrayal,","E siccome temeva il tradimento,"
"Mise lo Schifo in sul portal primiere,","she placed Resistance at the main door,","Ha messo la Resistenza alla porta principale,"
Perch’ella il sentia aspro cavaliere;,because she knew he was a determined knight.,perché sapeva che era un cavaliere determinato.
"Al secondo la figlia di Ragione,",At the second gate she put Reason’s daughter -,Al secondo cancello ha messo la figlia della ragione...
"Ciò fu Vergognia, che fe’ gran difensa;",Modesty - who provided great defense;,Modestà - che ha fornito grande difesa;
"La terza porta si guardò Paura,","the third gate was guarded by Fear,","la terza porta era sorvegliata dalla paura,"
Ch’iera una donna di gran provedenza;,a lady famous for her shrewdness;,una donna famosa per la sua astuzia;
"Al quarto portal, dietro da le mura,","and at the fourth gate, behind the wall,","e alla quarta porta, dietro le mura,"
"Fu messo Mala-Bocha, la chu’ intenza",Bad Mouth stood: his constant purpose,Mouth cattivo si è levato in piedi: il suo scopo costante
Ferm’iera a dir mal d’ognie criatura.,was to say evil things about everyone.,era dire cose malvagie su tutti.
