Original,Translate_IT
"Quando il settentrïon del primo cielo,","Cantando con la voce di una donna innamorata,"
che né occaso mai seppe né orto,"ha messo fine al suo discorso, dicendo:"
"né d'altra nebbia che di colpa velo,",il Beato quorum tecta sunt peccata.
e che faceva lì ciascuno accorto,"E poi, come a volte le ninfe vanno da sole"
"di suo dover, come 'l più basso face","sotto l’ombra dei grandi boschi, desiderosi l’uno dell’altro"
"qual temon gira per venire a porto,","di rivedere il sole, gli altri di fuggirlo,"
"fermo s'affisse: la gente verace,",Si mise in cammino risalendo il fiume
"venuta prima tra 'l grifone ed esso,","lungo tutta la riva; e io feci lo stesso,"
al carro volse sé come a sua pace;,con un piccolo passo i piccoli passi dell’altro.
"e un di loro, quasi da ciel messo,",Non ne avevamo fatti più di cento a noi due.
"'Veni, sponsa, de Libano' cantando","che apparve una svolta, formata dalle due rive,"
"gridò tre volte, e tutti li altri appresso.",guidando il mio cammino dalla parte del levante.
Quali i beati al novissimo bando,"Ma non siamo andati molto lontano da questo lato,"
"surgeran presti ognun di sua caverna,",quando improvvisamente la signora si voltò verso di me
"la revestita voce alleluiando,","e mi disse: «Fratello, ascolta e guarda con attenzione!»."
cotali in su la divina basterna,Ed ecco che un bagliore si mise a percorrere
"si levar cento, ad vocem tanti senis,","all’improvviso, in tutti i sensi, questa immensa foresta,"
ministri e messagger di vita etterna.,Così vivido che pensai che fosse un lampo.
"Tutti dicean: 'Benedictus qui venis!',","Eppure, come il lampo è uguale a se stesso,"
"e fior gittando e di sopra e dintorno,","mentre questi durava e aumentava,"
"'Manibus, oh, date lilïa plenis!'.","Mi dicevo da solo: ""Che cos'è questo?"""
Io vidi già nel cominciar del giorno,Un sussurro molto dolce cominciava a scivolare
"la parte orïental tutta rosata,","nell'aria trasparente; e, mosso da un bel zelo,"
e l'altro ciel di bel sereno addorno;,"biasimo nel mio cuore la temerarietà di Eva,"
"e la faccia del sol nascere ombrata,","perché, nel luogo dove terra e cielo obbedivano,"
sì che per temperanza di vapori,"la donna, benché sola e appena formata,"
l'occhio la sostenea lunga fïata:,"si è rifiutata di obbedire agli ordini,"
così dentro una nuvola di fiori,"che, se, pia, si fosse sottomessa,"
che da le mani angeliche saliva,Avrei potuto godere di questo piacere ineffabile.
"e ricadeva in giù dentro e di fori,",molto presto prima e per più tempo.
sovra candido vel cinta d'uliva,Mentre avanzavo tra tante primizie
