Original,Translate_EN,Translate_IT_1
"S’uom apella il camin Troppo-Donare,","“That road is called Extravagance,","Quella strada si chiama Extravagance,"
"E’ fu fondato per Folle-Largheza,",and it was built by Foolish Generosity;,ed è stato costruito dalla Generosità Follia;
"L’entrata guarda madonna Richeza,",Lady Wealth guards the entrance,Lady Wealth custodisce l'ingresso
"Che non i lascia nessun huon passare,","and lets no one pass,","e non lascia passare nessuno,"
"S’e’ nonn-è su’ parente, o su’ conpare,",if that person is not her relative or friend.,se quella persona non è il suo parente o amico.
"Già tanto nonn-avrebe in sé belleza,","No matter how much beauty he might have,","Non importa quanta bellezza possa avere,"
"Cortesia, né saver, né gientileza,","or how much courtesy or wisdom or nobility,","o quanta cortesia o saggezza o nobiltà,"
Ched ella gli degniasse pur parlare.,she would not even deign to speak with him.,non si sarebbe degnata nemmeno di parlare con lui.
"Se puo’ per quel camin trovar   passagio,","If you can find a way to go along that road,","Se riesci a trovare un modo per percorrere quella strada,"
"Tu•ssì abattera’ tosto il castello,",you will quickly demolish the castle,tu demolirai rapidamente il castello
"Bellacoglienza trarà’ di servagio,",and free Fair Welcome from prison.,e gratis Fair Benvenuto dalla prigione.
"Non vi varrà gittar   di manganello,","A catapult will be of no help there,",Una catapulta li' non sara' d'aiuto.
"Néd a le guardie lor folle musagio,","nor will their foolish surveillance serve the guards,","e la loro stoltezza non servirà alle guardie,"
"Porte, né mura, né trar   di quadrello.",not doors or walls or the shooting of darts.”,non porte o pareti o la sparatoria di freccette.
