Original,Translate_EN,Translate_IT_1
"Per lo Schifo trovar, ciaschun’andava,",Everyone was looking for Resistance,Tutti cercavano la Resistenza.
"Per dirli del misfatto molto male,",to blame him for his bad mistake;,incolparlo per il suo errore;
E que’ s’avea fatto un capezale,and that one had made himself a bed,e che uno si era fatto un letto
"D’un fascio d’erba, e sì soniferava.","from a bundle of grass, and there he fell asleep.","da un fascio d'erba, e là si addormentò."
"Vergognia fortemente lo sgridava,",Modesty was reprimanding him very harshly;,Modesty lo rimproverava molto duramente;
"Paura   d’altra parte sì•ll’assale,","in her turn Fear assails him,","a lei la paura lo assalisce,"
"Diciendo: «Schifo, ben poco ti chale","saying: “Resistance, you don’t care at all","dicendo: Resistenza, non si cura affatto"
"Che Gielosia sì forte ne grava,",that Jealousy is so upset with us!,che la gelosia è così arrabbiata con noi!
"E ciò ci avien per te, quest’è palese,","And this happens to us because of you, it’s clear.","E questo succede a noi a causa di voi, è chiaro."
"Quando tu, per la tua malaventura,","Whenever you, for your misfortune,","Ogni volta che tu, per la tua disgrazia,"
Tu vuogli intender or d’eser cortese.,wish to seem or to be courteous,desidera sembrare o essere cortese
Ben sa’ ch’e’ non ti move di natura.,"you well know that it’s not your nature!,","sai bene che non è la tua natura!,"
"Con ciaschedun dé’ star a le difese,","you must be, as we all are, on the defensive,","devi essere, come tutti noi, sulla difensiva,"
Per ben guardar questa nostra chiusura».,in order to protect this enclosed place of ours.”,al fine di proteggere questo luogo chiuso del nostro.
