Original,Translate_EN,Translate_IT_1
"Se quella, chu’ richiedi, ti rifiuta","“If the one you desire rejects you,","Se quello che desideri ti rifiuta,"
"Tu sì non perdi nulla in su’ scondetto,","you don’t lose anything because of her rejection,","non perdi nulla a causa del suo rifiuto,"
"Se non se solo il motto, che•ll’ài detto.",except for the words you’ve said to her:,eccetto le parole che le hai detto:
Dello scondir sarà tosto pentuta.,she’ll soon regret her rejection.,lei si pentirà presto del suo rifiuto.
"Una nel ciento non fu mai veduta,",One woman in a hundred has never been seen,Una donna su cento non è mai stata vista
"Ed ancor più che ’l miglia’ ci ti metto,","(or even better, I’ll bet one in a thousand)","- Oh, mio Dio."
"Femina, chu’ piaciesse tal disdetto.","who liked to make such a refusal,","che amava fare un tale rifiuto,"
"Come ch’ella t’asalgha di venuta,",even though she may attack you at the beginning.,Anche se potrebbe attaccarti all'inizio.
"Richié’, c’almen n’avrà’ su’ ben volere,","Make your amorous request, for at least you’ll have her favor,","Fai la tua richiesta amorosa, per almeno tu avrai il suo favore,"
"Con tutto ti vad’ella follegiando,","even though she may say crazy things about you,","Anche se potrebbe dire cose assurde su di te,"
Ché•ttu no•le puo’ far magior piaciere.,for you can’t do her any bigger favor.,perché non puoi farle un favore più grande.
"Ma di ciò non dé gir nessun parlando,","But no one must say anything about this,","Ma nessuno deve dire niente al riguardo,"
"S’e’ ’n averla non mette su’ podere,","if he fails in his quest to have her,","se fallisce nella sua ricerca di averla,"
Chéd ella se ne va dapoi vantando.,for afterwards she will go around raving about it.”,per dopo andrà in giro raving su di esso.
