Original,Translate_EN,Translate_IT_1
"Molto mi dolea   il cuor, quand’i’ vedea",“My heart was truly grieved when I saw,Il mio cuore era veramente addolorato quando vidi
"Che•ll’uscio mio stava in tal sogiorno,","that my door was in such a quiet state,","che la mia porta era in uno stato così tranquillo,"
Ch’e’ vi solea   aver tal pressa ’ntorno,for there used to be such a crowd around it,perché una volta c'era tanta folla intorno
Che tutta la contrada ne dolea.,that the whole neighborhood would complain.,che l'intero quartiere si lamenterebbe.
"Ma, quanto a me, e’ no•me ne calea,","But as for me, I didn’t care,","Ma per quanto riguarda me, non m'importava,"
"Ché troppo più piaciea   loro quel torno,",because they liked to come around;,perché gli piaceva girare intorno;
"Ch’i’ era allora di sì grande attorno,",and I was then so wondrously beautiful,e allora ero così meravigliosamente bella
Che tutto quanto il mondo mi’ parea.,that the entire world seemed mine.,che il mondo intero sembrava mio.
"Or convenia che di dolor morisse,","Now, it was inevitable that I should die of sorrow","Ora, era inevitabile che morissi di dolore."
"Quand’i’ vedea   que’ giovani passare,",when I would see those young men pass by:,quando avrei visto passare quei giovani:
E ciaschedun parea   che mi schernisse.,each of them it seemed was mocking me.,ognuno di loro sembrava prendermi in giro.
“Vechia increspata” mi faciean chiamare,"A wrinkled old woman, they had me called","Una vecchia donna rugosa, mi hanno fatto chiamare"
"A colu’ solamente, che giadisse",by the one who only a short while ago,da colui che solo poco tempo fa
Più carnalmente mi solea   amare.,had loved me with great carnal desire.”,mi aveva amato con grande desiderio carnale.
