Original,Translate_IT
"Come l'augello, intra l'amate fronde,","Anche come un uccello, tra le amatissime foglie,"
posato al nido de' suoi dolci nati,Silenzio sul nido della sua dolce covata
"la notte che le cose ci nasconde,","Per tutta la notte, che ci nasconde ogni cosa,"
"che, per veder li aspetti disïati","Chi, per vedere i loro sguardi anelati"
"e per trovar lo cibo onde li pasca,","e trovate il cibo con cui nutrirli,"
"in che gravi labor li sono aggrati,","In cui, a lei, gravi fatiche sono grati,"
"previene il tempo in su aperta frasca,",Anticipa il tempo su spray aperto
"e con ardente affetto il sole aspetta,","E con ardente anelito attende il sole,"
fiso guardando pur che l'alba nasca;,Sguardi d'intento non appena si infrange l'alba:
così la donna mïa stava eretta,Anche così la mia Signora era eretta
"e attenta, rivolta inver' la plaga","E vigile, si voltò verso la zona"
sotto la quale il sol mostra men fretta:,Sotto il quale il sole mostra meno fretta;
"sì che, veggendola io sospesa e vaga,","Cosi' che la vedesse sconvolta e raccapricciante,"
fecimi qual è quei che disïando,Così sono diventato come colui che desidera
"altro vorria, e sperando s'appaga.","Per qualcosa che anela, e che spera sia placato."
"Ma poco fu tra uno e altro quando,",Ma informa lo spazio da un Quando all'altro;
"del mio attender, dico, e del vedere","Della mia attesa, dica io, e il vedere"
lo ciel venir più e più rischiarando;,I welkin crescono sempre più splendenti.
e Bëatrice disse: “Ecco le schiere,"Beatrice esclamò: ""Ecco le schiere"
del trïunfo di Cristo e tutto 'l frutto,Della marcia trionfale di Cristo e di tutti i frutti
ricolto del girar di queste spere!”.,"Raccolti dalla laminazione di queste sfere!"""
"Pariemi che 'l suo viso ardesse tutto,",Mi sembrava che il suo volto fosse tutto fiammeggiante;
"e li occhi avea di letizia sì pieni,",E gli occhi che aveva erano così pieni di estasi
che passarmen convien sanza costrutto.,Che devo passare senza descrivere.
Quale ne' plenilunïi sereni,Come quando nelle notti serena della luna piena
Trivïa ride tra le ninfe etterne,Sorride Trivia tra le ninfe eterne
"che dipingon lo ciel per tutti i seni,","che dipinge il firmamento attraverso tutti i suoi golfi,"
vid'i' sopra migliaia di lucerne,"Ho visto, sopra le miriadi di lampade,"
"un sol che tutte quante l'accendea,","Un Sole che uno e tutti loro hanno acceso,"
come fa 'l nostro le viste superne;,"E' come il nostro che fa le meraviglie,"
e per la viva luce trasparea,E attraverso la luce vivente splendeva trasparente
la lucente sustanza tanto chiara,La sostanza lucente così intensamente chiara
"nel viso mio, che non la sostenea.","Nella mia vista, che non l'ho sostenuto."
"Oh Bëatrice, dolce guida e cara!","O Beatrice, dolce guida e cara!"
Ella mi disse: “Quel che ti sobranza,"Mi disse: ""Che cosa ti sovrasta"
