Original,Translate_EN,Translate_IT_1
"Intorno dal castello andai ciercando,",All around the castle I went looking,Tutto intorno al castello sono andato a cercare
"Sed i’ potesse trovar quel’entrata,",to see if I could find the entrance,per vedere se riuscivo a trovare l'entrata
"La qual Folle-Largheza avea fondata,","that Foolish Generosity had built,","che la Generosità Sciocca aveva costruito,"
"Per avacciar ciò, che giva pensando.",in order to speed up what I was plotting.,per velocizzare quello che stavo complottando.
"Allor guardai, e sì vidi onbreando","Then I looked, and in the shadows","Poi ho guardato, e nell'ombra"
"Di sotto un pin una donna pregiata,","under a pine tree, I saw a worthy lady,","sotto un pino, vidi una donna degna,"
"Sì nobil mente vestita e parata,",so nobly dressed and adorned,così nobilmente vestito e ornato
Che tutto ’l mondo gìa di lei parlando.,that everyone was speaking about her.,che tutti parlavano di lei.
"E sì avea in sé tanta beleza,",And she was so beautiful,Ed era cosi' bella.
Che tutto intorno lei aluminava,that she illuminated everything around her,che ha illuminato tutto intorno a lei
"Chol su’ visagio, tanto avea chiareza.","with her face, so resplendent it was;","con il suo viso, così splendente che fu;"
Ed un suo amico co•llei si posava.,and a friend was resting there with her.,E un'amica stava lì con lei.
"La donna si avea nome Richeza,","The lady’s name was Wealth,","La signora si chiamava Wealth,"
Ma•llui non so com’altri l’apellava.,but I do not know what the man’s name was.,ma non so quale fosse il nome dell'uomo.
