Original,Translate_EN,Translate_IT_1
"Ragion si parte, udendomi parlare.","Upon hearing me speak, Reason departs,","Dopo avermi ascoltato parlare, la ragione se ne va,"
E’ me fu ricordato ch’i’ avea,and I remembered that I had,e mi sono ricordato che avevo
"Un grande Amico, lo qual mi solea","a loyal friend, who usually comforted me","un amico leale, che di solito mi confortava"
"In ognie mio sconforto confortare,",whenever I experienced discomfort.,ogni volta che provavo disagio.
"Sì ch’i’ no ’l misi guari a ritrovare,",I found him rather quickly,L'ho trovato piuttosto in fretta.
E disigli com’e’ si contenea,and told him how Resistance was behaving,e gli disse come si comportava la Resistenza
"Lo Schifo ver’ di me, e ch’e’ parea","towards me, and that it seemed","verso di me, e che sembrava"
Ch’al tutto mi volesse guereggiare.,he wanted nothing better than to war with me.,Non voleva niente di meglio che combattere con me.
"E que’ mi disse: «Amico, sta sicuro,","And that one said to me: “Friend, don’t worry,","E quello mi disse: Amico, non preoccuparti,"
Ché quello Schifo si à senpre in usanza,for it is Resistance’s custom,per esso è Resistenza Clostridi personalizzato
Ch’a cominciar   si mostra acierbo e duro.,to be bitter and harsh in the beginning.,per essere amaro e duro all'inizio.
Ritorna a•llui e non abie dottanza,Go back to him and have no fear:,Tornate da lui e non abbiate paura:
"Con umiltà tosto l’avra’ maturo,","by showing humility, you will soon soften him,","mostrando umiltà, lo ammorbidirai presto,"
Già tanto non par   fel né san’ pietanza».,no matter how cruel and pitiless he may seem.”,non importa quanto crudele e spietato possa sembrare.
