Original,Translate_IT
"“Vergine Madre, figlia del tuo figlio,","""Tu Vergine Madre, figlia di tuo Figlio,"
"umile e alta più che creatura,","umile e in alto oltre ogni altra creatura,"
"termine fisso d'etterno consiglio,","il limite fissato dal consiglio eterno,"
tu se' colei che l'umana natura,Tu sei colui che tale nobiltà
"nobilitasti sì, che 'l suo fattore","Alla natura umana ha dato, che il suo Creatore"
non disdegnò di farsi sua fattura.,Non disdegnava di farsi sua creatura.
"Nel ventre tuo si raccese l'amore,","Nel tuo grembo si riaccese l'amore,"
per lo cui caldo ne l'etterna pace,Con il calore di cui nella pace eterna
così è germinato questo fiore.,Dopo tale saggezza questo fiore ha germinato.
Qui se' a noi meridïana face,Qui per noi tu sei una torcia di mezzogiorno
"di caritate, e giuso, intra ' mortali,","di carità, e là sotto tra i mortali"
se' di speranza fontana vivace.,Tu sei la fonte vivente della speranza.
"Donna, se' tanto grande e tanto vali,","Signora, tu sei così grande, e così prevalente,"
"che qual vuol grazia e a te non ricorre,","che chi vuole la grazia e non ti corre incontro,"
sua disïanza vuol volar sanz'ali.,Le sue aspirazioni senza ali sarebbero volate.
La tua benignità non pur soccorre,Non solo la tua benignità dà successo
"a chi domanda, ma molte fïate","A chi lo chiede, ma spesso"
liberamente al dimandar precorre.,Forerneth di propria iniziativa la domanda.
"In te misericordia, in te pietate,","In te la compassione è, in te è pietà,"
"in te magnificenza, in te s'aduna",In te magnificenza; in te unisce
quantunque in creatura è di bontate.,Quello che e' buono e' in ogni creatura.
"Or questi, che da l'infima lacuna","Ora fa quest'uomo, che dalla profondità più bassa"
de l'universo infin qui ha vedute,Dell'universo per quanto qui ha visto
"le vite spiritali ad una ad una,","Uno dopo l'altro le vite spirituali,"
"supplica a te, per grazia, di virtute",Supplicati per grazia per tanto potere
"tanto, che possa con li occhi levarsi",Che con i suoi occhi possa sollevarsi
più alto verso l'ultima salute.,Più in alto verso l'estrema salvezza.
"E io, che mai per mio veder non arsi","E io, che non ho mai bruciato per il mio vedere"
"più ch'i' fo per lo suo, tutti miei prieghi","Più di me per la sua, tutte le mie preghiere"
"ti porgo, e priego che non sieno scarsi,","Proferati a te, e prega che non siano brevi,"
perché tu ogne nube li disleghi,per disperdere da lui ogni nuvola
"di sua mortalità co' prieghi tuoi,","Della sua mortalità così con le tue preghiere,"
sì che 'l sommo piacer li si dispieghi.,Che il Capo Piacere sia a lui esposto.
"Ancor ti priego, regina, che puoi","Ancora più lontano ti prego, Regina, che può"
"ciò che tu vuoli, che conservi sani,","Che cosa vuoi, quel suono che puoi conservare"
"dopo tanto veder, li affetti suoi.",Dopo una visione così grande i suoi affetti.
Vinca tua guardia i movimenti umani:,Lascia che la tua protezione vinca i movimenti umani;
vedi Beatrice con quanti beati,Vedi Beatrice e tutti i beati
per li miei prieghi ti chiudon le mani!”.,"Le mie preghiere per stringere le mani a te!"""
"Li occhi da Dio diletti e venerati,","Gli occhi amati e venerati di Dio,"
"fissi ne l'orator, ne dimostraro","Fissato sull'altoparlante, ci ha mostrato"
quanto i devoti prieghi le son grati;,Quanto sono riconoscenti a lei le preghiere devote;
"indi a l'etterno lume s'addrizzaro,","Poi si volsero alla Luce Eterna,"
nel qual non si dee creder che s'invii,Su cui non è credibile potrebbe essere
per creatura l'occhio tanto chiaro.,Da qualsiasi creatura piegato un occhio così chiaro.
E io ch'al fine di tutt'i disii,"E io, che fino alla fine di tutti i desideri"
"appropinquava, sì com'io dovea,","Si stava avvicinando, come avrei dovuto"
l'ardor del desiderio in me finii.,L'ardore del desiderio dentro di me è finito.
"Bernardo m'accennava, e sorridea,","Bernardo mi supplicava e sorrideva,"
perch'io guardassi suso; ma io era,Che io debba guardare verso l'alto; ma io già
già per me stesso tal qual ei volea:,"Era di mia volontà, come egli desiderava;"
"ché la mia vista, venendo sincera,","Perché la mia vista, purificata,"
e più e più intrava per lo raggio,Stava entrando sempre più nel raggio
de l'alta luce che da sé è vera.,Della Luce Alta che di per sé è vera.
Da quinci innanzi il mio veder fu maggio,Da quel momento in poi ciò che ho visto era più grande
