Original,Translate_EN,Translate_IT_1
«Del dilettar non vo’ chiti tua parte»,"“I don’t want you to give up your pleasure,”","Non voglio che tu rinunci al tuo piacere,"
"Disse Ragione «né che sie sanz’amanza,","said Reason, “nor for you to be without a lover,","ha detto Ragione, né per voi di essere senza un amante,"
"Ma vo’ che prendi me per tua ’ntendanza,",but I want you to take me for your lady;,ma voglio che tu mi prenda per la tua signora;
Ché•ttu non troverai i•nulla parte,for you will not find anywhere,perché non troverete da nessuna parte
"Di me più bella, e n’agie mille carte,",a woman more beautiful than I,una donna più bella di me
Né che•tti doni più di dilettanza.,or one who will give you more pleasure.,o uno che ti darà più piacere.
Degnia sarei d’esser reina in Francia:,I would be worthy to be the Queen of France;,Sarei degno di essere la Regina di Francia.
"Sì fa’ follia, s’ tu mi gietti a parte,","thus, you would be foolish to toss me aside,","così, saresti sciocco a buttarmi da parte,"
"Ch’i’ ti farò più rico che Richeza,","for I will make you richer than Wealth herself,","perché io ti renderò più ricco della ricchezza stessa,"
"Sanza pregiar mai rota di Fortuna,",without concern that the wheel of Fortune,senza preoccupazione che la ruota della Fortuna
Ch’ella ti possa mettere in distreza.,may put you in a sorry state.,Potrebbe metterti in uno stato di dispiacere.
"Se be•mi guardi, i•me nonn-à nesuna","If you look at me clearly, you will not find in me any","Se mi guardi chiaramente, non troverai in me alcun"
"Fazon, che non sia fior d’ognie belleza:",feature that is not the best of every beauty;,caratteristica che non è la migliore di ogni bellezza;
"Più chiara son che nonn-è sol, né luna».",I am more radiant than the sun and the moon.”,Sono più radioso del sole e della luna.
