Original,Translate_IT
"Imagini, chi bene intender cupe",Colui che pretende di vedere ciò che io ho visto
"quel ch'i' or vidi - e ritegna l'image,",e che mantiene salda come una roccia
"mentre ch'io dico, come ferma rupe -,","questa immagine, il tempo che dura il mio discorso)"
quindici stelle che 'n diverse plage,15 stelle risplendere in punti diversi
lo cielo avvivan di tanto sereno,"dal cielo, mettendovi una tale chiarezza"
che soperchia de l'aere ogne compage;,che trafiggerebbe qualsiasi nebbia.
imagini quel carro a cu' il seno,Che immagini anche questo carro come il nostro cielo
"basta del nostro cielo e notte e giorno,",tiene nel suo grembo la notte come il giorno
sì ch'al volger del temo non vien meno;,e che rimane visibile virando il timone.
imagini la bocca di quel corno,Che immagini un corno con il suo padiglione
che si comincia in punta de lo stelo,e il cui scopo inizia alla punta dell'asse
"a cui la prima rota va dintorno,","intorno al quale si muove la prima delle sfere,"
"aver fatto di sé due segni in cielo,","disegnando sul cielo, dei suoi astri, due segni"
qual fece la figliuola di Minoi,Come fece la figlia di Minosse.
allora che sentì di morte il gelo;,quando sentì il dolore della morte;
"e l'un ne l'altro aver li raggi suoi,","e l’uno che si bagna nei raggi dell’altro,"
e amendue girarsi per maniera,"Entrambi girano, ma in questo modo"
che l'uno andasse al primo e l'altro al poi;,Uno va prima verso l’altro e l’altro verso l’altro verso l’altro.
e avrà quasi l'ombra de la vera,Sarà in grado di vedere il vero gruppo di stelle.
costellazione e de la doppia danza,"L'ombra o forse meno, e il doppio ballo"
che circulava il punto dov'io era:,che girava intorno al punto in cui restavo;
"poi ch'è tanto di là da nostra usanza,","perché superava tutto ciò che sappiamo,"
quanto di là dal mover de la Chiana,così come il corso del cielo più veloce
si move il ciel che tutti li altri avanza.,Sul terreno supera il corso della Chiana.
"Lì si cantò non Bacco, non Peana,","Lassù non si cantava né Bacco né Pean,"
"ma tre persone in divina natura,","della Trinità la natura divina,"
e in una persona essa e l'umana.,con l’umana in più in uno solo di questi tre.
Compié 'l cantare e 'l volger sua misura;,"La misura termina con il canto e la danza,"
"e attesersi a noi quei santi lumi,","e questi santi splendori si volsero verso di noi,"
felicitando sé di cura in cura.,e ogni nuova cura rendeva più vividi i loro fuochi.
Ruppe il silenzio ne' concordi numi,Il lieto silenzio alla fine si è rotto.
poscia la luce in che mirabil vita,per la stessa chiarezza da parte del piccolo povero
"del poverel di Dio narrata fumi,",Da Dio ho imparato la bella storia.
"e disse: “Quando l'una paglia è trita,","«Quando già, mi disse, di una paglia schiacciata"
"quando la sua semenza è già riposta,","il seme è raccolto e rientrato in soffitta,"
a batter l'altra dolce amor m'invita.,Il dolce amore mi invita a calpestarne un’altra.
Tu credi che nel petto onde la costa,Tu pensi che il seno da cui si tirava la costa
si trasse per formar la bella guancia,che serviva a formare questa bella figura
"il cui palato a tutto 'l mondo costa,","di cui si paga così caro il palato troppo goloso,"
"e in quel che, forato da la lancia,","come colui che, trafitto dalla lancia,"
"e prima e poscia tanto sodisfece,","espia tanto il dopo quanto il prima, tanto"
"che d'ogne colpa vince la bilancia,","che nessun peccato può portare via la bilancia,"
quantunque a la natura umana lece,così come è permesso alla natura umana
"aver di lume, tutto fosse infuso","di acquistare luce, l’avevano entrambi"
da quel valor che l'uno e l'altro fece;,dalle mani di quel potere che li fece l’uno e l’altro:
"e però miri a ciò ch'io dissi suso,","Ecco perché ti ha sorpreso quello che ho detto sopra,"
quando narrai che non ebbe 'l secondo,"mentre affermavo che non aveva un secondo,"
lo ben che ne la quinta luce è chiuso.,Questo è il bello che contiene la quinta chiarezza.
"Or apri li occhi a quel ch'io ti rispondo,",Ma ora apri gli occhi alla mia risposta:
e vedräi il tuo credere e 'l mio dire,Vedrai la tua fede così come le mie parole.
nel vero farsi come centro in tondo.,come il centro al cerchio racchiuso nel vero.
Ciò che non more e ciò che può morire,"Ciò che non ha morte e ciò che può morire,"
non è se non splendor di quella idea,L’uno e l’altro non sono che un riflesso dell’idea.
"che partorisce, amando, il nostro Sire;",che genera il Signore per mezzo dell’amore;
ché quella viva luce che sì mea,perché il vivo splendore che si diffonde così
