Original,Translate_EN,Translate_IT_1
In poveruon no•metter già tu’ amore,"“Don’t place your love in a poor man,","Don't mettete il vostro amore in un povero uomo,"
"Ch’e’ nonn-è cosa, che poveruon vaglia:",because a poor man is worth nothing:,perché un povero uomo non vale nulla:
"Di lu’ non puo’ tu aver se non battaglia,",from him you can have nothing but arguments,da lui non si può avere nient'altro che litigi
"E pena, e povertate, e gran dolore.",and anguish and poverty and great pain.,"angoscia, povertà e grande dolore."
Lasciar ti farian robe di colore,They would make you give up beautiful clothing,Ti farebbero rinunciare a dei bellissimi vestiti.
E sovente dormire in su la paglia:,and often make you sleep on straw:,e spesso ti fanno dormire sulla paglia:
"Non t’intrametter di cotal merdalia,","don’t let yourself get trapped in that crap,","Don't ti sei lasciato intrappolare in quella merda,"
Ché troppo i’ ’l ti poria a gran fallore.,because I would say you’ve made a big mistake.,perché direi che hai commesso un grosso errore.
"Né non amar già oste trapassante,",And never love a foreigner passing through:,E non amare mai uno straniero di passaggio:
"Però ch’e’ mutan tante   ostellerie,","because they change their inns so many times,","perché cambiano le loro locande tante volte,"
C’aver non posson cuor   fermo né stante;,they cannot have a faithful or constant heart;,non possono avere un cuore fedele o costante;
"Lor fatti non son che baratterie,",their actions are nothing but tricks.,le loro azioni non sono altro che trucchi.
"Ma, s’e’•tti donan, non sie rifusante,","But if they give you gifts, do not refuse them,","Ma se ti danno dei doni, non rifiutarli,"
E fa co•llui infinte druderie.,and make false shows of affection for them.”,e fare false manifestazioni di affetto per loro.
