Original,Translate_EN,Translate_IT_1
"Falso-Senbiante, sì com’on di coro,",Just like a member of a religious order,Proprio come un membro di un ordine religioso
"Religioso, e di santa vita,","or a man of holy life,","o un uomo di vita santa,"
S’aparechiò: e’ si avea vestita,False Seeming got ready and had donned for this occasion,False Seeming si era preparato e aveva indossato per questa occasione
La rob[a] frate Alberto d’Agi-moro;,the habit of Albert of Agimore.,l'abitudine di Alberto d'Agimore.
Il su’ bordon non fu di secomoro,His staff was not made of sycamore,Il suo staff non era fatto di sicomoro
Ma di gran falsità ben ripulita;,but of great and highly polished falsity;,ma di grande e lucida falsità;
La sua scarsella avea pien’ e fornita,his purse was full and stocked,la sua borsa era piena e rifornita
Di tradigion più che d’argiento o d’oro;,"with treason, more than with gold or silver;","con tradimento, più che con oro o argento;"
Ed una al collo tutta sola,"and over his shoulder he carried a volume, all by itself:","e sopra la sua spalla portava un volume, tutto da solo;"
"Portava, in seno avea rasoio taglente,","inside his shirt he had a sharp razor,","dentro la sua camicia aveva un rasoio affilato,"
"Ch’e ’l fecie fabricare a Taglia-gola,","he’d had it made in Tagliagola,","l'ha fatta fare a Tagliagola,"
Di che quel Malabocca maldiciente,and later used it to cut the slanderous,e poi l'ha usato per tagliare le calunnie
"Fu poi strangolato, ch’e’ tal gola","Bad Mouth’s throat, the one who took great pleasure","Mouth cattivo gola, quello che ha preso grande piacere"
Avea de dir male d’ognie giente.,in saying evil things about everyone.,nel dire cose malvagie su tutti.
