Original,Translate_EN,Translate_IT_1
"Quando ’l cattivo, ch’è, •ssarà ’nchacato,","“When this wretched man has been besmirched,","Quando questo miserabile uomo e' rimasto sorridente,"
"La chui pensea non serà veracie,",he won’t be thinking right;,non starà pensando bene;
Si crederà che ’l fatto su’ ti piacie,he’ll think you like everything about him,l'inferno pensa che ti piace tutto di lui
"Tanto, c’ogni’altro n’ài abandonato,",so much that you have rejected every other man,tanto che hai rifiutato ogni altro uomo
"E che ’l tu’ cuor gli s’è tretutto dato,",and that your heart has been given completely to him;,e che il tuo cuore gli è stato completamente donato;
"Né non si guarderà de la fallacie,",and he will not guard against the deceitful ways,e non proteggerà le vie menzognere
"In che la volpe si riposa, e giacie,","of the fox who rests and lies in wait,","della volpe che riposa e giace in attesa,"
Insin ch’e’ non serà ben corredato.,until he’s been properly mistreated.,fino a quando non sia stato adeguatamente maltrattato.
"Ché molt’è folle que’, che cred’avere",For very foolish is the man who thinks he can have,Perche' molto sciocco e' l'uomo che pensa di poter avere
"Nessuna femina, che•ssia sua propia,","any woman to be his, and his alone,","ogni donna per essere sua, e la sua sola,"
"Per don, ched e’ faciesse, di su’ avere.",because of the gifts he’s given her with his wealth.,a causa dei doni che le ha dato con la sua ricchezza.
"Que’ che•lla vuol, la chegia ’nn-Atiopia,","Whoever wants such a woman, let him seek her in Ethiopia,","Chi vuole una donna simile, la cerchi in Etiopia,"
"Ché qua no•lla pott’io ancor vedere,","because I’ve not yet seen one here,","perché non ne ho ancora visto uno qui,"
"E, s’ella ci è, si porta l’aritropia.","and if she’s here, then she must be carrying the heliotrope.”","e se lei si trova qui, allora deve portare l'eliotropo."
