Original,Translate_EN,Translate_IT_1
"E s’e’ viene alcuno, che•tti prometta,",“And if someone comes along who makes you promises,E se arriva qualcuno che ti fa promettere
"E per promessa vuol c’a•llui t’attacci,","and wants you to attach yourself to him with promises,","e vuole che tu ti attacchi a lui con promesse,"
"I’ non vo’ già per ciò che•ttu lo scacci,","I don’t want you to send him away for this reason,","Non voglio che tu lo mandi via per questo motivo,"
"Ma digli c’altro termine ti metta,","but tell him to give you another deadline,","ma digli di darti un'altra scadenza,"
Perciò c’avrai allor troppo gran fretta;,since you will then be in too great a rush.,poiche' sarai troppo di fretta.
"E sì vo’ ben che ’l basci e che•ll’abracci,","And so I want you to kiss and embrace him,","E quindi voglio che tu lo baci e lo abbracci,"
"Ma guarda che con•llui più non t’inpacci,",but be careful not to get too involved with him,ma stai attento a non essere troppo coinvolto con lui
S’e’ non iscioglie prima la maletta.,unless he unties his purse strings first.,A meno che non si sciolga prima i fili della borsa.
"O s’alcun ti mandasse alcuno scritto,","And if someone were to send you a written note,","E se qualcuno ti mandasse un biglietto scritto,"
"Sì guarda ben la sua intenzione,",make sure that you know his intention,Assicurati di conoscere le sue intenzioni.
Ched e’ non abia fintamente scritto;,and that he has not written with deception in mind;,e che non ha scritto con inganno in mente;
"E poi sì glene fa risponsione,","and then give him an answer,","e poi dargli una risposta,"
"Ma non sì tosto: atendi un petitto,","but not too quickly: wait a little bit,","ma non troppo in fretta: aspetta un po ',"
Sì ch’egli un poco stea in sospezone.,so that he may be in suspense for a little while.”,in modo che egli può essere in suspense per un po 'di tempo.
