Original,Translate_EN,Translate_IT_1
"I’ era bella, e giovane, e folletta,","“I was beautiful and young and without cares,","Era bella e giovane e senza preoccupazioni,"
Ma non era a la scuola de l’Amore,but to the school of love I’d not yet,ma alla scuola d'amore non ancora
Istata; ma i’ so or ben per cuore,been; but now I know by heart,è stato; ma ora so a memoria
"La pratica, la qual ti fie qui detta.",the techniques that will be related to you here.,le tecniche che saranno legate a voi qui.
"Usanza me n’à fatta sì savietta,",Experience has made me so wise,L'esperienza mi ha reso così saggio
"Ched i’ non dotterei nessun lettore,",that I would not fear any teacher,che non avrei paura di nessun insegnante
"Che di ciò mi faciesse desinore,","who might make me lose face in this subject,","che potrebbe farmi perdere la faccia in questo argomento,"
Ma’ ched i’ fosse bella e giovanetta:,if only I were beautiful and young.,se solo fossi bella e giovane.
"Chéd egli è tanto ched i’ non finai,",I have been studying this subject for so long,Ho studiato questo argomento per cosi' tanto tempo.
Che•lla scienza i’ ò nel mi’ coragio.,that I have full knowledge of it in my heart.,che ne ho piena conoscenza nel mio cuore.
"Sed e’ ti piacie, tu l’ascholterai,","If you like, you will hear it,","Se ti va, lo sentirai."
Ma i’ no•l’ebi sanza gran damagio:,but I did not obtain it without great hardship:,ma non l'ho ottenuto senza grandi difficoltà:
Molta pen’ e travaglio vi durai;,much anguish and suffering I endured;,tanta angoscia e sofferenza ho sopportato;
"Ma pur e ’l mal se n’è mess’, e l’usagio.",but at least wisdom and experience have remained.”,ma almeno la saggezza e l'esperienza sono rimaste.
