Original,Translate_IT_1
"A vedere come in questo caso, cioè in riprovando o in aprovando l'oppinione dello Imperadore, a lui non sono tenuto a subiezione, reducere alla mente si conviene quello che dello imperiale officio di sopra, nel quarto capitolo di questo trattato, è ragionato, cioè che a perfezione della umana vita la imperiale auttoritade fu trovata, e che ella è regolatrice e rettrice di tutte le nostre operazioni giustamente; che per tanto oltre quanto le nostre operazioni si stendono tanto la maiestade imperiale ha giurisdizione, e fuori di quelli termini non si sciampia.","Se devo dimostrare che per quanto riguarda la confutazione o la conferma dell'opinione dell'imperatore sull'argomento in discussione non devo sottomettermi, devo ricordare quanto detto sopra circa l'ufficio dell'imperatore. L'autorità imperiale è stata istituita per garantire che gli esseri umani raggiungano il compimento nella vita; regola giustamente e supervisiona tutte le nostre attività, perché l'area coperta dal termine ""nostra attività"" è precisamente coestosa con l'area su cui la maestà imperiale ha giurisdizione, la cui estensione raggiunge solo i confini di quell'area."
"Ma sì come ciascuna arte e officio umano dallo imperiale è a certi termini limitato, così questo da Dio a certo termine è finito; e non è da maravigliare, ché l'officio e l'arte della natura finito in tutte sue operazioni vedemo. Ché se prendere volemo la natura universale di tutto, tanto ha giurisdizione quanto tutto lo mondo, dico lo cielo e la terra, si stende; e questo è a certo termine, sì come per lo terzo della Fisica e per lo primo Di Cielo e Mondo è provato.","E proprio come ogni altra arte e funzione umana è confinata entro confini definiti dall'ufficio imperiale, così l'ufficio imperiale stesso è limitato entro un confine stabilito da Dio. Ciò non dovrebbe causare sorpresa, poiché osserviamo che la funzione e l'arte della natura in tutte le sue operazioni è limitata. Infatti, se prendiamo il caso della natura nel suo senso più universale, scopriamo che la sua giurisdizione è coestensivo con l'intero universo (i cieli e la terra insieme), e questo ha un confine definito, come è dimostrato nella Fisica e in On the Heavens and the Earth."
"Dunque la giurisdizione della natura universale è a certo termine finita - e per consequente [del]la particulare -; e anche di costei è limitatore colui che da nulla è limitato, cioè la prima bontade, che è Dio, che solo colla infinita capacitade infinito comprende.","La giurisdizione della natura universale, quindi, è limitata entro un limite definito (e così, di conseguenza, è quella di qualsiasi particolare parte della natura); e qui ancora una volta Egli stabilisce i limiti che è se stesso limitato dal nulla, Colui che è la bontà primordiale, cioè, Dio, che solo in virtù della sua infinita capacità comprende l'infinito."
"E a vedere li termini delle nostre operazioni, è da sapere che solo quelle sono operazioni nostre che subiacciono alla ragione e alla volontade; ché se in noi è l'operazione digestiva, questa non è umana ma naturale.","Quali sono esattamente i confini delle nostre attività? In modo corretto, solo quelle attività sono nostre la cui esistenza dipende dal nostro intelletto e volontà. Quindi, anche se, per esempio, l'attività digestiva si svolge in noi, non è un'attività umana, ma una attività naturale."
"Ed è da sapere che la nostra ragione a quattro maniere d'operazioni, diversamente da considerare, è ordinata: ché operazioni sono che ella solamente considera, e non fa né può fare alcuna di quelle, sì come sono le cose naturali e le sopranaturali e le matematice; e operazioni che essa considera e fa nel propio atto suo, le quali si chiamano razionali, sì come sono arti di parlare; e operazioni sono che ella considera e fa in materia di fuori di sé, sì come sono arti meccanice.","Dobbiamo tenere presente qui che il nostro intelletto ha come oggetto quattro tipi di attività, ognuna delle quali studia necessariamente in modo diverso. Ci sono attività che l'intelletto non fa altro che studiare; non e non può portare nessuna di queste attività in essere. Questo è il caso per quanto riguarda ciò che riguarda la fisica, la metafisica e la matematica. Ci sono attività che l'intelletto studia e porta in essere negli atti propri di sé, quelli coperti dal termine attività intellettuali, come le abili forme di discorso razionale. Ci sono attività che l'intelletto studia e porta in essere nelle cose materiali al di fuori di sé, come nel caso delle abilità meccaniche."
"E queste tutte operazioni, avegna che 'l considerare loro subiaccia alla nostra volontade, elle per loro a nostra volontade non subiacciono; ché, perché noi volessimo che le cose gravi salissero per natura suso, e perché noi volessimo che 'l silogismo con falsi principii conchiudesse veritade dimostrando, e perché noi volessimo che la casa sedesse così forte pendente come diritta, non sarebbe; però che di queste operazioni non fattori propiamente, ma li trovatori semo: altri l'ordinò e fece maggiore fattore.","Anche se è vero che l'atto di studiare tutte queste attività dipende dalla sua esistenza sulla nostra volontà, l'esistenza effettiva di queste attività non dipende dalla nostra volontà, perché anche se potremmo desiderare che le cose pesanti si spostino naturalmente verso l'alto, anche se potremmo desiderare che un sillogismo contenente premesse false dimostrerebbe correttamente una vera conclusione, anche se potremmo desiderare che un edificio si riposi sulla sua base così saldamente quando si trova ad un angolo come quando si sta in piedi, nessuno di questi potrebbe effettivamente essere il caso. Perché non siamo noi che siamo i loro creatori in senso stretto; quello che facciamo è scoprirli."
"Sono anche operazioni che la nostra [ragione] considera nell'atto della volontade, sì come offendere e giovare, sì come star fermo e fuggire alla battaglia, sì come stare casto e lussuriare; e queste del tutto suggiacciono alla nostra volontade; e però semo detti da loro buoni e rei, perch'elle sono propie nostre del tutto, perché, quanto la nostra volontade ottenere puote, tanto le nostre operazioni si stendono.","Sono state decretate da un altro; sono state fatte da un creatore più grande di noi. Ci sono, tuttavia, altre attività che gli studi dell'intelletto che derivano da un atto della volontà, come, ad esempio, danneggiare o aiutare le persone, stando fermo o fuggendo in battaglia, rimanendo casto o indulgente lussuria; tutti questi sono del tutto dipendenti per la loro esistenza sulla nostra volontà. Siamo, quindi, giudicati buoni o cattivi per loro, perché sono interamente nostri in senso stretto, perché ciò che può essere realizzato dalla nostra volontà è esattamente coestensiva con ciò che è coperto dal termine ""nostre attività."""
"E con ciò sia cosa che in tutte queste volontarie operazioni sia equitade alcuna da conservare e iniquitade da fuggire (la quale equitade per due cagioni si può perdere, o per non sapere quale essa si sia o per non volere quella seguitare), trovata fu la ragione scritta e per mostrarla e per comandarla. Onde dice Augustino: «Se questa - cioè equitade - li uomini la conoscessero, e conosciuta servassero, la ragione scritta non sarebbe mestiere»; e però è scritto nel principio del Vecchio Digesto: «La ragione scritta è arte di bene e d'equitade».","Poiché in tutte queste attività di volontariato c'è una certa equità da osservare e una inequità da evitare, e potremmo non sostenere questa equità per due motivi, o perché non sappiamo che cosa è, o perché non vogliamo realizzarla, la legge scritta è stata inventata per chiarire che cosa è l'equità, e per comandare che essa sia mantenuta. Come dice Agostino: ""Se la gente sapesse ciò che costituisce l'equità, e realizzasse ciò che sapeva, non ci sarebbe bisogno di legge scritta."" L'Antico Digest inizia con una nota simile: ""La legge scritta descrive come mettere in pratica la bontà e l'equità."""
"A questa scrivere, mostrare e comandare, è questo ufficiale posto di cui si parla, cioè lo Imperadore, al quale tanto quanto le nostre operazioni propie che dette sono, si stendono, siamo subietti; e più oltre no. Per questa ragione, in ciascuna arte e in ciascuno mestiere li artefici e li discenti sono, ed essere deono, subietti al prencipe e al maestro [..............................] di quelle, in quello mestieri ed in quella arte; [e] fuori di quello la subiezione père, però che pere lo principato. Sì che quasi dire si può dello Imperadore, volendo lo suo officio figurare con una imagine, che elli sia lo cavalcatore della umana volontade. Lo quale cavallo come vada sanza lo cavalcatore per lo campo assai è manifesto, e spezialmente nella misera Italia, che sanza mezzo alcuno alla sua gubernazione è rimasa!","Il ruolo designato per il funzionario di cui abbiamo parlato, l'imperatore, è quello di mettere in scrittura e chiarire ciò che costituisce equità, e di comandare la sua osservanza; siamo soggetti a lui proprio in quelle materie che rientrano nella bussola delle nostre attività nel senso stretto descritto sopra, e non in alcun modo al di là di questo."
"E da considerare è che quanto la cosa è più propia dell'arte o del maestro, tanto è maggiore in quella la subiezione: ché, multiplicata la cagione, multiplica l'effetto. Onde è da sapere che cose sono che sono sì pure arti, che la natura è instrumento dell'arte: sì com'è vogare con remo, dove l'arte fa suo instrumento della impulsione, che è naturale moto; sì com'è nel trebbiare lo frumento, che l'arte fa suo instrumento del caldo, che è naturale qualitade. E in queste massimamente [al]lo prencipe e maestro dell'arte essere si dee subietto.","Qui si applica un principio che vale in ogni arte e in ogni vocazione: gli artigiani e gli apprendisti sono di diritto soggetti a chi è leader e maestro in questioni attinenti a quelle chiamate e arti; al di fuori di quel regno, cessano di essere soggetti, poiché la leadership stessa cessa di ottenere. Così si può descrivere l'imperatore in linguaggio figurativo come il cavaliere della volontà umana. Come questo cavallo carriera sul campo quando è senza un cavaliere è solo troppo chiaro, soprattutto in Italia infelice, che è lasciato senza alcun governo incaricato della sua cura."
