Original,Translate_EN,Translate_IT_1
"Gielosia, che stava in sospeccione,","Jealousy, who was afraid","Gelosia, che aveva paura"
"Ch’ella del Fior non fosse baratata,","of being cheated out of the Flower,","di essere tradito dal Fiore,"
Sì fe’ gridar per tutta la contrata,had it announced throughout the countryside,aveva annunciato in tutta la campagna
Ch’a•llei venisse ciascun buon mazone:,"that all good masons should come to her,","che tutti i buoni muratori dovrebbero venire da lei,"
"Ch’ella volea fondar una pregione,",because she wanted to build a prison,perché voleva costruire una prigione
"Dove Bellacoglienza fia murata,",where they could imprison Fair Welcome.,dove potrebbero imprigionare Fair Welcome.
"Ché ’n altra guardia non fie più lasciata,","She will not be left with another guardian,","Lei non sarà lasciata con un altro tutore,"
Po’ ch’ella l’à trovata   i•mesprigione:,since jealousy found her guilty of malfeasance.,Da quando la gelosia l'ha trovata colpevole di malversazione.
"«Ché•lla guardia del Fior è perigliosa,","“Since guarding the Flower is dangerous,","Da quando la guardia al Fiore è pericolosa,"
"Sì saria folle se•llei mi fidasse,",it would be a mistake to put my trust in her,Sarebbe un errore fidarmi di lei.
"Per la bieltà, ch’à ’n lei maravigliosa»,",for all her marvelous beauty.”,per tutta la sua meravigliosa bellezza.
"E se Venùs ancor la vicitasse,","And if Venus should come again to visit her,","E se Venere dovesse tornare a trovarla,"
"Di ciò era ciertana, e non dottosa,",she was sure and had no doubt,era sicura e non aveva dubbi
Ch’e’ converebe ch’ella il Fior donasse.,of what would happen: that she would give up the Flower.,di ciò che sarebbe accaduto: che avrebbe rinunciato al Fiore.
