Original,Translate_EN,Translate_IT_1
"Pe•più volte fallì’ a•llui ficcare,","Time and again I failed to stick it in,","Più e più volte non riuscivo a infilarlo dentro,"
Perciò ch’e’ ’n nulla guisa vi capea;,since it wouldn’t fit in there in any way;,dato che non si adatterebbe in alcun modo;
"E•lla scarsella, c’al bordon pendea,","and my moneybag that was hanging from my staff,","e il mio sacco di soldi che era appeso al mio staff,"
"Tuttor di sotto la faciea   urtare,","I continued banging it down below,","Ho continuato a sbatterlo giù di sotto,"
Credendo il bordon me’ far entrare;,thinking thus to ease my staff inside;,pensando così di facilitare il mio personale all'interno;
Ma già nessuna cosa mi valea.,but nothing worked for me.,Ma niente ha funzionato per me.
"Ma a la fine i’ pur tanto scotea,","However, in the end I shook it so much","Tuttavia, alla fine ho scosso così tanto"
Ched i’ pur lo faciea   oltrepassare,that I finally got it to go inside:,che finalmente l'ho ottenuto per entrare:
"Sì ch’io allora il Fior tutto sfoglai,","thus I succeeded in deflowering the Flower,","così riuscii a debellare il Fiore,"
"E la semenza, ch’i’ avea   portata,","and with the seed that I had carried,","e con il seme che avevo portato,"
"Quand’ebi arato, sì•lla seminai;","after the plowing, so came the sowing.","dopo l'aratura, così venne la semina."
"La semenza del Fior v’era cascata,",The seed of the Flower had descended;,Il seme del Fiore era disceso;
"Amendue insieme sì•lle mescolai,",I mixed the two of them together,Li ho mischiati insieme.
Che molta di buon’erba n’è po’ nata.,such that much good fruit has issued forth.,tanto buon frutto è uscito.
