Original,Translate_EN,Translate_IT_1
"E al pelar convien aver maniera,","“And in the skinning process you must have a certain style,","E nel processo di scuoiatura si deve avere un certo stile,"
"Sì che l’uomo aveder non si ’n potesse,",so that it may not be evident,in modo che non possa essere evidente
"Che tutto in pruova l’uon gli le faciesse,",that everything is being done as a kind of game:,che tutto viene fatto come una sorta di gioco:
Forse ch’e’ volgieria la sua bandiera.,perhaps he would change his mind.,Forse avrebbe cambiato idea.
"Ma faccia sì, la madre, o cianberiera,","But let her mother or the chambermaid,","Ma la madre o la cameriera,"
"Od altri, in cui fidar ben si potesse,","or someone else whom she could trust,","o qualcun altro di cui possa fidarsi,"
Che ciascuna di lor sì gli chiedesse,let anyone of them ask him,Lasciate che qualcuno di loro glielo chieda.
"Paternostri, o coregia, od amoniera.",for rosaries or a girdle or a purse.,per rosari o una cintura o una borsa.
"Ancor la cameriera   dica: “Sire,","Moreover, let the chambermaid say: ‘Sir,","Inoltre, la cameriera dica:"
"A questa donna una roba bisogna,","this lady needs a dress,","Questa signora ha bisogno di un vestito,"
Ma sì vi teme che no ’l v’osa dire.,but she fears you so much that she dares not ask you for it.,ma ti teme così tanto che non osa chiedertelo.
"Gran[de] danno l’à già fatto vergognia,","Her shameful reluctance has already caused her much harm,","La sua vergognosa riluttanza le ha già causato molti danni,"
Ma vo’ sì non ’l dovreste sofferire:,but you should not allow it;,ma non dovresti permetterlo;
Nonn-à dove le carni sue ripognia”.,she does not have anything to cover her body’.”,non ha nulla per coprire il suo corpo
