Original,Translate_EN,Translate_IT_1
E s’alcun altro nonn-à che donare,"“And if there’s someone who has nothing to give,","E se c'è qualcuno che non ha nulla da dare,"
"Ma vorràssi passar   per saramenta,","but will want to get away with only a pledge,","ma vorrà farla franca solo con un pegno,"
"E dirà che•lla ’ndoman più di trenta,",he’ll say that the next day,dirà che il giorno dopo
"O livre, o soldi, le dovrà recare,",he’ll bring her more than thirty or,l'inferno la porta più di trenta o
"Le saramenta   lor non dé pregiare,","She must not value their pledges,","Non deve apprezzare i loro impegni,"
Chéd e’ non n’è nesun che non ti menta;,for there’s no one who doesn’t lie to you;,perché non vi mente nessuno che non vi mente;
"E dicie l’un a l’altro: “La giomenta,","one says to another: ‘The prostitute,","uno dice ad un altro: ""La prostituta,"
"Che•ttu ti sai, mi credette ingannare;","whom you know, thought she could deceive me;","che tu conosci, pensava di potermi ingannare;"
"Ingannar   mi credette, i’ l’ò ’ngannata”.","she thought she could deceive me, but I deceived her!’","Pensava di potermi ingannare, ma io l'ho ingannata!"
Perché già femina non dee servire,For this reason no woman must give herself to anyone,Per questo motivo nessuna donna deve dare se stessa a nessuno
Insin che’ella non è prima pagata:,unless she is paid first;,a meno che non sia prima pagata;
"Ché, quando à fatto, e’ si pensa fugire,","for when he’s done it, he plans to run away,","perché quando l'ha fatto, ha intenzione di scappare,"
Ed ella si riman ivi scornata.,but she remains there scorned.,ma rimane lì disprezzata.
Per molte volte fui a quel martire.,Many times I found myself in that awful state.”,Molte volte mi sono trovato in quello stato terribile.
