Original,Translate_EN,Translate_IT_1
"Vedete che danari ànno usorieri,","“See how much money the usurers,","Vedi quanti soldi gli usurai,"
"Siniscalchi, e provosti, e piatitori,","seneschals, provosts and mayors have!","Seneschals, provosts e sindaci hanno!"
Che tutti quanti son gran piatitori:,"All of them are big swindlers,",Sono tutti truffatori.
"E’ si son argogliosi molto, e fieri.",and they are very proud and fierce.,e sono molto orgogliosi e feroci.
"Ancor borghesi, sopra i cavalieri,","Moreover, all of the bourgeoisie, to the detriment of the","Inoltre, tutta la borghesia, a discapito della"
Son ogi tutti quanti venditori,"knights, now sell their own goods","cavalieri, ora vendete i loro beni"
"Di lor derrate, e aterminatori,","at inflated prices and on credit,","a prezzi gonfiati e a credito,"
"Sì c’ognie gientil huon farà panieri,",so that every nobleman will be robbed.,affinché ogni nobile venga derubato.
"E’ conviene, ch’e’ vendan casa o terra",They must sell their house and land,Devono vendere la loro casa e la loro terra
"Infin che i borghesi siar pagati,","so that the bourgeoisie can be paid,","perché la borghesia possa essere pagata,"
Che giorno e notte gli tegnono in serra.,they who day and night keep the nobles in tight straits.,coloro che giorno e notte tengono stretti i nobili.
"Ma io, che porto panni devisati,","But I, who clothe myself in various garbs,","Ma io, che mi vesto in varie vesti,"
"Fo creder lor che ciascheun sì erra,","make each of them believe the other’s wrong,","far credere a ciascuno di loro che gli altri si sbagliano,"
E ’nganno ingannatori   e ingannati.,and I deceive both the deceivers and the deceived.”,e inganno sia gli ingannatori che gli ingannati.
