Original,Translate_EN,Translate_IT_1
"Que’, che non pensa d’aver l’armadure,",“Those who do not provide the defensive weapons,Coloro che non forniscono le armi difensive
"Ch’i’ v’ò contate, over preziosi vini,",I’ve mentioned to you - not to mention fine wines,Vi ho accennato - per non parlare dei vini pregiati
"Over di be’ sachetti di fiorini,",or lovely pouches full of florins ­,o deliziose bustine piene di fiorine
Le mie sentenze   lor fier troppo dure.,will find my judgments on them very harsh.,Troverà i miei giudizi su di loro molto duri.
"Né non si fidi già in ,","They should not rely on the Scriptures,","Essi non dovrebbero contare sulle Scritture,"
"Ch’e’ saccian, ché, co•mie’ mastri divini,",for they should know that my theologians,perché dovrebbero sapere che i miei teologi
"I’ proverò ched e’ son paterini,","and I will prove that they are Paterines,","e dimostrerò che sono paterine,"
"E farò lor sentir le gran calure,",and I will make them feel the hot fires.,e faro' sentire loro i fuochi caldi.
"Od i’ farò almen ch’e’ fien murati,","Or at least I’ll have them imprisoned,","O almeno li faro' imprigionare,"
"O darò lor sì dure   penitenze,",or give them such harsh penances,o dare loro tali dure penitenze
Che me’ lor fora ch’e’ non fosser nati.,that it would be better if they’d not been born.,che sarebbe meglio se non fossero nati.
"A Prato, ed a Arezo, e a Firenze",In Prato and in Arezzo and in Florence,A Prato e ad Arezzo e a Firenze
N’ò io distrutti molti e iscacciati:,I destroyed and exiled a great many of them:,Distrussi ed esiliai molti di loro:
"Dolente è que’, che cade a mie sentenze».",sorrowful is he who falls under my judgment!”,Doloroso è colui che cade sotto il mio giudizio!
