Original,Translate_EN,Translate_IT_1
Malabocca sì ’nchiede i pellegrini,Bad Mouth asks the pilgrims,La Mouth cattiva chiede ai pellegrini
Di loro stato e di lor condizione;,"of their status and condition,","del loro stato e delle loro condizioni,"
E’ dimandò qual era la cagione,and asked them why,e chiese loro perché
Ch’e’ gli andavan sì matti e sì tapini.,they looked so discouraged and wretched.,Sembravano così scoraggiati e miserabili.
"Que’ disser: «No’ sì siàn mastri divini,","They said: “We are masters of theology,","Dissero: ""Noi siamo padroni della teologia,"
E sì cierchiamo in ognie regione,and so in every region we look for,e così in ogni regione che cerchiamo
"De l’anime, che vanno a perdizione,","souls who seem destined for hell,","anime che sembrano destinate all'inferno,"
Per rimenargli a lor dritti camini.,in order to bring them back to the proper path.,per riportarli sulla retta via.
Or par che•ssia piaciuto al Salvatore,Now it seems that it has pleased the Savior,Ora sembra che abbia soddisfatto il Salvatore
"D’averci qui condotti per vo’ dire,",to have brought us here to remind you,di averci portati qui per ricordartelo.
E gastigar del vostro grande errore,"of your great sin and to chastise you for it,","del vostro grande peccato e per castigarvi per esso,"
S’e’ vi piacie d’intender e d’udire».,if you wish to learn about it and to listen.”,se si desidera imparare su di esso e di ascoltare.
"O fatto, i’ sì son presto d’ubidire».","or done, I am ready to obey.”","o fatto, sono pronto ad obbedire."
,,
