Original,Translate_EN,Translate_IT_1
Ancora d’altra parte cuore humano,"“Yet, on the other hand, a human heart","Ma, d'altra parte, un cuore umano"
"Non penserebe il gran dolor, ch’i’ sento,",could not imagine the great pain I feel,non poteva immaginare il grande dolore che sento
Tratutte l’ore ch’i’ ò pensamento,all those many hours when I remember,tutte quelle tante ore in cui mi ricordo
"De’ be’ basciar’, che m’ànno dato mano.",the wonderful kisses that have bid me farewell.,i meravigliosi baci che mi hanno salutato.
"Ogni’ Sollazo m’è ogi lontano,","Every joy is far from me today,","Ogni gioia è lontana da me oggi,"
Ma non Ira e Dolori e Gran-Tormento:,but not anger and pain and great suffering:,"ma non rabbia, dolore e grande sofferenza:"
Costor si ànno fatto saramento,these have made a vow,questi hanno fatto un voto
Ch’i’ non uscirò lor mai di tra mano.,that I will never leave their clutches.,che non lascerò mai le loro grinfie.
"Or puo’ veder com’i’ son arivata,","Now you can see to what point I’ve come,","Ora potete vedere a che punto io arrivo,"
"Né al mi’ mal nonn-à altra cagione,",and for my pain there is no other cause,e per il mio dolore non c'è altra causa
Se non ched i’ fu’ troppo tosto nata.,except that I was born too soon.,Solo che sono nato troppo presto.
Ma sapie ched io ò ferma intenzione,But you should know that I have a firm belief,Ma dovresti sapere che ho una solida convinzione.
"Ch’i’ sarò anchor per te vendicata,","that I will be avenged by you,","che sarò vendicato da te,"
Se•ttu ben riterrai la mia lezione.,if you will learn my lesson well.”,se imparerete bene la mia lezione.
