Original,Translate_EN,Translate_IT_1
"Quand’i’ udì’ quel buon risposto fino,",When I heard that kind and courtly response,Quando ho sentito quella risposta gentile e cortese
Che•lla gientil rispuose [mi levai],"which the noble lady gave, I got up","che la nobile signora ha dato, mi sono alzato"
"Ed a la balestriera m’adrizai,","and went directly to the loophole,","e andò direttamente alla scappatoia,"
Ché quel s’iera il mi’ dritto camino;,for that was the straight and proper road for me.,perché quella era la strada retta e giusta per me.
"E sì v’andai   come buon pellegrino,",I went there like a good pilgrim;,Ci sono andato come un buon pellegrino;
"Ch’un bordon noderuto v’aportai,",I brought my gnarled staff with me,Ho portato con me il mio bastone arrabbiato.
"E la scarsella non dimenticai,","and did not forget my money-bag,","e non ha dimenticato il mio sacco di soldi,"
La qual v’apiccò buon Mastro Divino.,which the good divine craftsman had hung on me.,che il buon artigiano divino mi aveva appeso.
"Tutto mi’ arnese, tal chent’i’ portava,","All my tackle, all that I had with me,","Tutto il mio placcaggio, tutto quello che avevo con me,"
"Se di condurl’al port’ò in mia ventura,","I thought only of using it to touch the relics,","Ho pensato solo di usarlo per toccare le reliquie,"
Di toccarne l’erlique i’ pur pensava.,if I am lucky enough to steer it into port.,se sono abbastanza fortunato da guidarlo verso il porto.
Nel mi’ bordon non avea feratura,"My staff was not tipped with iron,","Il mio staff non aveva la mancia di ferro,"
Ché giamai  contra pietre no•ll’urtava;,for never did I have to thrust it against stones;,perché non ho mai dovuto spingerlo contro le pietre;
La scharsella s’iera san’ costura.,the purse was not stitched.,la borsa non era cucita.
