Original,Translate_EN,Translate_IT_1
"La Vechia, che Bellacoglienz’à ’n guarda,",“Serve and honor with all your might,Servi e onora con tutta la tua forza
Servi ed onora a tutto tu’ podere,the Old Woman who guards Fair Welcome;,la Vecchia Donna che custodisce la Fiera Benvenuta;
"Ché, s’ella vuol, troppo ti può valere:","if she wishes, she can be very useful to you,","se lo desidera, può essere molto utile per te,"
"Chéd ella nonn-è folle, né musarda.",because she is neither silly nor foolish.,perché non è né sciocca né sciocca.
"A Gielosia, che mal fuoco l’arda,",With Jealousy - may an evil fire burn her! -,Con la gelosia - che un fuoco malvagio la bruci! -
"Fa ’l somigliante, s’ella può vedere.","do the same, if you succeed in seeing her.","Fai lo stesso, se riesci a vederla."
"Largo prometti a tutte de l’avere,","Promise all of them generous compensation,","Prometti a tutti loro generosa ricompensa,"
"Ma ’l pagamento, il più che puo’,   lo tarda.",but delay payment as much as possible.,ma ritardare il pagamento il più possibile.
"E, se•llor doni, dona gioeletti,","And if you give gifts, give jewels,","E se fai regali, dai gioielli,"
"Be’ covricieri, e reti, e ’ntecciatoi,",beautiful hats and bonnets and silk ribbons,bellissimi cappelli e cappellini e nastri di seta
"E belle ghirlanduze, e ispiletti,","and beautiful garlands and pins,","e bellissime ghirlande e spille,"
"E pettini d’avorio, e rizatoi,","and ivory combs and barrettes,","e pettini e barrette d'avorio,"
"Coltelli, e paternostri, e tessutetti:",knives and rosaries and cloths;,"coltelli, rosari e panni;"
Ché questi non son doni strugitoi.,for these are inexpensive gifts.”,per questi sono regali poco costosi.
